B.Code,A.Level.Name,ED.Mean.T,Out.Unit.Amount,Out.Unit.Time,Out.Unit.Animals,flag
EM1062,Diet C V+C,0.0829814285714286,kg,day,individual,too_low_kg
EM1065,Treatment T1,0.07065,kg,day,individual,too_low_kg
EM1065,Treatment T2,0.08068,kg,day,individual,too_low_kg
EM1065,Treatment T3,0.08952,kg,day,individual,too_low_kg
EM1066,Con,0.0230178571428571,kg,day,individual,too_low_kg
EM1066,PEG0,0.0242785714285714,kg,day,individual,too_low_kg
EM1066,PEG100,0.0266107142857143,kg,day,individual,too_low_kg
EM1066,PEG25,0.0238178571428571,kg,day,individual,too_low_kg
EM1066,PEG50,0.025378571428571403,kg,day,individual,too_low_kg
EM1066,PEG75,0.0254107142857143,kg,day,individual,too_low_kg
EM1068,RFM,0.07701000000000001,kg,day,individual,too_low_kg
EM1068,RIM,0.07698,kg,day,individual,too_low_kg
EM1068,RTS,0.07862999999999999,kg,day,individual,too_low_kg
EM1070,Treatment T1,0.06168,kg,day,individual,too_low_kg
EM1070,Treatment T2,0.06788,kg,day,individual,too_low_kg
EM1070,Treatment T3,0.063,kg,day,individual,too_low_kg
EM1070,Treatment T4,0.06502,kg,day,individual,too_low_kg
EM1077,Ration1,0,kg,day,individual,too_low_kg
EM1081,Treatment T1,0,kg,day,individual,too_low_kg
EM1081,Treatment T2,0.075,kg,day,individual,too_low_kg
EM1081,Treatment T3,0.099,kg,day,individual,too_low_kg
EM1092,MCFJM,0.04058,kg,day,individual,too_low_kg
EM1092,PWFJM,0.037700000000000004,kg,day,individual,too_low_kg
EM1092,RDFFJM,0.04088,kg,day,individual,too_low_kg
EM1092,RJFM,0.038689999999999995,kg,day,individual,too_low_kg
EM1092,Treatment C,0.04982,kg,day,individual,too_low_kg
EM1097,Treatment T1,0.09412999999999999,kg,day,individual,too_low_kg
EM1097,Treatment T2,0.0858,kg,day,individual,too_low_kg
EM1097,Treatment T3,0.05897,kg,day,individual,too_low_kg
EM1097,Treatment T4,0.0248,kg,day,individual,too_low_kg
EM1100,Control PKC,0.09981999999999999,kg,day,individual,too_low_kg
EO0032,100% concentrate,0.07430636245807846,kg,day,individual,too_low_kg
EO0032,25%concentrate+75% leaf meal,0.0896284503962428,kg,day,individual,too_low_kg
EO0032,50%concentrate+50% leaf meal,0.08215941286322256,kg,day,individual,too_low_kg
EO0032,75% concentrate+25% leaf meal,0.06548726363246182,kg,day,individual,too_low_kg
EO0047,PP30-30%,0.012,kg,day,individual,too_low_kg
EO0086,0JKM2,0.018699999999999998,kg,day,individual,too_low_kg
EO0086,4JKM1,0.055200000000000006,kg,day,individual,too_low_kg
EO0086,8JKM1,0.023399999999999997,kg,day,individual,too_low_kg
EO0086,8JKM2,0.0031,kg,day,individual,too_low_kg
EO0102,TD12,0.00774,kg,day,individual,too_low_kg
EO0102,TD6,0.00544,kg,day,individual,too_low_kg
EO0102,TD9,0.00687,kg,day,individual,too_low_kg
HK0005,FSS Con,0.038299999999999994,kg,day,individual,too_low_kg
HK0005,FSS1,0.038299999999999994,kg,day,individual,too_low_kg
HK0005,FSS2,0.0381,kg,day,individual,too_low_kg
HK0005,FSS3,0.037899999999999996,kg,day,individual,too_low_kg
HK0007,HWM1,0.09920999999999999,kg,day,individual,too_low_kg
HK0007,HWM2,0.09523999999999999,kg,day,individual,too_low_kg
HK0011,CW,0.02789,kg,day,individual,too_low_kg
HK0011,CW:DSBG,0.027219999999999998,kg,day,individual,too_low_kg
HK0011,DSBG,0.027649999999999997,kg,day,individual,too_low_kg
HK0014,D1 No Macuna Bundle 1,0.048920000000000005,kg,day,individual,too_low_kg
HK0014,D2 5% Treated Macuna Bundle 1,0.06573000000000001,kg,day,individual,too_low_kg
HK0014,D2 5% Treated Macuna Bundle 2,0.06573000000000001,kg,day,individual,too_low_kg
HK0014,D3 5% Raw Macuna Bundle 1,0.07897,kg,day,individual,too_low_kg
HK0014,D3 5% Raw Macuna Bundle 2,0.07897,kg,day,individual,too_low_kg
HK0014,D4 10% Treated Macuna Bundle 1,0.04292,kg,day,individual,too_low_kg
HK0014,D5 15% Treated Macuna Bundle 1,0.03641,kg,day,individual,too_low_kg
HK0017,0% Animal  Protein Mixture,1.60357142857143e-4,kg,day,individual,too_low_kg
HK0017,100% Animal Protein Mixture,1.32678571428571e-4,kg,day,individual,too_low_kg
HK0017,25% Animal Protein Mixture,1.525e-4,kg,day,individual,too_low_kg
HK0017,50% Animal Protein Mixture,1.66428571428571e-4,kg,day,individual,too_low_kg
HK0017,75% Animal Protein Mixture,1.52857142857143e-4,kg,day,individual,too_low_kg
HK0037,Diet 1 Bundle 1,0.0218,kg,day,individual,too_low_kg
HK0037,Diet 2 Bundle 1,0.0145,kg,day,individual,too_low_kg
HK0037,Diet 3 Bundle 1,0.011869999999999999,kg,day,individual,too_low_kg
HK0037,Diet 4 Bundle 1,0.01058,kg,day,individual,too_low_kg
HK0037,Diet 4 Bundle 2,0.01058,kg,day,individual,too_low_kg
HK0037,Diet 5 Bundle 1,0.02102,kg,day,individual,too_low_kg
HK0037,Diet 5 Bundle 2,0.02102,kg,day,individual,too_low_kg
HK0045,Con,0.00142678571428571,kg,day,individual,too_low_kg
HK0045,OB2,0.00141934523809524,kg,day,individual,too_low_kg
HK0045,OB3,0.00146309523809524,kg,day,individual,too_low_kg
HK0045,OB4,0.00150583333333333,kg,day,individual,too_low_kg
HK0045,OB5,0.0013744047619047598,kg,day,individual,too_low_kg
HK0045,WL6,0.00135684523809524,kg,day,individual,too_low_kg
HK0045,WL7,0.00132339285714286,kg,day,individual,too_low_kg
HK0045,WL8,0.00138422619047619,kg,day,individual,too_low_kg
HK0045,WL9,0.00130654761904762,kg,day,individual,too_low_kg
HK0066.2,0 MSK,0.06620000000000001,kg,day,individual,too_low_kg
HK0066.2,100 MSK,0.0688,kg,day,individual,too_low_kg
HK0066.2,150 MSK,0.0654,kg,day,individual,too_low_kg
HK0066.2,200 MSK,0.06509999999999999,kg,day,individual,too_low_kg
HK0066.2,50 MSK,0.0678,kg,day,individual,too_low_kg
HK0067,0% CBC,0.06597,kg,day,individual,too_low_kg
HK0067,10% CBC,0.06175,kg,day,individual,too_low_kg
HK0067,20% CBC,0.05779,kg,day,individual,too_low_kg
HK0067,5% CBC,0.0628,kg,day,individual,too_low_kg
HK0102.2,Diet Con,0.0715,kg,day,individual,too_low_kg
HK0102.2,PKM1,0.0718,kg,day,individual,too_low_kg
HK0102.2,PKM2,0.0722,kg,day,individual,too_low_kg
HK0102.2,PKM3,0.0728,kg,day,individual,too_low_kg
HK0102.2,PKM4,0.0728,kg,day,individual,too_low_kg
HK0102.2,PKM5,0.073,kg,day,individual,too_low_kg
