,D.Item,GE,Ash,CP,EE,NDF
113,fumaric acid,NA,NA,NA,NA,NA
114,garcinia kola seeds dried ground,NA,NA,NA,NA,NA
115,glycerol,15.3,NA,NA,NA,NA
116,gmelina arborea,NA,NA,NA,NA,NA
117,gmelina arborea leaves,NA,NA,NA,NA,NA
118,gmelina arborea leaves dried ground,4110,39.6,183.2,11.6,NA
119,gmelina arborea leaves ground,NA,119,246,66,NA
120,gmelina arborea leaves wilted,NA,65.5,100.15,23,NA
121,groundnut haulm ensiled,0.132,64.5,161.3,35.1,255.6
122,groundnut hull crushed dried,NA,NA,260.8,NA,318.5
123,hominy,18.7,60,152,58,307
124,hominy ground,18.7,59.325,152,58,307
125,hsb silage ensiled,NA,NA,NA,NA,NA
126,imported concentrate,NA,226,315,33,NA
127,jackfruit,17.9,51,129,18,346
128,jatropha curcas cake ground,NA,78,268.5,43.8,NA
129,jatropha curcas leaves dried ground,NA,NA,NA,NA,NA
130,jatropha curcas seed ground,NA,86.1,262.5,48.4,NA
131,khat leftover crushed dried,NA,73.6,123,NA,319
132,lablab purpureus crushed dried,NA,NA,NA,NA,NA
133,lablab purpureus ensiled,NA,NA,NA,NA,NA
134,lamb and ewe pellet,NA,NA,NA,NA,NA
135,lantana camara leaves dried ground,NA,NA,NA,NA,NA
136,layer's meal,NA,NA,150,NA,NA
137,lemna dried,NA,NA,NA,NA,NA
138,leucaena leaves dried,NA,NA,131.25,NA,250
139,leucaena pallida,NA,NA,NA,NA,NA
140,lsb silage ensiled,NA,NA,NA,NA,NA
141,macroptilium atropurpureum dried ground,NA,NA,272.5,NA,NA
142,macrotyloma axillare dried,NA,58.5,105,NA,NA
143,maize cob enzyme treated ground,NA,NA,NA,NA,NA
144,maize ensiled inoculated,NA,NA,NA,NA,NA
145,maize offal alkali treated ground,NA,48.7,146.2,15.5,NA
146,maize stover sprouted,NA,NA,NA,NA,NA
147,maize stover urea treated,NA,NA,NA,NA,NA
148,maize straw dried ensiled ground urea treated,NA,NA,NA,NA,NA
149,maize straw ensiled urea treated wilted,NA,NA,NA,NA,NA
150,maize straw molasses treated urea treated,NA,NA,NA,NA,NA
151,maize whole ensiled,NA,131,91.5,25.6,356.2
152,mango seed crushed dried,17.8,61,46,38,355
153,mango seed dried ground,17.8,61,46,38,355
154,megathyrsus maximus offal,NA,69.5,76,30.1,NA
155,melon seed husk ground,NA,103.7,145,52,NA
156,milk,NA,7.7,38.5,NA,NA
157,moringa oleifera,18.6,103,241,54,283
158,moringa oleifera dried,NA,NA,284.5,41,345
159,moringa oleifera dried ground,18.8,108,268,64,227
160,moringa oleifera ground,NA,120,302.1,57.7,NA
161,moringa oleifera leaves,18.6,103,223.4,54,283
