"","B.Code","A.Level.Name","D.Item","D.Type","D.Amount","D.Unit.Amount","Percentage_of_Diet"
"71","AG0087","Indirect boiling DF 1.5%","Sorghum Grain","Crop Product",54,"% Diet",79.988149903718
"72","AG0087","Indirect boiling DF 1.5%","Groundnut Cake","Crop Byproduct",12.01,"% Diet",17.789957043401
"73","AG0087","Indirect boiling DF 1.5%","Fish Boiled Ground","Animal",1.5,"% Diet",2.22189305288105
"74","AG0087","Indirect boiling DF 3.5%","Groundnut Cake","Crop Byproduct",12.01,"% Diet",16.9202592279515
"75","AG0087","Indirect boiling DF 3.5%","Fish Boiled Ground","Animal",3.5,"% Diet",4.93096646942801
"76","AG0087","Indirect boiling DF 3.5%","Sorghum Grain","Crop Product",53.97,"% Diet",76.0355029585799
"77","AG0087","Indirect boiling DF 3.5%","Imported Concentrate","Other Feed",1.5,"% Diet",2.11327134404057
"78","AG0087","Indirect boiling DF 5%","Fish Boiled Ground","Animal",5,"% Diet",6.71050865655617
"79","AG0087","Indirect boiling DF 5%","Groundnut Cake","Crop Byproduct",12.01,"% Diet",16.1186417930479
"80","AG0087","Indirect boiling DF 5%","Sorghum Grain","Crop Product",54,"% Diet",72.4734934908066
"81","AG0087","Indirect boiling DF 5%","Imported Concentrate","Other Feed",3.5,"% Diet",4.69735605958932
"82","AG0087","Roasted DF 1.5%","Imported Concentrate","Other Feed",3.5,"% Diet",4.92888325587945
"83","AG0087","Roasted DF 1.5%","Fish Ground Roasted","Animal",1.5,"% Diet",2.11237853823405
"84","AG0087","Roasted DF 1.5%","Groundnut Cake","Crop Byproduct",12.01,"% Diet",16.9131108294606
"85","AG0087","Roasted DF 1.5%","Sorghum Grain","Crop Product",54,"% Diet",76.0456273764259
"86","AG0087","Roasted DF 3.5%","Sorghum Grain","Crop Product",54,"% Diet",76.0456273764259
"87","AG0087","Roasted DF 3.5%","Groundnut Cake","Crop Byproduct",12.01,"% Diet",16.9131108294606
"88","AG0087","Roasted DF 3.5%","Fish Ground Roasted","Animal",3.5,"% Diet",4.92888325587945
"89","AG0087","Roasted DF 3.5%","Imported Concentrate","Other Feed",1.5,"% Diet",2.11237853823405
"90","AG0087","Roasted DF 5%","Groundnut Cake","Crop Byproduct",12.01,"% Diet",16.9131108294606
"91","AG0087","Roasted DF 5%","Fish Ground Roasted","Animal",5,"% Diet",7.0412617941135
"92","AG0087","Roasted DF 5%","Sorghum Grain","Crop Product",54,"% Diet",76.0456273764259
"93","AG0087","Sun dried DF 1.5%","Imported Concentrate","Other Feed",3.5,"% Diet",4.92888325587945
"94","AG0087","Sun dried DF 1.5%","Sorghum Grain","Crop Product",54,"% Diet",76.0456273764259
"95","AG0087","Sun dried DF 1.5%","Fish Dried Ground","Animal",1.5,"% Diet",2.11237853823405
"96","AG0087","Sun dried DF 1.5%","Groundnut Cake","Crop Byproduct",12.01,"% Diet",16.9131108294606
"97","AG0087","Sun dried DF 3.5%","Imported Concentrate","Other Feed",1.5,"% Diet",2.11237853823405
"98","AG0087","Sun dried DF 3.5%","Fish Dried Ground","Animal",3.5,"% Diet",4.92888325587945
"99","AG0087","Sun dried DF 3.5%","Sorghum Grain","Crop Product",54,"% Diet",76.0456273764259
"100","AG0087","Sun dried DF 3.5%","Groundnut Cake","Crop Byproduct",12.01,"% Diet",16.9131108294606
"101","AG0087","Sun dried DF 5%","Fish Dried Ground","Animal",5,"% Diet",7.0412617941135
"102","AG0087","Sun dried DF 5%","Sorghum Grain","Crop Product",54,"% Diet",76.0456273764259
"103","AG0087","Sun dried DF 5%","Groundnut Cake","Crop Byproduct",12.01,"% Diet",16.9131108294606
"104","AN0007","T1","Unspecified Molasses","Crop Byproduct",6.602,"g",2
"105","AN0007","T1","Salt","Non-ERA Feed",3.301,"g",1
"106","AN0007","T1","Brewers Grain","Crop Byproduct",132.04,"g",40
"107","AN0007","T1","Cassava Peel Ground","Crop Byproduct",179.9045,"g",54.5
"108","AN0007","T1","Mixture","Non-ERA Feed",1.6505,"g",0.5
"109","AN0007","T1","Bone Ground","Other Feed",6.602,"g",2
"110","AN0007","T2","Cassava Peel Ground","Crop Byproduct",179.7519,"g",54.5
"111","AN0007","T2","Salt","Non-ERA Feed",3.2982,"g",1
"112","AN0007","T2","Brewers Grain","Crop Byproduct",98.946,"g",30
"113","AN0007","T2","Gmelina arborea Leaves Ground","Agroforestry Fodders",32.982,"g",10
"114","AN0007","T2","Mixture","Non-ERA Feed",1.6491,"g",0.5
"115","AN0007","T2","Unspecified Molasses","Crop Byproduct",6.5964,"g",2
"116","AN0007","T2","Bone Ground","Other Feed",6.5964,"g",2
"117","AN0007","T3","Mixture","Non-ERA Feed",1.73735,"g",0.5
"118","AN0007","T3","Brewers Grain","Crop Byproduct",69.494,"g",20
"119","AN0007","T3","Bone Ground","Other Feed",6.9494,"g",2
"120","AN0007","T3","Unspecified Molasses","Crop Byproduct",6.9494,"g",2
"121","AN0007","T3","Cassava Peel Ground","Crop Byproduct",189.37115,"g",54.5
"122","AN0007","T3","Salt","Non-ERA Feed",3.4747,"g",1
"123","AN0007","T3","Gmelina arborea Leaves Ground","Agroforestry Fodders",69.494,"g",20
"124","AN0007","T4","Cassava Peel Ground","Crop Byproduct",189.0605,"g",54.5
"125","AN0007","T4","Salt","Non-ERA Feed",3.469,"g",1
"126","AN0007","T4","Unspecified Molasses","Crop Byproduct",6.938,"g",2
"127","AN0007","T4","Gmelina arborea Leaves Ground","Agroforestry Fodders",104.07,"g",30
"128","AN0007","T4","Brewers Grain","Crop Byproduct",34.69,"g",10
"129","AN0007","T4","Mixture","Non-ERA Feed",1.7345,"g",0.5
"130","AN0007","T4","Bone Ground","Other Feed",6.938,"g",2
"131","AN0007","T5","Gmelina arborea Leaves Ground","Agroforestry Fodders",32.08,"g",9.22263109475621
"132","AN0007","T5","Salt","Non-ERA Feed",0.802,"g",0.230565777368905
"133","AN0007","T5","Mixture","Non-ERA Feed",0.401,"g",0.115282888684453
"134","AN0007","T5","Unspecified Molasses","Crop Byproduct",1.604,"g",0.461131554737811
"135","AN0007","T5","Cassava Peel Ground","Crop Byproduct",43.709,"g",12.5658348666053
"136","AN0007","T5","Bone Ground","Other Feed",1.604,"g",0.461131554737811
