"","B.Code","A.Level.Name","D.Item","D.Type","D.Amount","D.Unit.Amount","Percentage_of_Diet"
"1789","EM1056","Treatment T1","Balanites aegyptiaca Leaves Ground","Forage Plants",102.91,"g",20
"1790","EM1056","Treatment T1","Rice Husk","Crop Byproduct",102.91,"g",20
"1791","EM1056","Treatment T1","Palm Kernel Cake","Crop Byproduct",190.3835,"g",37
"1792","EM1056","Treatment T1","Wheat Offal","Crop Byproduct",102.91,"g",20
"1793","EM1056","Treatment T2","Cassava Peel Dried","Crop Byproduct",148.82175,"g",27.5
"1794","EM1056","Treatment T2","Groundnut Haulm Ensiled","Crop Byproduct",376.11315,"g",69.5
"1795","EM1056","Treatment T3","Groundnut Haulm Ensiled","Crop Byproduct",334.033,"g",59.5
"1796","EM1056","Treatment T3","Cassava Peel Dried","Crop Byproduct",210.525,"g",37.5
"1797","EM1056","Treatment T4","Cassava Peel Dried","Crop Byproduct",268.7075,"g",47.5
"1798","EM1056","Treatment T4","Groundnut Haulm Ensiled","Crop Byproduct",280.0215,"g",49.5
"1799","EM1057","Diet R1","Maize Grain","Crop Product",174399,"g",100
"1800","EM1057","Diet R2","Opuntia ficus indica Fruits Dried Ground","Forage Plants",8375.3,"g",5
"1801","EM1057","Diet R2","Maize Grain","Crop Product",159130.7,"g",95
"1802","EM1057","Diet R3","Opuntia ficus indica Fruits Dried Ground","Forage Plants",16854.3,"g",10
"1803","EM1057","Diet R3","Maize Grain","Crop Product",151688.7,"g",90
"1804","EM1057","Diet R4","Maize Grain","Crop Product",145231.85,"g",85
"1805","EM1057","Diet R4","Opuntia ficus indica Fruits Dried Ground","Forage Plants",25629.15,"g",15
"1806","EM1058","Treatment T1","Maize Offal","Crop Byproduct",276.86,"g",50.880288161135
"1807","EM1058","Treatment T2","Maize Offal","Crop Byproduct",91.98385,"g",18.5
"1808","EM1058","Treatment T2","Mango Seed Kernel Dried Ground","Crop Byproduct",91.98385,"g",18.5
"1809","EM1058","Treatment T3","Mango Seed Kernel Dried Ground","Crop Byproduct",140.82015,"g",27.75
"1810","EM1058","Treatment T3","Maize Offal","Crop Byproduct",46.94005,"g",9.25
"1811","EM1058","Treatment T4","Mango Seed Kernel Dried Ground","Crop Byproduct",182.9206,"g",37
"1812","EM1059","Diet 1","Soybean Ground","Crop Product",2.469375,"g",2.25
"1813","EM1059","Diet 1","Maize Bran","Crop Byproduct",1.371875,"g",1.25
"1814","EM1059","Diet 2","Maize Bran","Crop Byproduct",1.0258125,"g",0.9375
"1815","EM1059","Diet 2","Soybean Ground","Crop Product",2.1200125,"g",1.9375
"1816","EM1059","Diet 2","Moringa oleifera Seed Dried Ground","Forage Plants",0.683875,"g",0.625
"1817","EM1059","Diet 3","Soybean Ground","Crop Product",2.09755,"g",1.625
"1818","EM1059","Diet 3","Maize Bran","Crop Byproduct",0.80675,"g",0.625
"1819","EM1059","Diet 3","Moringa oleifera Seed Dried Ground","Forage Plants",1.6135,"g",1.25
"1820","EM1059","Diet 4","Soybean Ground","Crop Product",1.3902,"g",1.3125
"1821","EM1059","Diet 4","Moringa oleifera Seed Dried Ground","Forage Plants",1.986,"g",1.875
"1822","EM1059","Diet 4","Maize Bran","Crop Byproduct",0.331,"g",0.3125
"1823","EM1060","Treatment T1","Brewers Grain Dried","Crop Byproduct",0.442026666666667,"g",0.533333333333333
"1824","EM1060","Treatment T1","Palm Kernel Cake Ground","Crop Byproduct",0.138133333333333,"g",0.166666666666667
"1825","EM1060","Treatment T1","Wheat Offal","Crop Byproduct",0.16576,"g",0.2
"1826","EM1060","Treatment T2","Jatropha curcas Leaves Dried Ground","Forage Plants",0.131516666666667,"g",0.166666666666667
"1827","EM1060","Treatment T2","Wheat Offal","Crop Byproduct",0.105213333333333,"g",0.133333333333333
"1828","EM1060","Treatment T2","Brewers Grain Dried","Crop Byproduct",0.420853333333333,"g",0.533333333333333
"1829","EM1060","Treatment T2","Palm Kernel Cake Ground","Crop Byproduct",0.0526066666666667,"g",0.0666666666666667
"1830","EM1060","Treatment T3","Wheat Offal","Crop Byproduct",0.0227666666666667,"g",0.0333333333333333
"1831","EM1060","Treatment T3","Brewers Grain Dried","Crop Byproduct",0.3415,"g",0.5
"1832","EM1060","Treatment T3","Palm Kernel Cake Ground","Crop Byproduct",0.0227666666666667,"g",0.0333333333333333
"1833","EM1060","Treatment T3","Jatropha curcas Leaves Dried Ground","Forage Plants",0.227666666666667,"g",0.333333333333333
"1834","EM1060","Treatment T4","Wheat Offal","Crop Byproduct",0.0212533333333333,"g",0.0333333333333333
"1835","EM1060","Treatment T4","Jatropha curcas Leaves Dried Ground","Forage Plants",0.3188,"g",0.5
"1836","EM1060","Treatment T4","Brewers Grain Dried","Crop Byproduct",0.19128,"g",0.3
"1837","EM1060","Treatment T4","Palm Kernel Cake Ground","Crop Byproduct",0.0425066666666667,"g",0.0666666666666667
"1838","EM1062","Diet A M+V+C","Enzyme","Probiotic",3.71666666666667e-05,"g",4.78951890034364e-05
"1839","EM1062","Diet A M+V+C","Lysine","Supplement",0.000126366666666667,"g",0.000162843642611684
"1840","EM1062","Diet A M+V+C","Fish Ground","Animal",0.000743333333333333,"g",0.000957903780068729
"1841","EM1062","Diet A M+V+C","Soybean Cake","Crop Byproduct",0.00170966666666667,"g",0.00220317869415808
"1842","EM1062","Diet A M+V+C","Lime","Supplement",0.000223,"g",0.000287371134020619
"1843","EM1062","Diet A M+V+C","Moringa oleifera Leaves Dried Ground","Forage Plants",0.000743333333333333,"g",0.000957903780068729
"1844","EM1062","Diet A M+V+C","Salt","Other Ingredients",4.46e-05,"g",5.74742268041237e-05
"1845","EM1062","Diet A M+V+C","Groundnut Cake","Crop Byproduct",0.00170966666666667,"g",0.00220317869415808
"1846","EM1062","Diet A M+V+C","Maize Offal","Crop Byproduct",0.001338,"g",0.00172422680412371
"1847","EM1062","Diet A M+V+C","Bone Ground","Animal Byproduct",0.000520333333333333,"g",0.00067053264604811
"1848","EM1062","Diet A M+V+C","Minerals and Vitamins Mix","Supplement",3.71666666666667e-05,"g",4.78951890034364e-05
"1849","EM1062","Diet A M+V+C","Methionine","Supplement",0.000126366666666667,"g",0.000162843642611684
"1850","EM1062","Diet A M+V+C","Maize","Crop Product",0.007582,"g",0.00977061855670103
"1851","EM1062","Diet B M+C","Fish Ground","Animal",0.00071519,"g",0.000932729068077655
"1852","EM1062","Diet B M+C","Minerals and Vitamins Mix","Supplement",3.50583333333333e-05,"g",4.57220131410615e-05
"1853","EM1062","Diet B M+C","Lysine","Supplement",0.000119198333333333,"g",0.000155454844679609
"1854","EM1062","Diet B M+C","Maize Offal","Crop Byproduct",0.00131819333333333,"g",0.00171914769410391
"1855","EM1062","Diet B M+C","Groundnut Cake","Crop Byproduct",0.00167578833333333,"g",0.00218551222814274
"1856","EM1062","Diet B M+C","Enzyme","Probiotic",3.50583333333333e-05,"g",4.57220131410615e-05
"1857","EM1062","Diet B M+C","Bone Ground","Animal Byproduct",0.000490816666666667,"g",0.000640108183974861
"1858","EM1062","Diet B M+C","Moringa oleifera Leaves Dried Ground","Forage Plants",0.00071519,"g",0.000932729068077655
"1859","EM1062","Diet B M+C","Lime","Supplement",0.00021035,"g",0.000274332078846369
"1860","EM1062","Diet B M+C","Methionine","Supplement",0.000119198333333333,"g",0.000155454844679609
"1861","EM1062","Diet B M+C","Salt","Other Ingredients",4.207e-05,"g",5.48664157692738e-05
"1862","EM1062","Diet B M+C","Soybean Cake","Crop Byproduct",0.00167578833333333,"g",0.00218551222814274
"1863","EM1062","Diet B M+C","Maize","Crop Product",0.0071519,"g",0.00932729068077655
"1864","EM1062","Diet C V+C","Lime","Supplement",0.000217,"g",0.000261504295281216
"1865","EM1062","Diet C V+C","Enzyme","Probiotic",3.61666666666667e-06,"g",4.3584049213536e-06
"1866","EM1062","Diet C V+C","Bone Ground","Animal Byproduct",0.000506333333333333,"g",0.000610176688989504
"1867","EM1062","Diet C V+C","Minerals and Vitamins Mix","Supplement",3.61666666666667e-05,"g",4.3584049213536e-05
"1868","EM1062","Diet C V+C","Fish Ground","Animal",0.0007378,"g",0.000889114603956135
"1869","EM1062","Diet C V+C","Soybean Cake","Crop Byproduct",0.00209766666666667,"g",0.00252787485438509
"1870","EM1062","Diet C V+C","Salt","Other Ingredients",4.34e-05,"g",5.23008590562432e-05
"1871","EM1062","Diet C V+C","Groundnut Cake","Crop Byproduct",0.00209766666666667,"g",0.00252787485438509
"1872","EM1062","Diet C V+C","Maize","Crop Product",0.007378,"g",0.00889114603956134
"1873","EM1062","Diet C V+C","Maize Offal","Crop Byproduct",0.00135986666666667,"g",0.00163876025042895
"1874","EM1062","Diet C V+C","Methionine","Supplement",0.000122966666666667,"g",0.000148185767326022
"1875","EM1062","Diet C V+C","Lysine","Supplement",0.000122966666666667,"g",0.000148185767326022
"1876","EM1062","Diet D","Soybean Cake","Crop Byproduct",0.002016,"g",0.00179738645337138
"1877","EM1062","Diet D","Maize","Crop Product",0.007344,"g",0.00654762208013858
"1878","EM1062","Diet D","Salt","Other Ingredients",4.32e-05,"g",3.85154240008152e-05
"1879","EM1062","Diet D","Bone Ground","Animal Byproduct",0.000504,"g",0.000449346613342844
"1880","EM1062","Diet D","Lime","Supplement",0.000216,"g",0.000192577120004076
"1881","EM1062","Diet D","Groundnut Cake","Crop Byproduct",0.002016,"g",0.00179738645337138
"1882","EM1062","Diet D","Lysine","Supplement",0.0001224,"g",0.000109127034668976
"1883","EM1062","Diet D","Minerals and Vitamins Mix","Supplement",3.6e-05,"g",3.2096186667346e-05
"1884","EM1062","Diet D","Enzyme","Probiotic",3.6e-06,"g",3.2096186667346e-06
"1885","EM1062","Diet D","Maize Offal","Crop Byproduct",0.001296,"g",0.00115546272002446
"1886","EM1062","Diet D","Fish Ground","Animal",0.00072,"g",0.00064192373334692
"1887","EM1062","Diet D","Methionine","Supplement",0.0001224,"g",0.000109127034668976
"1888","EM1063","Treatment T1","Salt","Other Ingredients",0.0105728571428571,"g",0.01
"1889","EM1063","Treatment T1","Lysine","Supplement",0.0105728571428571,"g",0.01
"1890","EM1063","Treatment T1","Palm Oil","Crop Product",0.317185714285714,"g",0.3
"1891","EM1063","Treatment T1","Methionine","Supplement",0.0105728571428571,"g",0.01
"1892","EM1063","Treatment T1","Fish Ground","Animal",0.317185714285714,"g",0.3
"1893","EM1063","Treatment T1","Maize","Crop Product",5.74106142857143,"g",5.43
"1894","EM1063","Treatment T1","Groundnut Cake","Crop Byproduct",3.47847,"g",3.29
"1895","EM1063","Treatment T1","Bone Ground","Animal Byproduct",0.0845828571428571,"g",0.08
"1896","EM1063","Treatment T1","Minerals and Vitamins Mix","Supplement",0.0264321428571429,"g",0.025
"1897","EM1063","Treatment T1","Maize Bran","Crop Byproduct",0.470492142857143,"g",0.445
"1898","EM1063","Treatment T1","Calcium Carbonate","Supplement",0.105728571428571,"g",0.1
"1899","EM1063","Treatment T2","Maize","Crop Product",7.14277714285714,"g",5.43
"1900","EM1063","Treatment T2","Groundnut Cake","Crop Byproduct",3.67004571428571,"g",2.79
"1901","EM1063","Treatment T2","Maize Bran","Crop Byproduct",0.32228,"g",0.245
"1902","EM1063","Treatment T2","Bone Ground","Animal Byproduct",0.105234285714286,"g",0.08
"1903","EM1063","Treatment T2","Minerals and Vitamins Mix","Supplement",0.0328857142857143,"g",0.025
"1904","EM1063","Treatment T2","Palm Oil","Crop Product",0.394628571428571,"g",0.3
"1905","EM1063","Treatment T2","Lysine","Supplement",0.0131542857142857,"g",0.01
"1906","EM1063","Treatment T2","Fish Ground","Animal",0.657714285714286,"g",0.5
"1907","EM1063","Treatment T2","Calcium Carbonate","Supplement",0.131542857142857,"g",0.1
"1908","EM1063","Treatment T2","Methionine","Supplement",0.0131542857142857,"g",0.01
"1909","EM1063","Treatment T2","Salt","Other Ingredients",0.0131542857142857,"g",0.01
"1910","EM1063","Treatment T2","Delonix regia Seed Ground","Forage Plants",0.657714285714286,"g",0.5
"1911","EM1063","Treatment T3","Maize","Crop Product",7.33825714285714,"g",5.43
"1912","EM1063","Treatment T3","Groundnut Cake","Crop Byproduct",3.77048571428571,"g",2.79
"1913","EM1063","Treatment T3","Palm Oil","Crop Product",0.405428571428571,"g",0.3
"1914","EM1063","Treatment T3","Delonix regia Seed Alkali Treated Dried Fermented Ground","Forage Plants",0.675714285714286,"g",0.5
"1915","EM1063","Treatment T3","Minerals and Vitamins Mix","Supplement",0.0337857142857143,"g",0.025
"1916","EM1063","Treatment T3","Maize Bran","Crop Byproduct",0.3311,"g",0.245
"1917","EM1063","Treatment T3","Methionine","Supplement",0.0135142857142857,"g",0.01
"1918","EM1063","Treatment T3","Fish Ground","Animal",0.675714285714286,"g",0.5
"1919","EM1063","Treatment T3","Salt","Other Ingredients",0.0337857142857143,"g",0.025
"1920","EM1063","Treatment T3","Calcium Carbonate","Supplement",0.135142857142857,"g",0.1
"1921","EM1063","Treatment T3","Bone Ground","Animal Byproduct",0.108114285714286,"g",0.08
"1922","EM1063","Treatment T3","Lysine","Supplement",0.0135142857142857,"g",0.01
"1923","EM1063","Treatment T4","Maize","Crop Product",7.03650428571428,"g",5.43
"1924","EM1063","Treatment T4","Maize Bran","Crop Byproduct",0.317485,"g",0.245
"1925","EM1063","Treatment T4","Delonix regia Seed Ground Roasted","Forage Plants",0.647928571428571,"g",0.5
"1926","EM1063","Treatment T4","Minerals and Vitamins Mix","Supplement",0.0323964285714286,"g",0.025
"1927","EM1063","Treatment T4","Salt","Other Ingredients",0.0129585714285714,"g",0.01
"1928","EM1063","Treatment T4","Groundnut Cake","Crop Byproduct",3.61544142857143,"g",2.79
"1929","EM1063","Treatment T4","Methionine","Supplement",0.0129585714285714,"g",0.01
"1930","EM1063","Treatment T4","Calcium Carbonate","Supplement",0.129585714285714,"g",0.1
"1931","EM1063","Treatment T4","Bone Ground","Animal Byproduct",0.103668571428571,"g",0.08
"1932","EM1063","Treatment T4","Palm Oil","Crop Product",0.388757142857143,"g",0.3
"1933","EM1063","Treatment T4","Lysine","Supplement",0.0129585714285714,"g",0.01
"1934","EM1063","Treatment T4","Fish Ground","Animal",0.647928571428571,"g",0.5
"1935","EM1063","Treatment T5","Delonix regia Seed Alkali Treated Dried Fermented Ground","Forage Plants",1.00789285714286,"g",0.75
"1936","EM1063","Treatment T5","Lysine","Supplement",0.0134385714285714,"g",0.01
"1937","EM1063","Treatment T5","Maize","Crop Product",7.29714428571429,"g",5.43
"1938","EM1063","Treatment T5","Salt","Other Ingredients",0.0134385714285714,"g",0.01
"1939","EM1063","Treatment T5","Calcium Carbonate","Supplement",0.134385714285714,"g",0.1
"1940","EM1063","Treatment T5","Bone Ground","Animal Byproduct",0.107508571428571,"g",0.08
"1941","EM1063","Treatment T5","Groundnut Cake","Crop Byproduct",3.41339714285714,"g",2.54
"1942","EM1063","Treatment T5","Methionine","Supplement",0.0134385714285714,"g",0.01
"1943","EM1063","Treatment T5","Fish Ground","Animal",0.671928571428571,"g",0.5
"1944","EM1063","Treatment T5","Maize Bran","Crop Byproduct",0.329245,"g",0.245
"1945","EM1063","Treatment T5","Minerals and Vitamins Mix","Supplement",0.0335964285714286,"g",0.025
"1946","EM1063","Treatment T5","Palm Oil","Crop Product",0.403157142857143,"g",0.3
"1947","EM1063","Treatment T6","Palm Oil","Crop Product",0.394114285714286,"g",0.3
"1948","EM1063","Treatment T6","Salt","Other Ingredients",0.0131371428571429,"g",0.01
"1949","EM1063","Treatment T6","Groundnut Cake","Crop Byproduct",3.33683428571429,"g",2.54
"1950","EM1063","Treatment T6","Methionine","Supplement",0.0131371428571429,"g",0.01
"1951","EM1063","Treatment T6","Lysine","Supplement",0.0131371428571429,"g",0.01
"1952","EM1063","Treatment T6","Minerals and Vitamins Mix","Supplement",0.0328428571428571,"g",0.025
"1953","EM1063","Treatment T6","Fish Ground","Animal",0.656857142857143,"g",0.5
"1954","EM1063","Treatment T6","Delonix regia Seed Dried Ground Roasted","Forage Plants",0.985285714285714,"g",0.75
"1955","EM1063","Treatment T6","Maize Bran","Crop Byproduct",0.32186,"g",0.245
"1956","EM1063","Treatment T6","Maize","Crop Product",7.13346857142857,"g",5.43
"1957","EM1063","Treatment T6","Calcium Carbonate","Supplement",0.131371428571429,"g",0.1
"1958","EM1063","Treatment T6","Bone Ground","Animal Byproduct",0.105097142857143,"g",0.08
"1959","EM1064","Diet 1","Methionine","Supplement",0.482,"g",0.1
"1960","EM1064","Diet 1","Groundnut Cake","Crop Byproduct",96.4,"g",20
"1961","EM1064","Diet 1","Dicalcium Phosphate","Supplement",4.82,"g",1
"1962","EM1064","Diet 1","Maize","Crop Product",255.701,"g",53.05
"1963","EM1064","Diet 1","Lysine","Supplement",0.482,"g",0.1
"1964","EM1064","Diet 1","Fish Ground","Animal",14.46,"g",3
"1965","EM1064","Diet 1","Vegetable Oil","Crop Product",14.46,"g",3
"1966","EM1064","Diet 1","Lime","Supplement",9.64,"g",2
"1967","EM1064","Diet 1","Soybean","Crop Product",81.94,"g",17
"1968","EM1064","Diet 1","Salt","Other Ingredients",2.41,"g",0.5
"1969","EM1064","Diet 1","Minerals and Vitamins Mix","Supplement",1.205,"g",0.25
"1970","EM1064","Diet 2","Bread Waste","Preformulated Feed",19.755,"g",4.5
"1971","EM1064","Diet 2","Salt","Other Ingredients",2.195,"g",0.5
"1972","EM1064","Diet 2","Fish Ground","Animal",13.17,"g",3
"1973","EM1064","Diet 2","Dicalcium Phosphate","Supplement",4.39,"g",1
"1974","EM1064","Diet 2","Moringa oleifera Leaves Ground","Forage Plants",2.195,"g",0.5
"1975","EM1064","Diet 2","Lime","Supplement",8.78,"g",2
"1976","EM1064","Diet 2","Methionine","Supplement",0.439,"g",0.1
"1977","EM1064","Diet 2","Maize","Crop Product",219.7195,"g",50.05
"1978","EM1064","Diet 2","Vegetable Oil","Crop Product",13.17,"g",3
"1979","EM1064","Diet 2","Minerals and Vitamins Mix","Supplement",1.0975,"g",0.25
"1980","EM1064","Diet 2","Groundnut Cake","Crop Byproduct",87.8,"g",20
"1981","EM1064","Diet 2","Lysine","Supplement",0.439,"g",0.1
"1982","EM1064","Diet 2","Soybean","Crop Product",65.85,"g",15
"1983","EM1064","Diet 3","Bread Waste","Preformulated Feed",39.06,"g",9
"1984","EM1064","Diet 3","Dicalcium Phosphate","Supplement",4.34,"g",1
"1985","EM1064","Diet 3","Lysine","Supplement",0.434,"g",0.1
"1986","EM1064","Diet 3","Methionine","Supplement",0.434,"g",0.1
"1987","EM1064","Diet 3","Groundnut Cake","Crop Byproduct",86.8,"g",20
"1988","EM1064","Diet 3","Fish Ground","Animal",13.02,"g",3
"1989","EM1064","Diet 3","Vegetable Oil","Crop Product",13.02,"g",3
"1990","EM1064","Diet 3","Soybean","Crop Product",58.59,"g",13.5
"1991","EM1064","Diet 3","Maize","Crop Product",202.027,"g",46.55
"1992","EM1064","Diet 3","Salt","Other Ingredients",2.17,"g",0.5
"1993","EM1064","Diet 3","Moringa oleifera Leaves Ground","Forage Plants",4.34,"g",1
"1994","EM1064","Diet 3","Lime","Supplement",8.68,"g",2
"1995","EM1064","Diet 3","Minerals and Vitamins Mix","Supplement",1.085,"g",0.25
"1996","EM1064","Diet 4","Vegetable Oil","Crop Product",12.33,"g",3
"1997","EM1064","Diet 4","Minerals and Vitamins Mix","Supplement",1.0275,"g",0.25
"1998","EM1064","Diet 4","Fish Ground","Animal",12.33,"g",3
"1999","EM1064","Diet 4","Groundnut Cake","Crop Byproduct",82.2,"g",20
"2000","EM1064","Diet 4","Methionine","Supplement",0.411,"g",0.1
"2001","EM1064","Diet 4","Lysine","Supplement",0.411,"g",0.1
"2002","EM1064","Diet 4","Dicalcium Phosphate","Supplement",4.11,"g",1
"2003","EM1064","Diet 4","Soybean","Crop Product",49.32,"g",12
"2004","EM1064","Diet 4","Moringa oleifera Leaves Ground","Forage Plants",6.165,"g",1.5
"2005","EM1064","Diet 4","Maize","Crop Product",176.9355,"g",43.05
"2006","EM1064","Diet 4","Lime","Supplement",8.22,"g",2
"2007","EM1064","Diet 4","Bread Waste","Preformulated Feed",55.485,"g",13.5
"2008","EM1064","Diet 4","Salt","Other Ingredients",2.055,"g",0.5
"2009","EM1065","Treatment T1","Maize","Crop Product",6.3585,"g",9
"2010","EM1065","Treatment T1","Soybean","Crop Product",2.1195,"g",3
"2011","EM1065","Treatment T2","Mucuna pruriens Seed Boiled Dried Ground","Forage Plants",3.2272,"g",4
"2012","EM1065","Treatment T2","Soybean","Crop Product",0.8068,"g",1
"2013","EM1065","Treatment T2","Maize","Crop Product",5.6476,"g",7
"2014","EM1065","Treatment T3","Mucuna pruriens Seed Boiled Dried Ground","Forage Plants",5.3712,"g",6
"2015","EM1065","Treatment T3","Maize","Crop Product",4.83408,"g",5.4
"2016","EM1065","Treatment T3","Soybean","Crop Product",0.53712,"g",0.6
"2017","EM1066","Con","Soybean Full Fat Ground","Crop Product",0.0972504464285713,"g",0.4225
"2018","EM1066","Con","Soybean Ground","Crop Product",0.377301041666666,"g",1.63916666666667
"2019","EM1066","Con","Maize","Crop Product",1.34002291666666,"g",5.82166666666667
"2020","EM1066","PEG0","Soybean Full Fat Ground","Crop Product",0.300649642857142,"g",1.23833333333333
"2021","EM1066","PEG0","Soybean Ground","Crop Product",0.142636607142857,"g",0.5875
"2022","EM1066","PEG0","Moringa oleifera Leaves Dried Ground","Forage Plants",0.202321428571428,"g",0.833333333333333
"2023","EM1066","PEG0","Maize","Crop Product",1.26835303571428,"g",5.22416666666667
"2024","EM1066","PEG100","Moringa oleifera Leaves Dried Ground","Forage Plants",0.221755952380953,"g",0.833333333333333
"2025","EM1066","PEG100","Maize","Crop Product",1.39018806547619,"g",5.22416666666667
"2026","EM1066","PEG100","Soybean Ground","Crop Product",0.156337946428572,"g",0.5875
"2027","EM1066","PEG100","Soybean Full Fat Ground","Crop Product",0.329529345238095,"g",1.23833333333333
"2028","EM1066","PEG100","Polyethylene glycol","Other Ingredients",0.221755952380952,"g",0.833333333333333
"2029","EM1066","PEG25","Soybean Full Fat Ground","Crop Product",0.294944464285714,"g",1.23833333333333
"2030","EM1066","PEG25","Polyethylene glycol","Other Ingredients",0.0496205357142856,"g",0.208333333333333
"2031","EM1066","PEG25","Maize","Crop Product",1.24428455357143,"g",5.22416666666667
"2032","EM1066","PEG25","Moringa oleifera Leaves Dried Ground","Forage Plants",0.198482142857142,"g",0.833333333333333
"2033","EM1066","PEG25","Soybean Ground","Crop Product",0.139929910714285,"g",0.5875
"2034","EM1066","PEG50","Soybean Ground","Crop Product",0.149099107142857,"g",0.5875
"2035","EM1066","PEG50","Polyethylene glycol","Other Ingredients",0.105744047619048,"g",0.416666666666667
"2036","EM1066","PEG50","Maize","Crop Product",1.32581886904762,"g",5.22416666666667
"2037","EM1066","PEG50","Soybean Full Fat Ground","Crop Product",0.314271309523809,"g",1.23833333333333
"2038","EM1066","PEG50","Moringa oleifera Leaves Dried Ground","Forage Plants",0.211488095238095,"g",0.833333333333333
"2039","EM1066","PEG75","Soybean Full Fat Ground","Crop Product",0.314669345238095,"g",1.23833333333333
"2040","EM1066","PEG75","Soybean Ground","Crop Product",0.149287946428572,"g",0.5875
"2041","EM1066","PEG75","Maize","Crop Product",1.32749806547619,"g",5.22416666666667
"2042","EM1066","PEG75","Polyethylene glycol","Other Ingredients",0.158816964285714,"g",0.625
"2043","EM1066","PEG75","Moringa oleifera Leaves Dried Ground","Forage Plants",0.211755952380953,"g",0.833333333333333
"2044","EM1067","Control (A)","Bone Ground","Animal Byproduct",0.0752946428571429,"g",0.375
"2045","EM1067","Control (A)","Lime","Supplement",0.150589285714286,"g",0.75
"2046","EM1067","Control (A)","Groundnut Cake","Crop Byproduct",0.59031,"g",2.94
"2047","EM1067","Control (A)","Maize","Crop Product",1.12992160714286,"g",5.6275
"2048","EM1067","Control (A)","Methionine","Supplement",0.00376473214285714,"g",0.01875
"2049","EM1067","Control (A)","Soybean","Crop Product",0.295155,"g",1.47
"2050","EM1067","Control (A)","Lysine","Supplement",0.00250982142857143,"g",0.0125
"2051","EM1067","Control (A)","Wheat Offal","Crop Byproduct",0.250982142857143,"g",1.25
"2052","EM1067","Control (A)","Salt","Other Ingredients",0.00501964285714286,"g",0.025
"2053","EM1067","Control (A)","Minerals and Vitamins Mix","Supplement",0.00627455357142857,"g",0.03125
"2054","EM1067","Treatment 1(B)","Lysine","Supplement",0.0023714375,"g",0.011875
"2055","EM1067","Treatment 1(B)","Methionine","Supplement",0.00355715625,"g",0.0178125
"2056","EM1067","Treatment 1(B)","Salt","Other Ingredients",0.004742875,"g",0.02375
"2057","EM1067","Treatment 1(B)","Lime","Supplement",0.14228625,"g",0.7125
"2058","EM1067","Treatment 1(B)","Maize","Crop Product",1.0676211625,"g",5.346125
"2059","EM1067","Treatment 1(B)","Wheat Offal","Crop Byproduct",0.23714375,"g",1.1875
"2060","EM1067","Treatment 1(B)","Soybean","Crop Product",0.27888105,"g",1.3965
"2061","EM1067","Treatment 1(B)","Minerals and Vitamins Mix","Supplement",0.00592859375,"g",0.0296875
"2062","EM1067","Treatment 1(B)","Groundnut Cake","Crop Byproduct",0.5577621,"g",2.793
"2063","EM1067","Treatment 1(B)","Gmelina arborea Leaves Dried Ground","Forage Plants",0.1248125,"g",0.625
"2064","EM1067","Treatment 1(B)","Bone Ground","Animal Byproduct",0.071143125,"g",0.35625
"2065","EM1067","Treatment 2 (C)","Bone Ground","Animal Byproduct",0.06733125,"g",0.3375
"2066","EM1067","Treatment 2 (C)","Salt","Other Ingredients",0.00448875,"g",0.0225
"2067","EM1067","Treatment 2 (C)","Soybean","Crop Product",0.2639385,"g",1.323
"2068","EM1067","Treatment 2 (C)","Wheat Offal","Crop Byproduct",0.2244375,"g",1.125
"2069","EM1067","Treatment 2 (C)","Gmelina arborea Leaves Dried Ground","Forage Plants",0.249375,"g",1.25
"2070","EM1067","Treatment 2 (C)","Maize","Crop Product",1.010417625,"g",5.06475
"2071","EM1067","Treatment 2 (C)","Methionine","Supplement",0.0033665625,"g",0.016875
"2072","EM1067","Treatment 2 (C)","Minerals and Vitamins Mix","Supplement",0.0056109375,"g",0.028125
"2073","EM1067","Treatment 2 (C)","Groundnut Cake","Crop Byproduct",0.527877,"g",2.646
"2074","EM1067","Treatment 2 (C)","Lime","Supplement",0.1346625,"g",0.675
"2075","EM1067","Treatment 2 (C)","Lysine","Supplement",0.002244375,"g",0.01125
"2076","EM1067","Treatment 3 (D)","Wheat Offal","Crop Byproduct",0.211801785714286,"g",1.0625
"2077","EM1067","Treatment 3 (D)","Minerals and Vitamins Mix","Supplement",0.00529504464285714,"g",0.0265625
"2078","EM1067","Treatment 3 (D)","Gmelina arborea Leaves Dried Ground","Forage Plants",0.373767857142857,"g",1.875
"2079","EM1067","Treatment 3 (D)","Lysine","Supplement",0.00211801785714286,"g",0.010625
"2080","EM1067","Treatment 3 (D)","Salt","Other Ingredients",0.00423603571428571,"g",0.02125
"2081","EM1067","Treatment 3 (D)","Groundnut Cake","Crop Byproduct",0.4981578,"g",2.499
"2082","EM1067","Treatment 3 (D)","Lime","Supplement",0.127081071428571,"g",0.6375
"2083","EM1067","Treatment 3 (D)","Maize","Crop Product",0.953531639285714,"g",4.783375
"2084","EM1067","Treatment 3 (D)","Soybean","Crop Product",0.2490789,"g",1.2495
"2085","EM1067","Treatment 3 (D)","Bone Ground","Animal Byproduct",0.0635405357142857,"g",0.31875
"2086","EM1067","Treatment 3 (D)","Methionine","Supplement",0.00317702678571429,"g",0.0159375
"2087","EM1068","RFM","Mucuna pruriens Seed Alkali Treated Boiled Decorticated Dried Ground","Forage Plants",0.82144,"g",1.06666666666667
"2088","EM1068","RFM","Maize Bran Ground","Crop Byproduct",0.71876,"g",0.933333333333334
