"","scope","B.Code","D.Item","CP","NDF","Ash","EE","GE","M7_Category"
"86","diet","HK0029","diet c 100",156,NA,142,28,0.0133888,NA
"87","diet","HK0033","0% brewer's grain",108,NA,52.5,40.5,NA,NA
"88","diet","HK0033","15% brewer's grain",172,NA,50.6,43.4,NA,NA
"89","diet","HK0033","30% brewer's grain",151.5,NA,47.9,46.4,NA,NA
"90","diet","HK0033","45% brewer's grain",173.3,NA,45.6,49.3,NA,NA
"91","diet","HK0033","60% brewer's grain",195,NA,43.2,52.2,NA,NA
"92","diet","HK0037","diet 1 bundle 1",237,NA,30.5,48,12.26,NA
"93","diet","HK0037","diet 2 bundle 1",225,NA,39,69.2,12.2,NA
"94","diet","HK0044.1","diet with 0% ucsm 1",210,NA,NA,NA,NA,NA
"95","diet","HK0044.1","diet with 10% ucsm 1",202,NA,NA,NA,NA,NA
"96","diet","HK0044.1","diet with 20% ucsm 1",206,NA,NA,NA,NA,NA
"97","diet","HK0044.1","diet with 30% ucsm 1",204,NA,NA,NA,NA,NA
"98","diet","HK0044.2","diet with 0% ucsm 2",170,NA,NA,NA,NA,NA
"99","diet","HK0044.2","diet with 20% ucsm 2",170,NA,NA,NA,NA,NA
"100","diet","HK0044.2","diet with 30% ucsm 2",170,NA,NA,NA,NA,NA
"101","diet","HK0044.2","diet with 41.1% ucsm 2",170,NA,NA,NA,NA,NA
"102","diet","HK0066.1","0 msk",178,NA,NA,42,NA,NA
"103","diet","HK0066.1","100 msk",176,NA,NA,45,NA,NA
"104","diet","HK0066.1","150 msk",174,NA,NA,46,NA,NA
"105","diet","HK0066.1","200 msk",172,NA,NA,44,NA,NA
"106","diet","HK0066.1","250 msk",171,NA,NA,53,NA,NA
"107","diet","HK0066.1","50 msk",177,NA,NA,42,NA,NA
"108","diet","HK0066.2","0 msk",237.5,NA,NA,38.2,NA,NA
"109","diet","HK0066.2","100 msk",236,NA,NA,45.8,NA,NA
"110","diet","HK0066.2","150 msk",232.1,NA,NA,52.4,NA,NA
"111","diet","HK0066.2","200 msk",236.2,NA,NA,54.5,NA,NA
"112","diet","HK0066.2","50 msk",235,NA,NA,43,NA,NA
"113","diet","HK0098","10% mango diet",406.1,NA,76.5,NA,38.59,NA
"114","diet","HK0098","10% palm kernel diet",410.4,NA,75.4,NA,38.59,NA
"115","diet","HK0098","20% mango diet",410.2,NA,77.8,NA,39.9,NA
"116","diet","HK0098","20% palm kernel diet",413.9,NA,79.3,NA,39.03,NA
"117","diet","HK0098","30% mango diet",411.4,NA,79,NA,39.61,NA
"118","diet","HK0098","30% palm kernel diet",414.5,NA,80.1,NA,39.41,NA
"119","diet","HK0098","control diet",405,NA,73.4,NA,38.15,NA
"120","diet","HK0099","0% palm kernel meal",579,NA,64.6,NA,NA,NA
"121","diet","HK0099","10% palm kernel meal",283.4,NA,42.9,NA,NA,NA
"122","diet","HK0099","15% palm kernel meal",285.6,NA,60.5,NA,NA,NA
"123","diet","HK0099","20% palm kernel meal",290.8,NA,43.7,NA,NA,NA
"124","diet","HK0099","25% palm kernel meal",280.1,NA,40.5,NA,NA,NA
"125","diet","HK0099","30% palm kernel meal",278.6,NA,56.8,NA,NA,NA
"126","diet","HK0102.1","diet con",230.8,NA,NA,NA,NA,NA
"127","diet","HK0102.1","pkm1",228,NA,NA,NA,NA,NA
"128","diet","HK0102.1","pkm2",226,NA,NA,NA,NA,NA
"129","diet","HK0102.1","pkm3",224.9,NA,NA,NA,NA,NA
"130","diet","HK0102.1","pkm4",224.2,NA,NA,NA,NA,NA
"131","diet","HK0102.1","pkm5",223.6,NA,NA,NA,NA,NA
"132","diet","HK0102.2","diet con",203.4,NA,NA,NA,NA,NA
"133","diet","HK0102.2","pkm1",201.1,NA,NA,NA,NA,NA
"134","diet","HK0102.2","pkm2",197.8,NA,NA,NA,NA,NA
"135","diet","HK0102.2","pkm3",196.9,NA,NA,NA,NA,NA
"136","diet","HK0102.2","pkm4",197,NA,NA,NA,NA,NA
"137","diet","HK0102.2","pkm5",196.7,NA,NA,NA,NA,NA
"138","diet","HK0108","0% leucaena diet",56.8,320,133.8,23.2,0.02694496,NA
"139","diet","HK0118","tm 1",435,NA,84,NA,17.76,NA
"140","diet","HK0118","tm 2",435,NA,83,NA,17.98,NA
"141","diet","HK0118","tm 3",434,NA,66,NA,18.19,NA
"142","diet","HK0118","tm 4",433,NA,52,NA,18.41,NA
"143","diet","HK0118","tm 5",432,NA,41,NA,18.82,NA
"144","diet","HK0129","bdg1",161.3,NA,NA,NA,NA,NA
"145","diet","HK0129","bdg2",172.2,NA,NA,NA,NA,NA
"146","diet","HK0129","bdg3",186.5,NA,NA,NA,NA,NA
"147","diet","HK0129","diet con",148.6,NA,NA,NA,NA,NA
"148","diet","HK0138","untreated straw + haulms bundle 1",68,NA,NA,NA,NA,NA
"149","diet","HK0138","untreated straw + haulms bundle 3",68,NA,NA,NA,NA,NA
"150","diet","HK0138","untreated straw bundle 1",48,NA,NA,NA,NA,NA
"151","diet","HK0138","urea straw + haulms bundle 1",94,NA,NA,NA,NA,NA
"152","diet","HK0138","urea straw + haulms bundle 2",94,NA,NA,NA,NA,NA
"153","diet","HK0138","urea straw + haulms bundle 3",94,NA,NA,NA,NA,NA
"154","diet","HK0138","urea straw bundle 1",84,NA,NA,NA,NA,NA
"155","diet","HK0138","urea straw bundle 2",84,NA,NA,NA,NA,NA
"156","diet","HK0160","cp",366.4,NA,19.7,NA,NA,NA
"157","diet","HK0160","mc",370.5,NA,12.1,NA,NA,NA
"158","diet","HK0160","pp",369.2,NA,11.6,NA,NA,NA
"159","diet","HK0160","ym con",371.7,NA,39.4,NA,NA,NA
"160","diet","HK0160","yp",372.8,NA,22.2,NA,NA,NA
"161","diet","HK0228","commercial diet 1",NA,NA,92,NA,21,NA
"162","diet","HK0228","no crop byproducts diet",NA,NA,110,NA,18.8,NA
"163","diet","HK0284","con",159.3,NA,51.9,61.6,15.9,NA
"164","diet","HK0284","rsa1",159.7,NA,51.2,57.1,15.9,NA
"165","diet","HK0284","rsa2",158.9,NA,46,39.5,15.8,NA
"166","diet","HK0284","rsa3",159.1,NA,43.6,37.7,15.8,NA
"167","diet","HK0319","l. jav 25 diet",179.9,253.4,NA,NA,NA,NA
"168","diet","HK0319","negative control diet",189.4,230.8,NA,NA,NA,NA
"169","diet","HK0327.1","lh wh1 b1",160,318,NA,NA,NA,NA
"170","diet","HK0327.1","lh wh2 b1",172,317,NA,NA,NA,NA
"171","diet","HK0327.1","lh wh3 b1",172,304,NA,NA,NA,NA
"172","diet","HK0327.1","lh wh4 b1",175,315,NA,NA,NA,NA
"173","diet","HK0327.1","lh wh5 b1",179,329,NA,NA,NA,NA
"174","diet","HK0327.2","oh wh1 b2",198,354,NA,NA,NA,NA
"175","diet","HK0327.2","oh wh2 b2",206,350,NA,NA,NA,NA
"176","diet","HK0327.2","oh wh4 b2",216,344,NA,NA,NA,NA
"177","diet","HK0327.2","oh wh5 b2",210,333,NA,NA,NA,NA
"178","diet","HK0329","dc0",148,NA,NA,52.2,NA,NA
"179","diet","HK0329","dc100",146,NA,NA,54.1,NA,NA
"180","diet","HK0329","dc150",147,NA,NA,53.7,NA,NA
"181","diet","HK0329","dc200",149,NA,NA,56.9,NA,NA
"182","diet","HK0330","120 g/kg a. tortilis",186,237,NA,NA,17.8,NA
"183","diet","HK0330","150 g/kg a. tortilis",190,241,NA,NA,18.1,NA
"184","diet","HK0331","diet con",300.3,NA,NA,NA,20.21,NA
"185","diet","HK0331","klm 1",298.7,NA,NA,NA,20.34,NA
"186","diet","HK0331","klm 2",299.6,NA,NA,NA,20.48,NA
"187","diet","HK0331","klm 3",297.1,NA,NA,NA,20.53,NA
"188","diet","HK0331","klm 4",300.7,NA,NA,NA,20.47,NA
"189","diet","HK0331","mlm 1",298.4,NA,NA,NA,20.58,NA
"190","diet","HK0331","mlm 2",299.8,NA,NA,NA,20.42,NA
"191","diet","HK0331","mlm 3",304.8,NA,NA,NA,20.26,NA
"192","diet","HK0331","mlm 4",303.8,NA,NA,NA,20.36,NA
"193","diet","HK0350","con csm",182,NA,NA,NA,NA,NA
"194","diet","HK0350","velvet bm 1",184,NA,NA,NA,NA,NA
"195","diet","HK0350","velvet bm 2",183,NA,NA,NA,NA,NA
"196","diet","HK0350","velvet bm 3",183,NA,NA,NA,NA,NA
"197","diet","JS0076","bfm1",202.5,NA,NA,35,NA,NA
"198","diet","JS0076","bfm2",201.8,NA,NA,34.4,NA,NA
"199","diet","JS0076","bfm3",201.2,NA,NA,33.8,NA,NA
"200","diet","JS0076","diet con",204.1,NA,NA,35.7,NA,NA
"201","diet","JS0079.1","con",210,NA,NA,NA,NA,NA
"202","diet","JS0079.1","sdbm1",214.4,NA,NA,NA,NA,NA
"203","diet","JS0079.1","sdbm2",216.2,NA,NA,NA,NA,NA
"204","diet","JS0079.1","sdbm3",218.9,NA,NA,NA,NA,NA
"205","diet","JS0079.2","con",17.12,NA,13.64,NA,NA,NA
"206","diet","JS0079.2","sdbm1",17,NA,13.73,NA,NA,NA
"207","diet","JS0079.2","sdbm2",17.31,NA,13.86,NA,NA,NA
"208","diet","JS0079.2","sdbm3",17.65,NA,13.91,NA,NA,NA
"209","diet","JS0080","25 sdbm",219.8,NA,NA,38.9,NA,NA
"210","diet","JS0080","50 sdbm",219.3,NA,NA,37.3,NA,NA
"211","diet","JS0080","75 sdbm",219.3,NA,NA,35.9,NA,NA
"212","diet","JS0080","no sdbm",217.54,NA,NA,40.1,NA,NA
"213","diet","JS0081","t1 55% maize",167,NA,46,28.8,NA,NA
"214","diet","JS0081","t2 45% maize",166,NA,47,35.7,NA,NA
"215","diet","JS0081","t3 35% maize",162,NA,50,41.2,NA,NA
"216","diet","JS0093","diet con",210,NA,NA,56,NA,NA
"217","diet","JS0093","pkc1",212,NA,NA,57,NA,NA
"218","diet","JS0093","pkc2",212,NA,NA,58,NA,NA
"219","diet","JS0093","pkc3",212,NA,NA,59,NA,NA
"220","diet","JS0093","pkc4",212,NA,NA,59,NA,NA
"221","diet","JS0093","pkc5",212,NA,NA,61,NA,NA
"222","diet","JS0094.2","con experiment2",152.4,NA,NA,42.4,NA,NA
"223","diet","JS0095","100% straw",35.9,NA,73.9,4.3,15.98288,NA
"224","diet","JS0095","50% straw + 40% molasses + 10% dpm",54.1,NA,88.5,3,14.35112,NA
"225","diet","JS0095","60% straw + 40% molasses",40.2,NA,62.4,2.5,14.8532,NA
"226","diet","JS0112","dy0",311.8,NA,87.2,57.9,17.4276152,NA
"227","diet","JS0112","dy1",311.8,NA,87.8,57.4,17.4217576,NA
"228","diet","JS0112","dy2",311.8,NA,88.1,57.1,17.4184104,NA
"229","diet","JS0112","dy3",311.8,NA,88.6,56.8,17.4150632,NA
"230","diet","JS0118","jatropha sm 2",155.9,NA,74.3,66.6,NA,NA
"231","diet","JS0118","jatropha sm 3",156.2,NA,85.7,67.1,NA,NA
"232","diet","JS0123","diet con",167.9,NA,46.3,33.2,NA,NA
"233","diet","JS0123","jcsm1",165.4,NA,47.6,32.5,NA,NA
"234","diet","JS0123","jcsm2",164.8,NA,46.2,33.4,NA,NA
"235","diet","JS0123","jcsm3",162.3,NA,46.7,34.2,NA,NA
"236","diet","JS0123","jcsm4",163.5,NA,48.5,38.2,NA,NA
"237","diet","JS0125","100% pbm",359.4,NA,97.2,NA,NA,NA
"238","diet","JS0125","20% pbm",366.3,NA,80.3,NA,NA,NA
"239","diet","JS0125","40% pbm",356,NA,79.6,NA,NA,NA
"240","diet","JS0125","60% pbm",362.5,NA,86.9,NA,NA,NA
"241","diet","JS0125","80% pbm",359.2,NA,89.3,NA,NA,NA
"242","diet","JS0125","control",349.8,NA,73.5,NA,NA,NA
"243","diet","JS0134","con",318.4,NA,72,NA,187.4,NA
"244","diet","JS0134","okara1",318.1,NA,66,NA,188.1,NA
"245","diet","JS0134","okara2",317.9,NA,61,NA,184.9,NA
"246","diet","JS0134","okara3",317.7,NA,56,NA,182.1,NA
"247","diet","JS0134","okara4",317.5,NA,51,NA,180.9,NA
"248","diet","JS0135","csm0",318.2,NA,61.1,NA,NA,NA
"249","diet","JS0135","csm100",317.3,NA,65.1,NA,NA,NA
"250","diet","JS0135","csm25",317.8,NA,60.3,NA,NA,NA
"251","diet","JS0135","csm50",317.6,NA,66.1,NA,NA,NA
"252","diet","JS0135","csm75",317.5,NA,63.7,NA,NA,NA
"253","diet","JS0139","fm sb substitution2",253,NA,95.3,68.7,0.01844,NA
"254","diet","JS0139","fm sb substitution3",308,NA,109.2,65.2,0.01845,NA
"255","diet","JS0139","fm sb substitution4",352,NA,123,61.6,0.0184,NA
"256","diet","JS0147","diet con",147,NA,73,44,NA,NA
"257","diet","JS0147","gm1 b",212,NA,62,35,NA,NA
"258","diet","JS0147","gm2 c",206,NA,74,46,NA,NA
"259","diet","JS0147","gm3 d",229,NA,69,40,NA,NA
"260","diet","JS0147","gm4 e",162,NA,73,56,NA,NA
"261","diet","JS0206","llm",NA,NA,NA,NA,NA,NA
"262","diet","JS0206","nlm",NA,NA,NA,NA,NA,NA
"263","diet","JS0206","plm",NA,NA,NA,NA,NA,NA
"264","diet","JS0289.1","teff + 150 g wheat offal",NA,NA,NA,NA,NA,NA
"265","diet","JS0289.1","teff + 200 g l. pallida",NA,NA,NA,NA,NA,NA
"266","diet","JS0289.1","teff + 200g s. sesban",NA,NA,NA,NA,NA,NA
"267","diet","JS0289.1","teff + 400 g l. pallida",NA,NA,NA,NA,NA,NA
"268","diet","JS0289.1","teff + 400 g s. sesban",NA,NA,NA,NA,NA,NA
"269","diet","JS0289.2","teff + 150 g wheat offal",NA,NA,NA,NA,NA,NA
"270","diet","JS0289.2","teff + 200 g l. pallida",NA,NA,NA,NA,NA,NA
"271","diet","JS0289.2","teff + 200g s. sesban",NA,NA,NA,NA,NA,NA
"272","diet","JS0289.2","teff + 400 g l. pallida",NA,NA,NA,NA,NA,NA
"273","diet","JS0289.2","teff + 400 g s. sesban",NA,NA,NA,NA,NA,NA
