"","scope","B.Code","D.Item","CP","NDF","Ash","EE","GE","M7_Category"
"373","diet","LM0136.1","16% crude protein",160,NA,NA,NA,NA,NA
"374","diet","LM0136.1","18% crude protein",180,NA,NA,NA,NA,NA
"375","diet","LM0136.1","20% crude protein",200,NA,NA,NA,NA,NA
"376","diet","LM0136.2","14% crude protein",135,NA,NA,NA,NA,NA
"377","diet","LM0136.2","16% crude protein",156,NA,NA,NA,NA,NA
"378","diet","LM0136.2","18% crude protein",176,NA,NA,NA,NA,NA
"379","diet","LM0136.2","20% crude protein",196,NA,NA,NA,NA,NA
"380","diet","LM0138","hatchery waste meal1",245.9,NA,70.4,22.2,NA,NA
"381","diet","LM0138","hatchery waste meal2",251.6,NA,69.2,25.8,NA,NA
"382","diet","LM0138","hatchery waste meal3",250.9,NA,64,30.6,NA,NA
"383","diet","LM0139","360g/kg of opuntia ficus-indica",177,313,NA,22,15.5,NA
"384","diet","LM0163","mt d1",NA,NA,NA,NA,NA,NA
"385","diet","LM0163","mt d2",NA,NA,NA,NA,NA,NA
"386","diet","LM0163","mt d3",NA,NA,NA,NA,NA,NA
"387","diet","LM0163","mt d4",NA,NA,NA,NA,NA,NA
"388","diet","LM0266","nilotica3",135,227,35,17,NA,NA
"389","diet","LM0280","cc diet",175,256,54,NA,NA,NA
"390","diet","LM0312","con",331.6,NA,75.4,NA,NA,NA
"391","diet","LM0312","mbm1",335.4,NA,69.6,NA,NA,NA
"392","diet","LM0312","mbm2",324.8,NA,72.7,NA,NA,NA
"393","diet","LM0312","mbm3",343.4,NA,70.4,NA,NA,NA
"394","diet","LM0320","d 10",96.1,NA,91.3,NA,NA,NA
"395","diet","LM0320","d 20",94.9,NA,89.8,NA,NA,NA
"396","diet","LM0320","d 30",94.9,NA,94.7,NA,NA,NA
"397","diet","LM0320","d con",96.3,NA,87.3,NA,NA,NA
"398","diet","LM0334","control",300.3,NA,NA,NA,20.21,NA
"399","diet","LM0334","km100",300.7,NA,NA,NA,20.47,NA
"400","diet","LM0334","km25",298.7,NA,NA,NA,20.34,NA
"401","diet","LM0334","km50",299.6,NA,NA,NA,20.48,NA
"402","diet","LM0334","km75",297.1,NA,NA,NA,20.53,NA
"403","diet","LM0334","mm100",303.8,NA,NA,NA,20.36,NA
"404","diet","LM0334","mm25",298.4,NA,NA,NA,20.58,NA
"405","diet","LM0334","mm50",299.8,NA,NA,NA,20.42,NA
"406","diet","LM0334","mm75",304.8,NA,NA,NA,20.26,NA
"407","diet","LM0336","cm100",160,222,71.6,NA,NA,NA
"408","diet","LM0339","20% silage",159,242,NA,32.8,NA,NA
"409","diet","LM0339","50% silage",154.5,316.7,NA,31.2,NA,NA
"410","diet","LM0339","70% silage",153.3,341.8,NA,36.8,NA,NA
"411","diet","LM0347","dbl0",162,NA,NA,NA,NA,NA
"412","diet","LM0347","dbl100",161,NA,NA,NA,NA,NA
"413","diet","LM0347","dbl150",162,NA,NA,NA,NA,NA
"414","diet","LM0347","dbl200",162,NA,NA,NA,NA,NA
"415","diet","LM0347","dbl50",159,NA,NA,NA,NA,NA
"416","diet","LM0349","cact-aa",NA,295,109,NA,NA,NA
"417","diet","LM0349","cact-ll",NA,339,96,NA,NA,NA
"418","diet","LM0349","cact-ma",NA,248,107,NA,NA,NA
"419","diet","LM0349","commercial sheep meal diet",140,NA,NA,NA,NA,NA
"420","diet","LM0354","0% bys",345,NA,91.8,NA,NA,NA
"421","diet","LM0354","100% bys",378.3,NA,98.9,NA,NA,NA
"422","diet","LM0354","25% bys",353,NA,93.6,NA,NA,NA
"423","diet","LM0354","50% bys",362.3,NA,95.1,NA,NA,NA
"424","diet","LM0354","75% bys",370.7,NA,97.4,NA,NA,NA
"425","diet","NJ0032","sb-0",159,232,36,46,NA,NA
"426","diet","NJ0032","sb-10",158,242,64,49,NA,NA
"427","diet","NJ0032","sb-15",157,252,67,48,NA,NA
"428","diet","NJ0032","sb-20",164,253,73,46,NA,NA
"429","diet","NJ0047","t1",193.8,NA,158.4,52.5,NA,NA
"430","diet","NJ0047","t2",196.8,NA,187,54.5,NA,NA
"431","diet","NJ0047","t3",196.8,NA,191.1,31.5,NA,NA
"432","diet","NJ0047","t4",198.4,NA,195.2,39,NA,NA
"433","diet","NN0005","0 m",153,272,NA,NA,NA,NA
"434","diet","NN0005","20 m",153,231,NA,NA,NA,NA
"435","diet","NN0085","u0",286.4,NA,67.2,NA,16.12,NA
"436","diet","NN0085","u1",281.3,NA,79.8,NA,15.37,NA
"437","diet","NN0085","u2",278.3,NA,114.2,NA,14.77,NA
"438","diet","NN0085","u3",271.4,NA,118.8,NA,14.57,NA
"439","diet","NN0098","a 0 con",364,NA,102,NA,18.96,NA
"440","diet","NN0098","a 10",362.7,NA,120,NA,19.28,NA
"441","diet","NN0098","a 20",356.1,NA,133,NA,19.54,NA
"442","diet","NN0098","a 30",352.2,NA,154.4,NA,19.72,NA
"443","diet","NN0101","b",210,245,NA,NA,NA,NA
"444","diet","NN0101","b-peg",210,235,NA,NA,NA,NA
"445","diet","NN0106","b0",151.5,NA,85.6,NA,13.13776,NA
"446","diet","NN0106","b1",144.8,NA,93.1,NA,12.552,NA
"447","diet","NN0106","b2",143,NA,96.6,NA,12.3428,NA
"448","diet","NN0106","b3",141.7,NA,98,NA,12.21728,NA
"449","diet","NN0106","b4",140.5,NA,104,NA,11.9244,NA
"450","diet","NN0109.1","c-0",378.4,NA,29.5,NA,18.3,NA
"451","diet","NN0109.1","c-15",377.6,NA,36.4,NA,18.4,NA
"452","diet","NN0109.1","c-30",376.8,NA,42.3,NA,18.6,NA
"453","diet","NN0109.1","c-45",374.9,NA,59.1,NA,18.7,NA
"454","diet","NN0109.2","p-25",257.2,NA,58.9,NA,18.5,NA
"455","diet","NN0109.2","p-30",377.6,NA,36.4,NA,18.4,NA
"456","diet","NN0109.2","p-35",376.8,NA,42.3,NA,18.6,NA
"457","diet","NN0109.2","p-40",374.9,NA,59.1,NA,18.7,NA
"458","diet","NN0110.1","fm",398,NA,NA,NA,17.56,NA
"459","diet","NN0110.1","s80",395,NA,NA,NA,17.64,NA
"460","diet","NN0110.1","w20",390,NA,NA,NA,17.6,NA
"461","diet","NN0110.1","w40",394,NA,NA,NA,17.61,NA
"462","diet","NN0110.1","w60",392,NA,NA,NA,17.63,NA
"463","diet","NN0110.1","w80",396,NA,NA,NA,17.66,NA
"464","diet","NN0110.2","diet 1",407,NA,NA,NA,NA,NA
"465","diet","NN0110.2","diet 2",405,NA,NA,NA,NA,NA
"466","diet","NN0110.2","diet 3",404,NA,NA,NA,NA,NA
"467","diet","NN0110.2","diet 4",408,NA,NA,NA,NA,NA
"468","diet","NN0110.2","diet 5",407,NA,NA,NA,NA,NA
"469","diet","NN0112","rq 20",399.2,NA,109.3,NA,18.41,NA
"470","diet","NN0112","rq 40",395.9,NA,110.9,NA,18.28,NA
"471","diet","NN0112","rq 60",398.4,NA,112.6,NA,18.12,NA
"472","diet","NN0112","sb 60",397.5,NA,107.5,NA,18.6,NA
"473","diet","NN0113","t1",372.1,NA,34.2,NA,18.813356,NA
"474","diet","NN0113","t2",369.8,NA,39.5,NA,NA,NA
"475","diet","NN0113","t3",368.8,NA,40.8,NA,NA,NA
"476","diet","NN0113","t4",368.4,NA,43.1,NA,18.8317656,NA
"477","diet","NN0114","ctr",406,NA,93.5,NA,NA,NA
"478","diet","NN0114","rsf15",404.7,NA,87.1,NA,NA,NA
"479","diet","NN0114","rsf30",402.8,NA,88,NA,NA,NA
"480","diet","NN0114","rsf45",401.8,NA,90.4,NA,NA,NA
"481","diet","NN0114","rsm15",404.8,NA,89.1,NA,NA,NA
"482","diet","NN0114","rsm30",404.2,NA,88.1,NA,NA,NA
"483","diet","NN0114","rsm45",402.4,NA,85.1,NA,NA,NA
"484","diet","NN0115","fm",428.9,NA,85,NA,18.4,NA
"485","diet","NN0115","sf25",429.1,NA,78.4,NA,18.3,NA
"486","diet","NN0115","sf50",430.2,NA,70.3,NA,18.6,NA
"487","diet","NN0115","sf75",430.7,NA,62.7,NA,18.9,NA
"488","diet","NN0115","sf75 + m",431.2,NA,62.3,NA,18.7,NA
"489","diet","NN0117","con 0 pom",399,NA,118,NA,NA,NA
"490","diet","NN0117","pom 30%",398,NA,119,NA,NA,NA
"491","diet","NN0117","pom 60%",402,NA,126,NA,NA,NA
"492","diet","NN0117","pom 90%",400,NA,112,NA,NA,NA
"493","diet","NN0119.1","1",161,NA,NA,52,NA,NA
"494","diet","NN0119.1","2",162,NA,NA,53,NA,NA
"495","diet","NN0119.1","3",160,NA,NA,53,NA,NA
"496","diet","NN0119.1","4",161,NA,NA,54,NA,NA
"497","diet","NN0119.2","diet 2 with 10% tolm",NA,NA,NA,64.1,19.33008,NA
"498","diet","NN0119.2","diet 3 with 15% tolm",NA,NA,NA,64,19.33008,NA
"499","diet","NN0119.2","diet 4 with 20% tolm",NA,NA,NA,67.1,19.33008,NA
"500","diet","NN0119.2","diet 5 with 25% tolm",NA,NA,NA,70.2,19.33008,NA
"501","diet","NN0135","30% cassava-s",31.5,NA,14.4,3.4,NA,NA
"502","diet","NN0135","30% cassava-u",173.3,NA,71.3,36.1,NA,NA
"503","diet","NN0135","con 30% maize-based",182,NA,65.7,46.7,NA,NA
"504","diet","NN0137.1","dgsm 0",221,NA,NA,NA,NA,NA
"505","diet","NN0137.3","control",221,NA,NA,NA,NA,NA
"506","diet","NN0137.3","dgsm 1.5 finisher",197,NA,NA,NA,NA,NA
"507","diet","NN0137.3","dgsm 1.5 grower",217,NA,NA,NA,NA,NA
"508","diet","NN0137.4","dgsm 0",212,NA,NA,NA,NA,NA
"509","diet","NN0137.4","dgsm 2",211,NA,NA,NA,NA,NA
"510","diet","NN0137.4","dgsm 4",210,NA,NA,NA,NA,NA
"511","diet","NN0137.4","dgsm 6",209,NA,NA,NA,NA,NA
"512","diet","NN0156","meal",182,NA,63,28,NA,NA
"513","diet","NN0156","whole-grain",182,NA,63,28,NA,NA
"514","diet","NN0180.1","pw 0",155,290,NA,38,16.5,NA
"515","diet","NN0180.1","pw 100",177,351,NA,54,16.2,NA
"516","diet","NN0180.1","pw 25",167,308,NA,43,16.6,NA
"517","diet","NN0180.1","pw 50",169,312,NA,45,16.1,NA
"518","diet","NN0180.1","pw 75",172,318,NA,49,15.9,NA
"519","diet","NN0180.2","control",126,NA,NA,NA,15.71,NA
"520","diet","NN0180.2","db",134,NA,NA,6.8,15.21,NA
"521","diet","NN0180.2","db + phs",106,NA,NA,NA,14.79,NA
"522","diet","NN0196","a. angustissima 15132",278.7,338.2,68.7,NA,NA,NA
"523","diet","NN0196","l. pallida 14203",216.2,298.2,88.8,NA,NA,NA
"524","diet","NN0196","ss 1198 + aa 15132",233.1,246.2,106,NA,NA,NA
"525","diet","NN0196","ss 1198 + lp 14203",230,244.9,103.4,NA,NA,NA
"526","diet","NN0196","ss 15019 + aa 15132",222.5,237.5,102,NA,NA,NA
"527","diet","NN0196","ss 15019 + lp 14203",218.1,236.8,102.2,NA,NA,NA
"528","diet","NN0198","con t1",190,NA,93,65.9,NA,NA
"529","diet","NN0198","mlm t2",187,NA,96,57.7,NA,NA
"530","diet","NN0198","mlm t3",189,NA,102,56.3,NA,NA
"531","diet","NN0198","mlm t4",185,NA,105,53.8,NA,NA
"532","diet","NN0198","mlm t5",186,NA,106,51,NA,NA
"533","diet","NN0204","treated low",NA,358,NA,NA,NA,NA
"534","diet","NN0204","treated med",NA,359,NA,NA,NA,NA
"535","diet","NN0204","untreated high",NA,336,NA,NA,NA,NA
"536","diet","NN0204","untreated low",NA,359,NA,NA,NA,NA
"537","diet","NN0204","untreated med",NA,352,NA,NA,NA,NA
"538","diet","NN0224","maize i hay 0",NA,NA,NA,NA,NA,NA
"539","diet","NN0224","maize i hay 150",NA,NA,NA,NA,NA,NA
"540","diet","NN0224","maize i hay 300",NA,NA,NA,NA,NA,NA
"541","diet","NN0224","maize i hay 450",NA,NA,NA,NA,NA,NA
"542","diet","NN0224","maize ii hay 0",NA,NA,NA,NA,NA,NA
"543","diet","NN0224","maize ii hay 150",NA,NA,NA,NA,NA,NA
"544","diet","NN0224","maize ii hay 300",NA,NA,NA,NA,NA,NA
"545","diet","NN0224","maize ii hay 450",NA,NA,NA,NA,NA,NA
"546","diet","NN0224","maize iii hay 0",NA,NA,NA,NA,NA,NA
"547","diet","NN0224","maize iii hay 150",NA,NA,NA,NA,NA,NA
"548","diet","NN0224","maize iii hay 300",NA,NA,NA,NA,NA,NA
"549","diet","NN0224","maize iii hay 450",NA,NA,NA,NA,NA,NA
"550","diet","NN0276.2","leucana leaves t2",NA,319,91.3,14.1,NA,NA
"551","diet","NN0280.1","ml 1",NA,NA,NA,NA,NA,NA
"552","diet","NN0280.1","ml 2",NA,NA,NA,NA,NA,NA
"553","diet","NN0280.1","ml 3",NA,NA,NA,NA,NA,NA
"554","diet","NN0280.1","ml 4",NA,NA,NA,NA,NA,NA
"555","diet","NN0280.1","ov 1",NA,NA,NA,NA,NA,NA
"556","diet","NN0280.1","ov 2",NA,NA,NA,NA,NA,NA
"557","diet","NN0280.1","ov 3",NA,NA,NA,NA,NA,NA
"558","diet","NN0280.1","ov 4",NA,NA,NA,NA,NA,NA
"559","diet","NN0282","maize offal t1",179,NA,75,26,NA,NA
"560","diet","NN0282","wheat offal t2",202,NA,103,12,NA,NA
"561","diet","NN0282","whole maize t3",153,NA,109,54,NA,NA
"562","diet","NN0299","control",178,288.6,40.5,40.8,NA,NA
"563","diet","NN0299","t1",180,281.2,40.7,47.5,NA,NA
"564","diet","NN0299","t2",180,281.1,40.9,58.5,NA,NA
"565","diet","NN0299","t3",179,281.1,40.9,60.1,NA,NA
"566","diet","NN0315","c2",142,NA,NA,NA,NA,NA
"567","diet","NN0315","gs2",139,NA,NA,NA,NA,NA
"568","diet","NN0315","l2",141,NA,NA,NA,NA,NA
"569","diet","NN0315","m2",138,NA,NA,NA,NA,NA
"570","diet","NN0315","pl2",140,NA,NA,NA,NA,NA
"571","diet","NN0318","control",190.4,NA,NA,NA,NA,NA
"572","diet","NN0318","high glycerol",200.1,NA,NA,NA,NA,NA
"573","diet","NN0318","low glycerol",190.1,NA,NA,NA,NA,NA
"574","diet","NN0325","0.5 pumpkin leaf",413,NA,53.5,NA,NA,NA
"575","diet","NN0325","1 pumpkin leaf",413,NA,53.5,NA,NA,NA
"576","diet","NN0325","1.5 pumpkin leaf",413,NA,53.5,NA,NA,NA
"577","diet","NN0325","2 pumpkin leaf",413,NA,53.5,NA,NA,NA
"578","diet","NN0325","control",413,NA,53.5,NA,19.4556,NA
"579","diet","NN0326","d2",401.5,NA,80,NA,NA,NA
"580","diet","NN0326","d3",402.2,NA,80,NA,NA,NA
"581","diet","NN0326","d4",403.7,NA,80,NA,NA,NA
"582","diet","NN0326","d5",401.8,NA,80,NA,NA,NA
"583","diet","NN0331","t1 a",394.2,NA,122.9,NA,NA,NA
"584","diet","NN0331","t2 b",400.9,NA,128.9,NA,NA,NA
"585","diet","NN0331","t3 c",411.2,NA,126,NA,NA,NA
"586","diet","NN0331","t4 d",412,NA,114.6,NA,NA,NA
"587","diet","NN0331","t5 e",409.7,NA,110.5,NA,NA,NA
"588","diet","NN0339.1","nc con",406,NA,83,NA,16.8,NA
"589","diet","NN0339.2","commercial high constant",404,NA,82,NA,18.5,NA
"590","diet","NN0339.2","commercial low constant",395,NA,84,NA,18.4,NA
"591","diet","NN0339.2","control",389,NA,79,NA,NA,NA
"592","diet","NN0339.2","trout silage high constant",405,NA,80,NA,18.4,NA
"593","diet","NN0339.2","trout silage low constant",392,NA,79,NA,18.3,NA
"594","diet","NN0341","c",462,NA,115,NA,NA,NA
"595","diet","NN0341","hch",470,NA,115,NA,NA,NA
"596","diet","NN0341","hcl",474,NA,116,NA,NA,NA
"597","diet","NN0341","hph",466,NA,116,NA,NA,NA
"598","diet","NN0341","hpl",474,NA,112,NA,NA,NA
"599","diet","NN0341","sh",472,NA,109,NA,NA,NA
"600","diet","NN0341","sl",471,NA,112,NA,NA,NA
"601","diet","NN0342","c",450,NA,NA,NA,NA,NA
"602","diet","NN0342","so",452,NA,NA,NA,NA,NA
"603","diet","NN0357","control diet",192,228,69,NA,18.63972,NA
"604","diet","NN0357","diet 3",212,359,131,NA,17.710872,NA
"605","diet","NN0358","lfjsm 25",308.3,NA,65.1,69.1,18.27,NA
"606","diet","NN0358","lfjsm 50",304.2,NA,65.1,63.7,18.11,NA
"607","diet","NN0358","lfjsm 75",300.3,NA,66.2,57.5,17.91,NA
"608","diet","NN0358","pfjsm 25",308.4,NA,60.4,69.3,18.4,NA
"609","diet","NN0358","pfjsm 50",304.4,NA,66,63.9,18.11,NA
"610","diet","NN0358","pfjsm 75",300.4,NA,67,57.6,17.9,NA
"611","diet","NN0359","cwc 10",326,NA,84,NA,NA,NA
"612","diet","NN0359","cwc 20",328,NA,87,NA,NA,NA
"613","diet","NN0359","cwc 30",323,NA,82,NA,NA,NA
"614","diet","NN0359","cwc 40",330,NA,85,NA,NA,NA
"615","diet","NN0359","control",329,NA,83,NA,NA,NA
"616","diet","NN0361","control",149,339,NA,60,NA,NA
"617","diet","NN0361","fresh",152,347,NA,48,NA,NA
"618","diet","NN0361","hay",153,349,NA,48,NA,NA
"619","diet","NN0361","silage",147,345,NA,48,NA,NA
"620","diet","NN0362","m0",146.9,337.5,NA,62,NA,NA
"621","diet","NN0362","m10",145.1,343.3,NA,54.7,NA,NA
"622","diet","NN0362","m15",144.2,346.2,NA,51.1,NA,NA
"623","diet","NN0362","m20",143.3,349,NA,47.5,NA,NA
"624","diet","NN0367","diet1 con",320.8,NA,73.3,NA,182.1,NA
"625","diet","NN0367","diet2cur50",320.8,NA,73.3,NA,182.1,NA
"626","diet","NN0367","diet3cur100",320.8,NA,73.3,NA,182.1,NA
"627","diet","NN0367","diet4cur150",320.8,NA,73.3,NA,182.1,NA
"628","diet","NN0367","diet5cur200",320.8,NA,73.3,NA,182.1,NA
"629","diet","NN0368","me10",NA,NA,NA,NA,NA,NA
"630","diet","NN0368","me20",NA,NA,NA,NA,NA,NA
"631","diet","NN0368","me40",NA,NA,NA,NA,NA,NA
"632","diet","NN0369","d-100",293.9,NA,57.1,67.5,19.59,NA
"633","diet","NN0369","d-50",296,NA,58.6,70,19.62,NA
"634","diet","NN0369","d-75",295,NA,58.2,67.9,19.58,NA
"635","diet","NN0370","con",156,266,NA,49,NA,NA
"636","diet","NN0370","urea1",158,265,NA,43,NA,NA
"637","diet","NN0370","urea2",155,266,NA,43,NA,NA
"638","diet","NN0380","d2",231.2,NA,95,NA,NA,NA
"639","diet","NN0380","d3",228.5,NA,5,NA,NA,NA
"640","diet","NN0380","d4",229.1,NA,115,NA,NA,NA
"641","diet","NN0380","d5",231,NA,155,NA,NA,NA
"642","diet","NN0383","0 percent",29.9,NA,6.5,NA,1734.4,NA
"643","diet","NN0383","1 percent",29.9,NA,6.3,NA,1740.9,NA
"644","diet","NN0383","2 percent",29.9,NA,6.4,NA,1729,NA
"645","diet","NN0383","3 percent",29.9,NA,6.5,NA,1735.8,NA
"646","diet","NN0384","1% inclusion",289,NA,62,NA,1731,NA
"647","diet","NN0384","2% inclusion",289,NA,61,NA,1722.5,NA
"648","diet","NN0384","5% inclusion",289,NA,61,NA,1721.8,NA
"649","diet","NN0384","control",289,NA,62,NA,1725.9,NA
"650","diet","NN0399","napier grass",85,NA,147,NA,NA,NA
"651","diet","NN0400","100% bsg",266,NA,39.5,14.5,NA,NA
"652","diet","NN0400","25% bsg",168,NA,65,30.6,NA,NA
"653","diet","NN0400","50% bsg",200,NA,57.9,25.3,NA,NA
"654","diet","NN0400","75% bsg",234,NA,48.7,19.9,NA,NA
"655","diet","NN0400","control diet",134,NA,76.2,36,NA,NA
"656","diet","BO1009","diet 3",136.4,357.5,49.1,33.8,4.07,NA
"657","diet","BO1009","diet 4",130,339.3,45,29,4.04,NA
"658","diet","BO1016","inhay +cal",NA,NA,NA,NA,NA,NA
"659","diet","BO1016","inhay +cal +peg",NA,NA,NA,NA,NA,NA
"660","diet","BO1019","glm0",130.4,NA,44.9,48.8,4150,NA
"661","diet","BO1019","glm12",134.3,NA,45.4,36.7,4060,NA
"662","diet","BO1019","glm24",137.5,NA,46.7,30.6,4050,NA
"663","diet","BO1019","glm36",146.4,NA,46.9,23.3,4020,NA
"664","diet","BO1025","100% (dvlm + dmlm)",158,283,105,NA,NA,NA
"665","diet","BO1025","100% concentrate mix",198,235,58,NA,NA,NA
"666","diet","BO1025","25% nsc + 75% (dvlm + dmlm)",167,273,97,NA,NA,NA
"667","diet","BO1025","50% nsc + 50% (dvlm + dmlm)",179,262,94,NA,NA,NA
"668","diet","BO1025","75% nsc + 25% (dvlm + dmlm)",189,249,78,NA,NA,NA
"669","diet","BO1032","nsm0",168,223,NA,35,17.19624,NA
"670","diet","BO1032","nsm100",165,243,NA,46,17.40544,NA
"671","diet","BO1032","nsm50",166,233,NA,41,17.27992,NA
"672","diet","BO1032","nsm75",166,238,NA,43,17.27992,NA
"673","diet","CJ1019","t1",131,NA,65.2,46,NA,NA
"674","diet","CJ1019","t2",138.1,NA,73.4,52.4,NA,NA
"675","diet","CJ1019","t3",123.1,NA,64.3,44.4,NA,NA
"676","diet","CJ1019","t4",113.8,NA,68.2,14.6,NA,NA
"677","diet","EM1011","t1 cm",188,318.2,43.9,NA,NA,NA
"678","diet","EM1011","t2 cm+ml",209.1,315,65.5,NA,NA,NA
"679","diet","EM1011","t3 cm+ml",230.3,318.6,87.1,NA,NA,NA
"680","diet","EM1011","t4 cm+ml",251.4,308.6,108.7,NA,NA,NA
"681","diet","EM1011","t5 ml",272.5,305.4,130.4,NA,NA,NA
"682","diet","EM1017","10mol",139,NA,81.2,38.3,NA,NA
"683","diet","EM1017","20mol",138.8,NA,80.8,40.3,NA,NA
"684","diet","EM1017","30mol",140.6,NA,78.7,46.5,NA,NA
"685","diet","EM1017","control",137,NA,76.5,37.1,NA,NA
"686","diet","JO1028","t1 feed",202.5,339.3,NA,NA,NA,NA
"687","diet","JO1028","t2 feed",206.6,324.3,NA,NA,NA,NA
"688","diet","JO1028","t3 feed",208.4,283.5,NA,NA,NA,NA
"689","diet","JO1030","diet a",137.7,332.1,NA,66.5,NA,NA
"690","diet","JO1031","gf",NA,232.3,64.9,NA,NA,NA
"691","diet","JO1039.2","iqr feed",76,NA,70,NA,NA,NA
"692","diet","JO1039.2","prq feed",20,NA,89,NA,NA,NA
"693","diet","JO1039.2","sirq feed",48,NA,83,NA,NA,NA
"694","diet","JO1039.3","100%lh feed",185,NA,84,NA,NA,NA
"695","diet","JO1039.3","100%prq feed",46,NA,60,NA,NA,NA
"696","diet","JO1039.3","25%prq 75%lh feed",150,NA,78,NA,NA,NA
"697","diet","JO1039.3","50%prq 50%lh feed",116,NA,72,NA,NA,NA
"698","diet","JO1039.3","75%prq 25%lh feed",81,NA,66,NA,NA,NA
"699","diet","BO1003","c25",71,NA,107,NA,NA,NA
"700","diet","BO1003","c50",101,NA,112,NA,NA,NA
"701","diet","BO1003","c75",99,NA,144,NA,NA,NA
"702","diet","BO1021","0% nigella sativa",145,NA,30,31,NA,NA
"703","diet","BO1021","100% nigella sativa",149,NA,45,52,NA,NA
"704","diet","BO1021","50% nigella sativa",150,NA,40,40,NA,NA
"705","diet","BO1036","100% (mlm +vlm)",105,283,158,NA,NA,NA
"706","diet","BO1036","100% concentrate mix",58,235,198,NA,NA,NA
"707","diet","BO1036","25% nsc + 75% (mlm +vlm)",97,273,167,NA,NA,NA
"708","diet","BO1036","50% nsc+ 50% (mlm +vlm)",94,262,179,NA,NA,NA
"709","diet","BO1036","75% nsc+25% (mlm +vlm)",78,249,189,NA,NA,NA
"710","diet","BO1041","t1g (forage)",110,NA,NA,NA,NA,NA
"711","diet","BO1041","t2g (concentrate)",140,NA,NA,NA,NA,NA
"712","diet","BO1042","0% cashew nut shell",188.9,305.1,96.2,50.5,NA,NA
"713","diet","BO1044","t2 (gg80% + csp10% + sbcw10%)",60.1,250,110,50,NA,NA
"714","diet","BO1044","t3 (gg60% + csp30% + sbcw10%)",76,260,90,40,NA,NA
"715","diet","BO1046","basal diet + cowpea residues (ama)",102,NA,124,NA,NA,NA
"716","diet","BO1046","basal diet + cowpea residues (ate)",115,NA,88,NA,NA,NA
"717","diet","BO1046","basal diet + groundnut residues (ama)",103,NA,115,NA,NA,NA
"718","diet","BO1046","basal diet + groundnut residues (ate)",116,NA,88.8,NA,NA,NA
"719","diet","BO1049","cfm + bh",126.3,NA,102.1,23.2,NA,NA
"720","diet","BO1049","cfm + cellulase & fibrolytic treated dpl + bh",141,NA,81.8,27.2,NA,NA
"721","diet","BO1049","cfm + cellulase treated dpl +bh",129.8,NA,83.8,23,NA,NA
"722","diet","BO1049","cfm + fibrolytic treated dpl + bh",138.2,NA,81.2,26.2,NA,NA
"723","diet","BO1049","cfm + untreated dpl + bh",92.2,NA,92.2,21,NA,NA
"724","diet","BO1052","0% untreated wmv",133,331.2,98,29.4,NA,NA
"725","diet","BO1052","100% treated wmv",124,356,98.3,29,NA,NA
"726","diet","BO1052","25% treated wmv",131,337.5,97.9,29.2,NA,NA
"727","diet","BO1052","50% treated wmv",127,344.4,99.7,29.1,NA,NA
"728","diet","BO1052","75% treated wmv",126,351,98.3,29.2,NA,NA
"729","diet","BO1053","inoculated silage buffalo",251.5,NA,59.8,4.3,NA,NA
"730","diet","BO1053","inoculated silage cattle",251.5,NA,59.8,4.3,NA,NA
"731","diet","BO1053","non-inoculated silage buffalo",82.1,NA,48.4,19.8,NA,NA
"732","diet","BO1053","non-inoculated silage cattle",82.1,NA,48.4,19.8,NA,NA
"733","diet","BO1059","control diet",115,NA,111.9,23.1,1.71,NA
"734","diet","BO1059","sbls with 0.3% urea",144.5,NA,152.4,23.6,1.65,NA
"735","diet","BO1059","sbls with 0.6% urea",146.5,NA,151.9,22.8,1.65,NA
"736","diet","BO1061","mucuna meal 16% (rfm)",214,NA,NA,NA,NA,NA
"737","diet","BO1061","protein isolate meal 5% (rim)",217,NA,NA,NA,NA,NA
"738","diet","BO1061","soybean meal 7% (rts)",212,NA,NA,NA,NA,NA
"739","diet","BO1062","control diet",187.2,NA,4.66,NA,NA,NA
"740","diet","BO1062","enz0",187.7,NA,4.34,NA,NA,NA
"741","diet","BO1062","enz100",188.8,NA,4.16,NA,NA,NA
"742","diet","BO1062","enz25",188.6,NA,4.58,NA,NA,NA
"743","diet","BO1062","enz50",188.4,NA,4.53,NA,NA,NA
"744","diet","BO1062","enz75",187.7,NA,4.63,NA,NA,NA
"745","diet","BO1074","25% corn cobs",134.9,NA,61.3,30.6,NA,NA
"746","diet","BO1074","50% corn cobs",119.2,NA,36,27.5,NA,NA
"747","diet","BO1076","0 gbvh",162.8,NA,108,45.5,18.6,NA
"748","diet","BO1076","100 gbvh",164,NA,129.6,38.1,18.1,NA
"749","diet","BO1076","25 gbvh",163.2,NA,114.8,43.2,18.5,NA
"750","diet","BO1076","50 gbvh",163.5,NA,118.7,41.8,18.4,NA
"751","diet","BO1076","75 gbvh",163.7,NA,122.9,40.4,18.3,NA
"752","diet","BO1079","csl 0%",123.1,NA,199.1,34,1.573,NA
"753","diet","BO1079","csl 10%",128.5,NA,195.9,30.1,1.574,NA
"754","diet","BO1079","csl 20%",132.5,NA,194.5,23,1.565,NA
"755","diet","BO1079","csl 30%",137,NA,151.2,29,1.659,NA
"756","diet","BO1083","0 cplm",121.1,NA,90.1,48.3,0.0163176,NA
"757","diet","BO1083","10 cplm",127.8,NA,96.3,51.1,0.01640128,NA
"758","diet","BO1083","20 cplm",134.1,NA,101.7,59.7,0.01635944,NA
