"","B.Code","A.Level.Name","diet_intake_kg","Source"
"120","BO1024","Diet 0%",0.79977,"feed_intake"
"121","BO1024","Diet 15%",0.78304,"feed_intake"
"122","BO1024","Diet 30%",0.77128,"feed_intake"
"123","BO1024","Diet 45%",0.65009,"feed_intake"
"124","BO1025","100% (DVLM + DMLM)",0.2281,"feed_intake"
"125","BO1025","100% concentrate mix",0.7228,"feed_intake"
"126","BO1025","25% NSC + 75% (DVLM + DMLM)",0.2941,"feed_intake"
"127","BO1025","50% NSC + 50% (DVLM + DMLM)",0.3233,"feed_intake"
"128","BO1025","75% NSC + 25% (DVLM + DMLM)",0.3259,"feed_intake"
"129","BO1026","Diet 1",0.441,"feed_intake"
"130","BO1026","Diet 2",0.481,"feed_intake"
"131","BO1026","Diet 3",0.493,"feed_intake"
"132","BO1026","Diet 4",0.473,"feed_intake"
"133","BO1026","Diet 5",0.437,"feed_intake"
"134","BO1027","EM treated RH",0.9624,"feed_intake"
"135","BO1027","EM treated SCB",0.819,"feed_intake"
"136","BO1027","Tv treated RH",1.0519,"feed_intake"
"137","BO1027","Tv treated SCB",0.6619,"feed_intake"
"138","BO1027","Untreated RH",0.942,"feed_intake"
"139","BO1027","Untreated SCB",0.5547,"feed_intake"
"140","BO1028","UMB + UTTS + concentrate",10.58,"feed_intake"
"141","BO1028","UTS + concentrate",10.18,"feed_intake"
"142","BO1028","UTTS + concentrate",10.1,"feed_intake"
"143","BO1029","T0 (100 CH)",0.9091,"feed_intake"
"144","BO1029","T1 (50CH:50DBV)",0.9098,"feed_intake"
"145","BO1029","T2 (25CH:75DBV)",0.9102,"feed_intake"
"146","BO1029","T3 (100DBV)",0.9106,"feed_intake"
"147","BO1030","(R + SPVS)",3.22485267368926,"feed_intake"
"148","BO1030","(R + UMB)",2.83447577108477,"feed_intake"
"149","BO1030","Roughage Only",3.0084480863759,"feed_intake"
"150","BO1031","Diet 1",0.839,"feed_intake"
"151","BO1031","Diet 2",0.548,"feed_intake"
"152","BO1031","Diet 3",0.539,"feed_intake"
"153","BO1031","Diet 4",0.551,"feed_intake"
"154","BO1031","Diet 5",0.566,"feed_intake"
"155","BO1032","NSM0",1.64,"feed_intake"
"156","BO1032","NSM100",1.61,"feed_intake"
"157","BO1032","NSM50",1.62,"feed_intake"
"158","BO1032","NSM75",1.65,"feed_intake"
"159","BO1033","Melon seed husk 10",3.93,"feed_intake"
"160","BO1033","Melon seed husk 20",3.67,"feed_intake"
"161","BO1033","Melon seed husk 5",4.03,"feed_intake"
"162","BO1033","Melon seek husk 0",4.71,"feed_intake"
"163","BO1034","Diet 1 (0 kenaf)",0.28071,"feed_intake"
"164","BO1034","Diet 2 (15 kenaf)",0.29515,"feed_intake"
"165","BO1034","Diet 3 (20 kenaf)",0.31363,"feed_intake"
"166","BO1034","Diet 4 (25 kenaf)",0.34427,"feed_intake"
"167","BO1035","Bermuda Diet",0.716,"feed_intake"
"168","BO1035","Elephant Diet",0.7,"feed_intake"
