"","B.Code","A.Level.Name","D.Item","D.Type","D.Amount","D.Unit.Amount","D.Unit.Time","D.Unit.Animals","DC.Is.Dry","D.Ad.lib","D.Item.Group","Source","Units","T.Animals","Out.WG.Start","Out.WG.Unit","basal_intake_status","Prediction_Source","Prediction_Source.from_AName","from_feed_intake","T.Name","T.Control","D.Item_raw","Ingredient_Category","Ingredient_Category_orig","Category_Source.x","Category_Source.y"
"22","AG0018","mfm","molasses","Crop Byproduct",28.5714285714286,"g","day","individual","Yes","No",NA,"livestock","g;day;individual",6,279.933333333333,"kg",NA,NA,NA,FALSE,"MFM","no","unspecified molasses","High-starch","High-starch",NA,NA
"23","AG0018","mfm","leucaena leucocephala","Agroforestry Fodders",0.333285714285714,"g","day","individual","Yes","No",NA,"livestock","g;day;individual",6,279.933333333333,"kg",NA,NA,NA,FALSE,"MFM","no","leucaena leucocephala","Good forage","Good forage",NA,NA
"24","AG0018","np","molasses","Crop Byproduct",28.5714285714286,"g","day","individual","Yes","No",NA,"livestock","g;day;individual",6,260.233333333333,"kg",NA,NA,NA,FALSE,"NP","yes","unspecified molasses","High-starch","High-starch",NA,NA
"25","AG0018","uts","molasses","Crop Byproduct",28.5714285714286,"g","day","individual","Yes","No",NA,"livestock","g;day;individual",6,266.433333333333,"kg",NA,NA,NA,FALSE,"UTS","no","unspecified molasses","High-starch","High-starch",NA,NA
"26","AG0018","uts","maize stover urea treated","Crop Byproduct",1000,"g","day","individual","Yes","No",NA,"livestock","g;day;individual",6,266.433333333333,"kg",NA,NA,NA,FALSE,"UTS","no","maize stover urea treated","Poor forage","Poor forage",NA,NA
"27","AG0042","60% f sopm","soybean ground","Crop Product",39.48,"g","day","individual","Yes",NA,"F SOP Supplement","livestock","g;day;individual",1,9.72,"kg",NA,NA,NA,FALSE,"60% F SOPM","no","soybean ground","Protein","Protein",NA,NA
"28","AG0042","60% f sopm","bone ground","Other Feed",4,"g","day","individual","Yes",NA,"F SOP Supplement","livestock","g;day;individual",1,9.72,"kg",NA,NA,NA,FALSE,"60% F SOPM","no","bone ground","Mineral/Vitamin","Mineral/Vitamin",NA,NA
"29","AG0042","60% f sopm","maize offal","Crop Byproduct",45.8,"g","day","individual","Yes",NA,"F SOP Supplement","livestock","g;day;individual",1,9.72,"kg",NA,NA,NA,FALSE,"60% F SOPM","no","maize offal","Good forage","Good forage",NA,NA
"30","AG0042","60% f sopm","orange peels dried fermented ground","Byproduct Fodders",68.72,"g","day","individual","Yes",NA,"F SOP Supplement","livestock","g;day;individual",1,9.72,"kg",NA,NA,NA,FALSE,"60% F SOPM","no","orange peels dried fermented ground","High-starch","High-starch",NA,NA
"31","AG0042","60% f sopm","rice offal","Byproduct Fodders",40,"g","day","individual","Yes",NA,"F SOP Supplement","livestock","g;day;individual",1,9.72,"kg",NA,NA,NA,FALSE,"60% F SOPM","no","rice offal","High-fat","High-fat",NA,NA
