"","B.Code","A.Level.Name","GE_MJ_kg","GEI_MJ_d","GE_source","P.Product","Purpose","any_na","total_diet","total_forage_strict","total_forage_broad","n_ingredients","D.Type.first","forage_prop_strict","forage_prop_broad","forage_prop","BW_kg","DE_MJ_kg","ME_MJ_kg","DEI_MJ_d","MEI_MJ_d","For_percent","DMI_kg_d","DMI_source","eq_dairy_niu_DMI_C","eq_beef_DMI_C_HF","eq_beef_Animal_C_HF","eq_beef_DMI_C_LF","eq_beef_Animal_C_INT","eq_beef_Diet_C_INT","eq_sheep_GEI_linear","eq_sheep_MEI_nonlinear","eq_goat_GEI_linear","eq_goat_DEI_linear","eq_goat_MEI_nonlinear","CH4_dairy_niu","CH4_beef_Animal_C_HF","CH4_beef_DMI_C_HF","CH4_beef_Animal_C_INT","CH4_beef_Diet_C_INT","CH4_beef_DMI_C_LF","EME_sheep_linear","CH4_sheep_linear","EME_sheep_nonlinear","CH4_sheep_nonlinear","EME_goat_linear","CH4_goat_linear","EME_goat_DEI","CH4_goat_DEI","EME_goat_nonlinear","CH4_goat_nonlinear","CH4_g_d","CH4_equation_used","beef_forage_category","CH4_kg_yr","X","Out.Code.Joined","ED.Intake.Item","ED.Intake.Item.Raw","ED.Mean.T","ED.Error","Out.Subind","Out.Unit","Out.WG.Start","Out.WG.Unit","is_entire_diet","is_group","T.Animals","T.Name","Country","Source","D.Item.Root.Comp.Proc_Major","ED.Intake.Item.is_entire_diet","n_ing","n_tar","Out.Unit_raw","Product","facet"
"11","AN0007","T4",18.8317656,6.53273948664,"diet_level","Sheep","Meat",FALSE,0.6169,0.37407,0.37407,8,"Herbaceous Fodders",0.606370562489869,0.606370562489869,0.606370562489869,12.6,NA,NA,NA,NA,60.6370562489869,0.3469,"diet_level",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0.52810423484536,9.4897436629894,NA,NA,NA,NA,NA,NA,NA,NA,9.4897436629894,"Sheep_GEI_linear",NA,3.46375643699113,36,"Meat Yield..kg/individual..12.6","T4",NA,14.6,NA,"Meat Yield","kg/individual/day",12.6,"kg",FALSE,FALSE,"2","T4","Nigeria","livestock",NA,NA,NA,NA,"kg/individual","Meat","Sheep – Meat"
"12","AN0007","T5",18.112536,6.30026452224,"diet_level","Sheep","Meat",FALSE,0.61548,0.406776,0.406776,7,"Herbaceous Fodders",0.660908559173328,0.660908559173328,0.660908559173328,13.2,NA,NA,NA,NA,66.0908559173328,0.34784,"diet_level",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0.51671296158976,9.28504872578185,NA,NA,NA,NA,NA,NA,NA,NA,9.28504872578185,"Sheep_GEI_linear",NA,3.38904278491038,37,"Meat Yield..kg/individual..13.2","T5",NA,15.3,NA,"Meat Yield","kg/individual/day",13.2,"kg",FALSE,FALSE,"2","T5","Nigeria","livestock",NA,NA,NA,NA,"kg/individual","Meat","Sheep – Meat"
"13","AN0021","U0",16.12,13.75036,"diet_level","Sheep","Meat",FALSE,0.857265,0,0,6,"Non-ERA Feed",0,0,0,10.24,NA,NA,NA,NA,0,0.853,"diet_level",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0.88176764,15.8448812219227,NA,NA,NA,NA,NA,NA,NA,NA,15.8448812219227,"Sheep_GEI_linear",NA,5.7833816460018,41,"Meat Yield..kg/individual..10.24","U0",NA,18.76,0.011,"Meat Yield","kg/individual/day",10.24,"kg",FALSE,FALSE,"1","U0","Nigeria","livestock",NA,NA,NA,NA,"kg/individual","Meat","Sheep – Meat"
"14","AN0021","U10",16.97273072,14.5724471415776,"diet_level","Sheep","Meat",FALSE,0.8628729,0,0,7,"Non-ERA Feed",0,0,0,11.1,NA,NA,NA,NA,0,0.85858,"diet_level",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0.922049909937303,16.5687315352615,NA,NA,NA,NA,NA,NA,NA,NA,16.5687315352615,"Sheep_GEI_linear",NA,6.04758701037045,42,"Meat Yield..kg/individual..11.1","U10",NA,25.65,0.011,"Meat Yield","kg/individual/day",11.1,"kg",FALSE,FALSE,"1","U10","Nigeria","livestock",NA,NA,NA,NA,"kg/individual","Meat","Sheep – Meat"
"15","AN0021","U15",17.10979856,16.2522554561728,"diet_level","Sheep","Meat",FALSE,0.94988,0,0,7,"Crop Byproduct",0,0,0,10.1,NA,NA,NA,NA,0,0.94988,"diet_level",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1.00436051735247,18.0478080386787,NA,NA,NA,NA,NA,NA,NA,NA,18.0478080386787,"Sheep_GEI_linear",NA,6.58744993411771,43,"Meat Yield..kg/individual..10.1","U15",NA,38.12,0.011,"Meat Yield","kg/individual/day",10.1,"kg",FALSE,FALSE,"1","U15","Nigeria","livestock",NA,NA,NA,NA,"kg/individual","Meat","Sheep – Meat"
"16","AN0021","U20",17.39355744,16.3158526210176,"diet_level","Sheep","Meat",FALSE,0.9427302,0,0,7,"Crop Byproduct",0,0,0,9.8,NA,NA,NA,NA,0,0.93804,"diet_level",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1.00747677842986,18.1038055423156,NA,NA,NA,NA,NA,NA,NA,NA,18.1038055423156,"Sheep_GEI_linear",NA,6.60788902294519,44,"Meat Yield..kg/individual..9.8","U20",NA,31.52,0.011,"Meat Yield","kg/individual/day",9.8,"kg",FALSE,FALSE,"1","U20","Nigeria","livestock",NA,NA,NA,NA,"kg/individual","Meat","Sheep – Meat"
"17","AN0057","0 PPL",18.3,7.5213,"ingredient_weighted","Goat","Meat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.411,"diet_level",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.51545929,9.2625209344115,NA,NA,NA,NA,9.2625209344115,"Goat_GEI_linear",NA,3.3808201410602,51,"Meat Yield..kg/individual..15.4","0 PPL",NA,15,1.01,"Meat Yield","kg/individual/day",15.4,"kg",FALSE,FALSE,"1","0 PPL","Ethiopia","livestock",NA,NA,NA,NA,"kg/individual","Meat","Goat – Meat"
"18","BO1008","Control",17.5,27.65,"ingredient_weighted","Sheep","Dairy",FALSE,1.69,0.9,0.9,8,"Crop Byproduct",0.532544378698225,0.532544378698225,0.532544378698225,43.38,NA,NA,NA,NA,53.2544378698225,1.58,"diet_level",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1.56285,28.0835579514825,NA,NA,NA,NA,NA,NA,NA,NA,28.0835579514825,"Sheep_GEI_linear",NA,10.2504986522911,121,NA,"T1||Ewes",NA,0.72,NA,"Milk Yield","l/individual/day",NA,NA,FALSE,NA,NA,"T1||Ewes","Egypt","camel",NA,FALSE,NA,NA,"ml/individual/day","Milk","Sheep – Milk"
"19","BO1011","Diet 1",15.0762072,10.17643986,"diet_level","Sheep","Dairy",FALSE,0.675,0,0,9,"Supplement",0,0,0,32.73,NA,NA,NA,NA,0,0.675,"diet_level",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0.70664555314,12.6980332999102,NA,NA,NA,NA,NA,NA,NA,NA,12.6980332999102,"Sheep_GEI_linear",NA,4.63478215446721,125,NA,"T2||Ewes",NA,0.53766,NA,"Milk Yield","kg/individual/day",NA,NA,FALSE,NA,NA,"T2||Ewes","Egypt","camel",NA,FALSE,NA,NA,"g/individual/day","Milk","Sheep – Milk"
"20","BO1011","Diet 2",16.81733696,11.351702448,"diet_level","Sheep","Dairy",FALSE,0.675,0,0,9,"Crop Product",0,0,0,32.91,NA,NA,NA,NA,0,0.675,"diet_level",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0.764233419952,13.7328557044385,NA,NA,NA,NA,NA,NA,NA,NA,13.7328557044385,"Sheep_GEI_linear",NA,5.01249233212004,126,NA,"T3||Ewes",NA,0.61722,NA,"Milk Yield","kg/individual/day",NA,NA,FALSE,NA,NA,"T3||Ewes","Egypt","camel",NA,FALSE,NA,NA,"g/individual/day","Milk","Sheep – Milk"
