"","B.Code","Diet","GE_MJ_kg","GEI_MJ_d","GE_source","P.Product","Purpose","any_na","total_diet","total_forage_strict","total_forage_broad","n_ingredients","D.Type.first","forage_prop_strict","forage_prop_broad","forage_prop","BW_kg","DE_MJ_kg","ME_MJ_kg","DEI_MJ_d","MEI_MJ_d","For_percent","DMI_kg_d","DMI_source","eq_dairy_niu_DMI_C","eq_beef_DMI_C_HF","eq_beef_Animal_C_HF","eq_beef_DMI_C_LF","eq_beef_Animal_C_INT","eq_beef_Diet_C_INT","eq_sheep_GEI_linear","eq_sheep_MEI_nonlinear","eq_goat_GEI_linear","eq_goat_DEI_linear","eq_goat_MEI_nonlinear","CH4_dairy_niu","CH4_beef_Animal_C_HF","CH4_beef_DMI_C_HF","CH4_beef_Animal_C_INT","CH4_beef_Diet_C_INT","CH4_beef_DMI_C_LF","EME_sheep_linear","CH4_sheep_linear","EME_sheep_nonlinear","CH4_sheep_nonlinear","EME_goat_linear","CH4_goat_linear","EME_goat_DEI","CH4_goat_DEI","EME_goat_nonlinear","CH4_goat_nonlinear","CH4_g_d","CH4_equation_used","beef_forage_category","CH4_kg_yr"
"25","B01063","PEG0",NA,NA,NA,"Japanese Quail","Meat",FALSE,0.00465651964285715,0.000466071428571429,0.000466071428571429,16,"Supplement",0.100090081072966,0.100090081072966,0.100090081072966,NA,NA,NA,NA,NA,10.0090081072966,0.00466071428571429,"diet_level",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","B01063","PEG100",NA,NA,NA,"Japanese Quail","Meat",FALSE,0.00503898096428572,0.000458464285714286,0.000458464285714286,17,"Supplement",0.0909835319807115,0.0909835319807115,0.0909835319807115,NA,NA,NA,NA,NA,9.09835319807115,0.00458464285714286,"diet_level",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","B01063","PEG25",NA,NA,NA,"Japanese Quail","Meat",FALSE,0.0050436925,0.0004925,0.0004925,17,"Other Ingredients",0.0976467141880676,0.0976467141880676,0.0976467141880676,NA,NA,NA,NA,NA,9.76467141880676,0.004925,"diet_level",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","B01063","PEG50",NA,NA,NA,"Japanese Quail","Meat",FALSE,0.00515183035714286,0.000491071428571429,0.000491071428571429,17,"Supplement",0.0953197979220284,0.0953197979220284,0.0953197979220284,NA,NA,NA,NA,NA,9.53197979220284,0.00491071428571429,"diet_level",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","B01063","PEG75",NA,NA,NA,"Japanese Quail","Meat",FALSE,0.00510581107142857,0.000475357142857143,0.000475357142857143,17,"Supplement",0.093101201005493,0.093101201005493,0.093101201005493,NA,NA,NA,NA,NA,9.3101201005493,0.00475357142857143,"diet_level",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","BO1000","Diet 1",NA,NA,NA,"Sheep","Meat",FALSE,0.215,0,0,2,"Crop Byproduct",0,0,0,NA,NA,NA,NA,NA,0,0.66827,"diet_level",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","BO1000","Diet 2",NA,NA,NA,"Sheep","Meat",FALSE,0.27375,0.1125,0.1125,3,"Forage Plants",0.410958904109589,0.410958904109589,0.410958904109589,NA,NA,NA,NA,NA,41.0958904109589,0.70048,"diet_level",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","BO1000","Diet 3",NA,NA,NA,"Sheep","Meat",FALSE,0.3325,0.225,0.225,3,"Forage Plants",0.676691729323308,0.676691729323308,0.676691729323308,NA,NA,NA,NA,NA,67.6691729323308,0.74678,"diet_level",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","BO1000","Diet 4",NA,NA,NA,"Sheep","Meat",FALSE,0.39125,0.3375,0.3375,3,"Forage Plants",0.862619808306709,0.862619808306709,0.862619808306709,NA,NA,NA,NA,NA,86.2619808306709,0.77427,"diet_level",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","BO1000","Diet 5",NA,NA,NA,"Sheep","Meat",FALSE,0.4005,0.4005,0.4005,1,"Forage Plants",1,1,1,NA,NA,NA,NA,NA,100,0.82982,"diet_level",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","BO1001","Diet 1",15.5,10.788,"ingredient_weighted","Not Found","Meat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.696,"diet_level",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","BO1001","Diet 2",NA,NA,NA,"Not Found","Meat",FALSE,0.1,0.1,0.1,1,"Forage Plants",1,1,1,18.56,NA,NA,NA,NA,100,0.79133,"diet_level",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","BO1001","Diet 3",NA,NA,NA,"Not Found","Meat",FALSE,0.2,0.2,0.2,1,"Forage Plants",1,1,1,18.54,NA,NA,NA,NA,100,0.84056,"diet_level",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","BO1001","Diet 4",NA,NA,NA,"Not Found","Meat",FALSE,0.3,0.3,0.3,1,"Forage Plants",1,1,1,19.08,NA,NA,NA,NA,100,0.93141,"diet_level",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","BO1001","Diet 5",NA,NA,NA,"Not Found","Meat",FALSE,0.4,0.4,0.4,1,"Forage Plants",1,1,1,18.16,NA,NA,NA,NA,100,1.01572,"diet_level",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","BO1002","Control",NA,NA,NA,"Goat","Dairy",FALSE,1.6534,0,0.4724,9,"Crop Byproduct",0,0.285714285714286,0.285714285714286,41,NA,NA,NA,NA,28.5714285714286,1.181,"diet_level",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","BO1002","MA20",NA,NA,NA,"Goat","Dairy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.167,"diet_level",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","BO1002","MA40",NA,NA,NA,"Goat","Dairy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.172,"diet_level",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","BO1005","OSCM",NA,NA,NA,"Goat","Meat",FALSE,0.865,0.2595,0.2595,8,"Crop Byproduct",0.3,0.3,0.3,23.1,NA,NA,NA,NA,30,0.865,"diet_level",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","BO1005","TMRL",NA,NA,NA,"Goat","Meat",FALSE,0.885,0.38055,0.38055,8,"Crop Product",0.43,0.43,0.43,22.9,NA,NA,NA,NA,43,0.885,"diet_level",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","BO1006","Ration 1",17.8732112,20.66500678944,"diet_level","Sheep","Meat",FALSE,1.156234686,0,0.442778352,11,"Crop Byproduct",0,0.382948511544654,0.382948511544654,20.56,NA,NA,NA,NA,38.2948511544654,1.1562,"diet_level",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1.22058533268256,21.9332494641969,NA,NA,NA,NA,NA,NA,NA,NA,21.9332494641969,"Sheep_GEI_linear",NA,8.00563605443189
"46","BO1006","Ration 2",17.76752336,23.645020087488,"diet_level","Sheep","Meat",FALSE,1.281813252,0.15061329,0.471974874,12,"Supplement",0.117500181687933,0.368208764625879,0.368208764625879,20.52,NA,NA,NA,NA,36.8208764625879,1.3308,"diet_level",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1.36660598428691,24.5571605442392,NA,NA,NA,NA,NA,NA,NA,NA,24.5571605442392,"Sheep_GEI_linear",NA,8.96336359864731
"47","BO1006","Ration 3",16.77440912,18.462753397928,"diet_level","Sheep","Meat",FALSE,1.10065,0.2491321275,0.4214719045,12,"Crop Byproduct",0.22635,0.38293,0.38293,20.32,NA,NA,NA,NA,38.293,1.10065,"diet_level",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1.11267491649847,19.9941584276455,NA,NA,NA,NA,NA,NA,NA,NA,19.9941584276455,"Sheep_GEI_linear",NA,7.29786782609061
"48","BO1007","HAK10",NA,NA,NA,"Goat",NA,FALSE,0.264,0.0264,0.0264,2,"Crop Product",0.1,0.1,0.1,23,NA,NA,NA,NA,10,0.264,"diet_level",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","BO1007","HAK15",NA,NA,NA,"Goat",NA,FALSE,0.337,0.05055,0.05055,2,"Forage Plants",0.15,0.15,0.15,23,NA,NA,NA,NA,15,0.337,"diet_level",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","BO1007","HAK20",NA,NA,NA,"Goat",NA,FALSE,0.37,0.074,0.074,2,"Crop Product",0.2,0.2,0.2,23,NA,NA,NA,NA,20,0.37,"diet_level",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","BO1007","HAK30",NA,NA,NA,"Goat",NA,FALSE,0.288,0.0864,0.0864,2,"Crop Product",0.3,0.3,0.3,23,NA,NA,NA,NA,30,0.288,"diet_level",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","BO1008","Control",17.5,27.65,"ingredient_weighted","Sheep","Dairy",FALSE,1.69,0.9,0.9,8,"Crop Byproduct",0.532544378698225,0.532544378698225,0.532544378698225,43.38,NA,NA,NA,NA,53.2544378698225,1.58,"diet_level",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1.56285,28.0835579514825,NA,NA,NA,NA,NA,NA,NA,NA,28.0835579514825,"Sheep_GEI_linear",NA,10.2504986522911
"53","BO1008","G1",NA,NA,NA,"Sheep","Dairy",FALSE,1.55,0.3875,0.3875,9,"Other Ingredients",0.25,0.25,0.25,43.38,NA,NA,NA,NA,25,1.55,"diet_level",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","BO1008","G2",NA,NA,NA,"Sheep","Dairy",FALSE,1.570001,0.3925,0.3925,10,"Crop Product",0.249999840764433,0.249999840764433,0.249999840764433,43.38,NA,NA,NA,NA,24.9999840764433,1.57,"diet_level",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","BO1009","Diet 1",3.94,1.60752,"diet_level","Goat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.408,"diet_level",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.318530416,5.72381699910153,NA,NA,NA,NA,5.72381699910153,"Goat_GEI_linear",NA,2.08919320467206
