"","B.Code","pair_type","A","B","Practice","Subpractice","Magnitude_pct","POS_sum","NEG_sum","added_n","removed_n","Types_added","Types_decreased","Substitution_pairs"
"3603","NN0021","trt_vs_trt","GH400","GH600","Addition","",10.547849085119,10.547849085119,0,0,0,"","",""
"3604","NN0021","trt_vs_trt","GH400","GHMB","Addition","High-fat",20.0724607064391,20.0724607064391,0,1,0,"High-fat","",""
"3605","NN0021","trt_vs_trt","GH400","GHWB","Addition","Good forage",10.1049843942117,10.1049843942117,0,1,0,"Good forage","",""
"3606","NN0021","trt_vs_trt","GH600","GHMB","Addition","High-fat",10.7622736245815,10.1434426229508,0.618831001630696,1,0,"High-fat","",""
"3607","NN0021","trt_vs_trt","GH600","GHWB","Addition","Good forage",13.6538738652193,6.60550458715596,7.0483692780633,1,0,"Good forage","",""
"3608","NN0021","trt_vs_trt","GHMB","GHWB","Substitution","High-fat → Good forage",23.1784854865394,6.60550458715596,16.5729808993834,1,1,"Good forage","High-fat","High-fat → Good forage"
"3609","NN0022","trt_vs_trt","150g/day","300g/day","No change","",0,0,0,0,0,"","",""
"3610","NN0022","trt_vs_trt","150g/day","450g/day","No change","",0,0,0,0,0,"","",""
"3611","NN0022","trt_vs_trt","300g/day","450g/day","No change","",0,0,0,0,0,"","",""
"3612","NN0081","trt_vs_ctrl","C","OC-FB-0.25C","Substitution","High-starch → Good forage, High-fat, High-starch, Mineral/Vitamin, Unclassified",164.376711318132,103.011572050834,61.3651392672979,8,1,"Good forage, High-fat, High-starch, Mineral/Vitamin, Unclassified","High-starch","High-starch → Good forage, High-fat, High-starch, Mineral/Vitamin, Unclassified"
"3613","NN0081","trt_vs_ctrl","C","OC-FB-0.5C","Substitution","High-starch → Good forage, High-fat, High-starch, Mineral/Vitamin, Unclassified",180.050242766214,118.685103498916,61.3651392672979,8,1,"Good forage, High-fat, High-starch, Mineral/Vitamin, Unclassified","High-starch","High-starch → Good forage, High-fat, High-starch, Mineral/Vitamin, Unclassified"
"3614","NN0081","trt_vs_ctrl","C","TP-FB-0.25C","Substitution","High-starch → Good forage, High-fat, Mineral/Vitamin, Unclassified",142.712439347986,91.8023465031204,50.9100928448652,5,1,"Good forage, High-fat, Mineral/Vitamin, Unclassified","High-starch","High-starch → Good forage, High-fat, Mineral/Vitamin, Unclassified"
"3615","NN0081","trt_vs_ctrl","C","TP-FB-0.5C","Substitution","High-starch → Good forage, High-fat, Mineral/Vitamin, Unclassified",157.55814620605,106.648053361185,50.9100928448652,5,1,"Good forage, High-fat, Mineral/Vitamin, Unclassified","High-starch","High-starch → Good forage, High-fat, Mineral/Vitamin, Unclassified"
"3616","NN0081","trt_vs_trt","OC-FB-0.25C","OC-FB-0.5C","Addition","",15.6735314480818,15.6735314480818,0,0,0,"","",""
"3617","NN0081","trt_vs_trt","OC-FB-0.25C","TP-FB-0.25C","Substitution","High-fat, High-starch, Mineral/Vitamin → High-fat",142.754179125281,71,71.7541791252813,1,4,"High-fat","High-fat, High-starch, Mineral/Vitamin","High-fat, High-starch, Mineral/Vitamin → High-fat"
"3618","NN0081","trt_vs_trt","OC-FB-0.25C","TP-FB-0.5C","Substitution","High-fat, High-starch, Mineral/Vitamin → High-fat",156.091527732783,85.0915277327834,71,1,4,"High-fat","High-fat, High-starch, Mineral/Vitamin","High-fat, High-starch, Mineral/Vitamin → High-fat"
"3619","NN0081","trt_vs_trt","OC-FB-0.5C","TP-FB-0.25C","Substitution","High-fat, High-starch, Mineral/Vitamin → High-fat",158.427710573363,71,87.4277105733631,1,4,"High-fat","High-fat, High-starch, Mineral/Vitamin","High-fat, High-starch, Mineral/Vitamin → High-fat"
"3620","NN0081","trt_vs_trt","OC-FB-0.5C","TP-FB-0.5C","Substitution","High-fat, High-starch, Mineral/Vitamin → High-fat",143.582003715298,71,72.5820037152984,1,4,"High-fat","High-fat, High-starch, Mineral/Vitamin","High-fat, High-starch, Mineral/Vitamin → High-fat"
"3621","NN0081","trt_vs_trt","TP-FB-0.25C","TP-FB-0.5C","Addition","",14.8457068580647,14.8457068580647,0,0,0,"","",""
"3622","NN0085","trt_vs_ctrl","U0","U1","Addition","Good forage",0.666666666666673,0.333333333333333,0.33333333333334,1,0,"Good forage","",""
"3623","NN0085","trt_vs_ctrl","U0","U2","Addition","Good forage",1.33333333333333,0.666666666666667,0.666666666666667,1,0,"Good forage","",""
"3624","NN0085","trt_vs_ctrl","U0","U3","Addition","Good forage",2,1,1,1,0,"Good forage","",""
"3625","NN0085","trt_vs_trt","U1","U2","No change","",0.666666666666661,0.333333333333334,0.333333333333327,0,0,"","",""
"3626","NN0085","trt_vs_trt","U1","U3","No change","",1.33333333333333,0.666666666666667,0.666666666666663,0,0,"","",""
"3627","NN0085","trt_vs_trt","U2","U3","No change","",0.666666666666669,0.333333333333333,0.333333333333336,0,0,"","",""
"3628","NN0092.2","trt_vs_ctrl","C130","C260","No change","",0,0,0,0,0,"","",""
"3629","NN0098","trt_vs_ctrl","A 0 CON","A 10","Addition","Protein",20,10,10,1,0,"Protein","",""
"3630","NN0098","trt_vs_ctrl","A 0 CON","A 20","Addition","Protein",40,20,20,1,0,"Protein","",""
"3631","NN0098","trt_vs_trt","A 10","A 20","Substitution","Protein → Protein",20,10,10,0,0,"","","Protein → Protein"
"3632","NN0101","trt_vs_trt","B","B-PEG","Addition","Mineral/Vitamin",36,18,18,1,0,"Mineral/Vitamin","",""
"3633","NN0106","trt_vs_ctrl","B0","B1","Addition","Good forage, High-fat, High-starch, Mineral/Vitamin, Poor forage, Unclassified",100,100,0,10,0,"Good forage, High-fat, High-starch, Mineral/Vitamin, Poor forage, Unclassified","",""
"3634","NN0106","trt_vs_ctrl","B0","B2","Addition","Good forage, High-fat, High-starch, Mineral/Vitamin, Poor forage, Unclassified",11761.319832087,11761.319832087,0,10,0,"Good forage, High-fat, High-starch, Mineral/Vitamin, Poor forage, Unclassified","",""
"3635","NN0106","trt_vs_ctrl","B0","B3","Addition","Good forage, High-fat, High-starch, Mineral/Vitamin, Poor forage, Unclassified",11881.4918015218,11881.4918015218,0,10,0,"Good forage, High-fat, High-starch, Mineral/Vitamin, Poor forage, Unclassified","",""
"3636","NN0106","trt_vs_ctrl","B0","B4","Addition","Good forage, High-fat, High-starch, Mineral/Vitamin, Poor forage, Unclassified",12350.4812490485,12350.4812490485,0,8,0,"Good forage, High-fat, High-starch, Mineral/Vitamin, Poor forage, Unclassified","",""
"3637","NN0106","trt_vs_trt","B1","B2","Addition","",11661.319832087,11661.319832087,0,0,0,"","",""
"3638","NN0106","trt_vs_trt","B1","B3","Addition","",11781.4918015218,11781.4918015218,0,0,0,"","",""
"3639","NN0106","trt_vs_trt","B2","B3","No change","",3756.84252733347,1938.50724838414,1818.33527894933,0,0,"","",""
"3640","NN0106",NA,"B4","B1","Addition","Good forage, High-starch",12312.9812490485,31.25,12281.7312490485,0,2,"Good forage, High-starch","",""
"3641","NN0106",NA,"B4","B2","Addition","Good forage, High-starch",7939.98631201587,3675.41244752719,4264.57386448868,0,2,"Good forage, High-starch","",""
"3642","NN0106",NA,"B4","B3","Addition","Good forage, High-starch",4183.1437846824,1857.07716857786,2326.06661610454,0,2,"Good forage, High-starch","",""
"3643","NN0109.1","trt_vs_ctrl","C-0","C-15","Addition","High-starch",66.6666666666666,33.3333333333333,33.3333333333333,1,0,"High-starch","",""
"3644","NN0109.1","trt_vs_ctrl","C-0","C-30","Addition","High-starch",133.333333333333,66.6666666666667,66.6666666666667,1,0,"High-starch","",""
"3645","NN0109.1","trt_vs_ctrl","C-0","C-45","Substitution","High-starch → High-starch",200,100,100,1,1,"High-starch","High-starch","High-starch → High-starch"
"3646","NN0109.1","trt_vs_trt","C-15","C-30","Substitution","High-starch → High-starch",66.6666666666668,33.3333333333334,33.3333333333334,0,0,"","","High-starch → High-starch"
"3647","NN0109.1",NA,"C-45","C-15","Addition","High-starch",133.333333333333,66.6666666666667,66.6666666666667,0,1,"High-starch","",""
"3648","NN0109.1",NA,"C-45","C-30","Addition","High-starch",66.6666666666666,33.3333333333333,33.3333333333333,0,1,"High-starch","",""
"3649","NN0109.2","trt_vs_ctrl","P-25","P-30","Substitution","High-fat → Protein",13.0434782608696,6.52173913043475,6.52173913043484,0,0,"","","High-fat → Protein"
"3650","NN0109.2","trt_vs_ctrl","P-25","P-35","Substitution","High-fat → Protein",26.0869565217391,13.0434782608695,13.0434782608696,0,0,"","","High-fat → Protein"
"3651","NN0109.2","trt_vs_ctrl","P-25","P-40","Substitution","High-fat → Protein",39.1304347826088,19.5652173913044,19.5652173913044,0,0,"","","High-fat → Protein"
"3652","NN0109.2","trt_vs_trt","P-30","P-35","Substitution","High-fat → Protein",13.0434782608695,6.52173913043479,6.52173913043473,0,0,"","","High-fat → Protein"
"3653","NN0109.2","trt_vs_trt","P-30","P-40","Substitution","High-fat → Protein",26.0869565217392,13.0434782608696,13.0434782608696,0,0,"","","High-fat → Protein"
"3654","NN0109.2","trt_vs_trt","P-35","P-40","Substitution","High-fat → Protein",13.0434782608697,6.52173913043486,6.52173913043483,0,0,"","","High-fat → Protein"
"3655","NN0110.2","trt_vs_ctrl","Diet 1","Diet 2","Addition","Protein",125.641025641026,62.8205128205128,62.8205128205128,1,0,"Protein","",""
"3656","NN0110.2","trt_vs_ctrl","Diet 1","Diet 3","Substitution","High-fat → Protein",130.769230769231,65.3846153846154,65.3846153846153,1,2,"Protein","High-fat","High-fat → Protein"
"3657","NN0110.2","trt_vs_ctrl","Diet 1","Diet 4","Addition","Mineral/Vitamin, Protein",125.641025641026,62.8205128205128,62.8205128205128,2,0,"Mineral/Vitamin, Protein","",""
"3658","NN0110.2","trt_vs_ctrl","Diet 1","Diet 5","Substitution","High-fat → Mineral/Vitamin, Protein",130.769230769231,65.3846153846154,65.3846153846153,2,2,"Mineral/Vitamin, Protein","High-fat","High-fat → Mineral/Vitamin, Protein"
"3659","NN0110.2","trt_vs_trt","Diet 2","Diet 3","Substitution","High-fat, Protein → Protein",132.051282051282,66.0256410256411,66.025641025641,1,3,"Protein","High-fat, Protein","High-fat, Protein → Protein"
"3660","NN0110.2","trt_vs_trt","Diet 2","Diet 4","Addition","Mineral/Vitamin",1.28205128205125,0.641025641025641,0.641025641025607,1,0,"Mineral/Vitamin","",""
"3661","NN0110.2","trt_vs_trt","Diet 2","Diet 5","Substitution","High-fat, Protein → Mineral/Vitamin, Protein",132.051282051282,66.0256410256411,66.025641025641,2,3,"Mineral/Vitamin, Protein","High-fat, Protein","High-fat, Protein → Mineral/Vitamin, Protein"
"3662","NN0110.2","trt_vs_trt","Diet 3","Diet 4","Substitution","Protein → High-fat, Mineral/Vitamin, Protein",132.051282051282,66.025641025641,66.0256410256411,4,1,"High-fat, Mineral/Vitamin, Protein","Protein","Protein → High-fat, Mineral/Vitamin, Protein"
"3663","NN0110.2","trt_vs_trt","Diet 3","Diet 5","Addition","Mineral/Vitamin",1.28205128205125,0.641025641025641,0.641025641025607,1,0,"Mineral/Vitamin","",""
"3664","NN0110.2","trt_vs_trt","Diet 4","Diet 5","Substitution","High-fat, Protein → Protein",130.769230769231,65.3846153846155,65.3846153846154,1,3,"Protein","High-fat, Protein","High-fat, Protein → Protein"
"3665","NN0113","trt_vs_ctrl","T1","T2","Addition","Good forage",66.6666666666666,33.3333333333333,33.3333333333333,1,0,"Good forage","",""
"3666","NN0113","trt_vs_ctrl","T1","T3","Addition","Good forage",133.333333333333,66.6666666666666,66.6666666666666,1,0,"Good forage","",""
"3667","NN0113","trt_vs_ctrl","T1","T4","Substitution","High-starch → Good forage",200,100,100,1,1,"Good forage","High-starch","High-starch → Good forage"
"3668","NN0113","trt_vs_trt","T2","T3","Substitution","High-starch → Good forage",66.6666666666666,33.3333333333333,33.3333333333333,0,0,"","","High-starch → Good forage"
"3669","NN0113",NA,"T4","T2","Addition","High-starch",133.333333333333,66.6666666666667,66.6666666666667,0,1,"High-starch","",""
"3670","NN0113",NA,"T4","T3","Addition","High-starch",66.6666666666668,33.3333333333334,33.3333333333334,0,1,"High-starch","",""
"3671","NN0114","trt_vs_ctrl","CTR","RSF15","Addition","High-fat",15.02,7.48,7.54,1,0,"High-fat","",""
"3672","NN0114","trt_vs_ctrl","CTR","RSF30","Addition","High-fat",29.97,14.96,15.01,1,0,"High-fat","",""
"3673","NN0114","trt_vs_ctrl","CTR","RSF45","Addition","High-fat",44.93,22.44,22.49,1,0,"High-fat","",""
"3674","NN0114","trt_vs_ctrl","CTR","RSM15","Addition","High-fat",14.21,7.08,7.13,1,0,"High-fat","",""
"3675","NN0114","trt_vs_ctrl","CTR","RSM30","Addition","High-fat",28.67,14.16,14.51,1,0,"High-fat","",""
"3676","NN0114","trt_vs_ctrl","CTR","RSM45","Addition","High-fat",42.85,21.25,21.6,1,0,"High-fat","",""
"3677","NN0114","trt_vs_trt","RSF15","RSF30","Substitution","Protein → High-fat",14.95,7.48,7.47,0,0,"","","Protein → High-fat"
"3678","NN0114","trt_vs_trt","RSF15","RSF45","Substitution","Protein → High-fat",29.91,14.96,14.95,0,0,"","","Protein → High-fat"
"3679","NN0114","trt_vs_trt","RSF15","RSM15","Substitution","High-fat → High-fat",14.97,7.49,7.48,1,1,"High-fat","High-fat","High-fat → High-fat"
"3680","NN0114","trt_vs_trt","RSF15","RSM30","Substitution","High-fat → High-fat",28.69,14.2,14.49,1,1,"High-fat","High-fat","High-fat → High-fat"
"3681","NN0114","trt_vs_trt","RSF15","RSM45","Substitution","High-fat → High-fat",42.79,21.25,21.54,1,1,"High-fat","High-fat","High-fat → High-fat"
"3682","NN0114","trt_vs_trt","RSF30","RSF45","Substitution","Protein → High-fat",14.96,7.48,7.48,0,0,"","","Protein → High-fat"
"3683","NN0114","trt_vs_trt","RSF30","RSM15","Substitution","High-fat → High-fat",29.92,14.96,14.96,1,1,"High-fat","High-fat","High-fat → High-fat"
"3684","NN0114","trt_vs_trt","RSF30","RSM30","Substitution","High-fat → High-fat",29.62,14.66,14.96,1,1,"High-fat","High-fat","High-fat → High-fat"
"3685","NN0114","trt_vs_trt","RSF30","RSM45","Substitution","High-fat → High-fat",43.62,21.66,21.96,1,1,"High-fat","High-fat","High-fat → High-fat"
"3686","NN0114","trt_vs_trt","RSF45","RSM15","Substitution","High-fat → High-fat",44.88,22.44,22.44,1,1,"High-fat","High-fat","High-fat → High-fat"
"3687","NN0114","trt_vs_trt","RSF45","RSM30","Substitution","High-fat → High-fat",44.58,22.14,22.44,1,1,"High-fat","High-fat","High-fat → High-fat"
"3688","NN0114","trt_vs_trt","RSF45","RSM45","Substitution","High-fat → High-fat",44.58,22.14,22.44,1,1,"High-fat","High-fat","High-fat → High-fat"
"3689","NN0114","trt_vs_trt","RSM15","RSM30","Substitution","Protein → High-fat",14.46,7.08,7.38,0,0,"","","Protein → High-fat"
"3690","NN0114","trt_vs_trt","RSM15","RSM45","Substitution","Protein → High-fat",28.64,14.17,14.47,0,0,"","","Protein → High-fat"
"3691","NN0114","trt_vs_trt","RSM30","RSM45","Substitution","Protein → High-fat",14.18,7.09,7.09,0,0,"","","Protein → High-fat"
"3692","NN0115","trt_vs_ctrl","FM","SF25","Addition","Protein",43.8,21.9,21.9,1,0,"Protein","",""
"3693","NN0115","trt_vs_ctrl","FM","SF50","Addition","Protein",86.6,43.3,43.3,1,0,"Protein","",""
"3694","NN0115","trt_vs_ctrl","FM","SF75","Addition","Protein",129.4,64.7,64.7,1,0,"Protein","",""
"3695","NN0115","trt_vs_ctrl","FM","SF75 + M","Addition","Mineral/Vitamin, Protein",130.4,65.2,65.2,2,0,"Mineral/Vitamin, Protein","",""
"3696","NN0115","trt_vs_trt","SF25","SF50","Substitution","High-starch → High-fat; Protein → Protein",42.8,21.4,21.4,0,0,"","","High-starch → High-fat; Protein → Protein"
"3697","NN0115","trt_vs_trt","SF25","SF75","Substitution","High-starch → High-fat; Protein → Protein",85.6,42.8,42.8,0,0,"","","High-starch → High-fat; Protein → Protein"
"3698","NN0115","trt_vs_trt","SF25","SF75 + M","Addition","Mineral/Vitamin",86.6,43.3,43.3,1,0,"Mineral/Vitamin","",""
"3699","NN0115","trt_vs_trt","SF50","SF75","Substitution","High-starch → High-fat; Protein → Protein",42.8,21.4,21.4,0,0,"","","High-starch → High-fat; Protein → Protein"
"3700","NN0115","trt_vs_trt","SF50","SF75 + M","Addition","Mineral/Vitamin",43.8,21.9,21.9,1,0,"Mineral/Vitamin","",""
"3701","NN0115","trt_vs_trt","SF75","SF75 + M","Addition","Mineral/Vitamin",1,0.5,0.5,1,0,"Mineral/Vitamin","",""
"3702","NN0118","trt_vs_ctrl","0% Duckweed","10% Duckweed","Addition","Unclassified",50.7,12.8,37.9,1,0,"Unclassified","",""
"3703","NN0118","trt_vs_ctrl","0% Duckweed","100% Duckweed","Substitution","Protein → Unclassified",123.2,48.9,74.3,1,1,"Unclassified","Protein","Protein → Unclassified"
"3704","NN0118","trt_vs_ctrl","0% Duckweed","20% Duckweed","Addition","Unclassified",77.7,26.3,51.4,1,0,"Unclassified","",""
