"","B.Code","D.Item","P.Product","Herd.Stage","GE_daily","CH4_kg_year","Total_Amount","D.Unit.Amount","CH4_flag","Ym","source","final_intake_kg_day","ED.Mean.T","T.Name","T.Control"
"42","BO1008","Control","Sheep","Gestating Female",28.7931153816784,12.6529314763512,1.58,"kg","GE_diet_based",0.067,"GE_diet_from_ingredients",NA,1.58,"T1","yes"
"43","BO1008","Control","Sheep","Gestating Female",28.7931153816784,12.6529314763512,1.58,"kg","GE_diet_based",0.067,"GE_diet_from_ingredients",NA,1.58,"T1","yes"
"44","BO1008","Control","Sheep","Gestating Female",28.7931153816784,12.6529314763512,1.58,"kg","GE_diet_based",0.067,"GE_diet_from_ingredients",NA,1.58,"T1","yes"
"45","BO1008","Control","Sheep","Gestating Female",28.7931153816784,12.6529314763512,1.58,"kg","GE_diet_based",0.067,"GE_diet_from_ingredients",NA,1.58,"T1","yes"
"46","BO1008","G1","Sheep","Gestating Female",27.7589902931702,12.1984924999008,1.55,"kg","GE_diet_based",0.067,"GE_diet_from_ingredients",NA,1.55,"T2","no"
"47","BO1008","G1","Sheep","Gestating Female",27.7589902931702,12.1984924999008,1.55,"kg","GE_diet_based",0.067,"GE_diet_from_ingredients",NA,1.55,"T2","no"
"48","BO1008","G1","Sheep","Gestating Female",27.7589902931702,12.1984924999008,1.55,"kg","GE_diet_based",0.067,"GE_diet_from_ingredients",NA,1.55,"T2","no"
"49","BO1008","G1","Sheep","Gestating Female",27.7589902931702,12.1984924999008,1.55,"kg","GE_diet_based",0.067,"GE_diet_from_ingredients",NA,1.55,"T2","no"
"50","BO1011","Control","Sheep","Gestating Female",12.1954239053236,5.35919302074913,0.675,"kg","GE_diet_based",0.067,"GE_diet_from_ingredients",NA,0.675,"T1","yes"
"51","BO1011","Control","Sheep","Gestating Female",12.1954239053236,5.35919302074913,0.675,"kg","GE_diet_based",0.067,"GE_diet_from_ingredients",NA,0.675,"T1","yes"
"52","BO1011","Control","Sheep","Gestating Female",12.1954239053236,5.35919302074913,0.675,"kg","GE_diet_based",0.067,"GE_diet_from_ingredients",NA,0.675,"T1","yes"
"53","BO1011","Control","Sheep","Gestating Female",12.1954239053236,5.35919302074913,0.675,"kg","GE_diet_based",0.067,"GE_diet_from_ingredients",NA,0.675,"T1","yes"
"54","BO1011","Diet 1","Sheep","Gestating Female",0.2450255,0.107674727807727,0.675,"kg","amount_from_total_amounts",0.067,"GE_all",NA,NA,"T2","no"
"55","BO1011","Diet 1","Sheep","Gestating Female",0.2450255,0.107674727807727,0.675,"kg","amount_from_total_amounts",0.067,"GE_all",NA,NA,"T2","no"
"56","BO1011","Diet 1","Sheep","Gestating Female",0.2450255,0.107674727807727,0.675,"kg","amount_from_total_amounts",0.067,"GE_all",NA,NA,"T2","no"
"57","BO1011","Diet 1","Sheep","Gestating Female",0.2450255,0.107674727807727,0.675,"kg","amount_from_total_amounts",0.067,"GE_all",NA,NA,"T2","no"
"58","BO1011","Diet 2","Sheep","Gestating Female",2.1864538,0.960821701329738,0.675,"kg","amount_from_total_amounts",0.067,"GE_all",NA,NA,"T3","no"
"59","BO1011","Diet 2","Sheep","Gestating Female",2.1864538,0.960821701329738,0.675,"kg","amount_from_total_amounts",0.067,"GE_all",NA,NA,"T3","no"
"60","BO1011","Diet 2","Sheep","Gestating Female",2.1864538,0.960821701329738,0.675,"kg","amount_from_total_amounts",0.067,"GE_all",NA,NA,"T3","no"
"61","BO1011","Diet 2","Sheep","Gestating Female",2.1864538,0.960821701329738,0.675,"kg","amount_from_total_amounts",0.067,"GE_all",NA,NA,"T3","no"
