B.Code,A.Level.Name,ED.Intake.Item,ED.Intake.Item.Raw,ED.Mean.T,ED.Error,Out.Subind,P.Product,is_entire_diet,is_group,T.Animals,Out.Unit.Animals,Out.Unit.Time,Out.Unit.Amount,Out.WG.Start,Out.WG.Unit
AN0020,Control T1,Control T1,Entire Diet,0.050336071428571404,NA,Feed Intake,Chicken,TRUE,FALSE,15,individual,day,kg,0.0471,kg
AN0020,T2,T2,Entire Diet,0.0484342857142857,NA,Feed Intake,Chicken,TRUE,FALSE,15,individual,day,kg,0.046979999999999994,kg
AN0020,T3,T3,Entire Diet,0.049029642857142904,NA,Feed Intake,Chicken,TRUE,FALSE,15,individual,day,kg,0.05,kg
AN0021,U0,U0,Entire Diet,0.853,0.209,Feed Intake,Sheep,TRUE,FALSE,1,individual,day,kg,10.24,kg
AN0021,U10,U10,Entire Diet,0.85858,0.209,Feed Intake,Sheep,TRUE,FALSE,1,individual,day,kg,11.1,kg
AN0021,U15,U15,Entire Diet,0.94988,0.209,Feed Intake,Sheep,TRUE,FALSE,1,individual,day,kg,10.1,kg
AN0021,U20,U20,Entire Diet,0.93804,0.209,Feed Intake,Sheep,TRUE,FALSE,1,individual,day,kg,9.8,kg
AN0057,0 PPL,Cynadon dactylon Dried,Cynodon dactylon Hay,0.411,19.1,Feed Intake,Goat,FALSE,FALSE,1,individual,day,kg,15.4,kg
AN0057,0 PPL,0 PPL,Entire Diet,0.411,19.1,Feed Intake,Goat,TRUE,FALSE,1,individual,day,kg,15.4,kg
AN0057,150 PPL,Cynadon dactylon Dried,Cynodon dactylon Hay,0.373,19.1,Feed Intake,Goat,FALSE,FALSE,1,individual,day,kg,NA,NA
AN0057,150 PPL,150 PPL,Entire Diet,0.513,19.2,Feed Intake,Goat,TRUE,FALSE,1,individual,day,kg,NA,NA
AN0057,150 PPL,Pigeon Pea Leaves Dried,Pigeon Pea Leaves,0.14,NA,Feed Intake,Goat,FALSE,FALSE,1,individual,day,kg,NA,NA
AN0057,300 PPL,Cynadon dactylon Dried,Cynodon dactylon Hay,0.37,19.1,Feed Intake,Goat,FALSE,FALSE,1,individual,day,kg,15.5,kg
AN0057,300 PPL,300 PPL,Entire Diet,0.639,19.2,Feed Intake,Goat,TRUE,FALSE,1,individual,day,kg,15.5,kg
AN0057,300 PPL,Pigeon Pea Leaves Dried,Pigeon Pea Leaves,0.269,NA,Feed Intake,Goat,FALSE,FALSE,1,individual,day,kg,15.5,kg
AN0057,450 PPL,Cynadon dactylon Dried,Cynodon dactylon Hay,0.368,19.1,Feed Intake,Goat,FALSE,FALSE,1,individual,day,kg,15.7,kg
AN0057,450 PPL,450 PPL,Entire Diet,0.763,19.2,Feed Intake,Goat,TRUE,FALSE,1,individual,day,kg,15.7,kg
AN0057,450 PPL,Pigeon Pea Leaves Dried,Pigeon Pea Leaves,0.395,NA,Feed Intake,Goat,FALSE,FALSE,1,individual,day,kg,15.7,kg
B01063,Control Diet,Entire Diet,Entire Diet,0.00478928571428572,0.595357142857143,Feed Intake,NA,TRUE,NA,12,individual,day,kg,0.1709,NA
B01063,PEG0,Entire Diet,Entire Diet,0.00466071428571429,0.595357142857143,Feed Intake,NA,TRUE,NA,12,individual,day,kg,NA,NA
B01063,PEG100,Entire Diet,Entire Diet,0.00458464285714286,0.595357142857143,Feed Intake,NA,TRUE,NA,12,individual,day,kg,NA,NA
B01063,PEG25,Entire Diet,Entire Diet,0.004925,0.595357142857143,Feed Intake,NA,TRUE,NA,12,individual,day,kg,NA,NA
B01063,PEG50,Entire Diet,Entire Diet,0.00491071428571429,0.595357142857143,Feed Intake,NA,TRUE,NA,12,individual,day,kg,NA,NA
B01063,PEG75,Entire Diet,Entire Diet,0.00475357142857143,0.595357142857143,Feed Intake,NA,TRUE,NA,12,individual,day,kg,NA,NA
BO1000,Diet 1,Entire Diet,Entire Diet,0.66827,11.073,Feed Intake,NA,TRUE,NA,NA,individual,day,kg,19.18,NA
BO1000,Diet 1,Natural Pasture Dried,Natural Pasture||Chopping||Drying,0.47262,11.073,Feed Intake,NA,FALSE,NA,NA,individual,day,kg,19.18,NA
BO1000,Diet 1,Wheat Bran;Noug Seed Cake,Wheat Bran;Noug Seed Cake,0.19569999999999999,0,Feed Intake,NA,FALSE,NA,NA,individual,day,kg,19.18,NA
BO1000,Diet 2,Entire Diet,Entire Diet,0.70048,11.073,Feed Intake,NA,TRUE,NA,NA,individual,day,kg,18.56,NA
BO1000,Diet 2,Natural Pasture Dried,Natural Pasture||Chopping||Drying,0.45279,11.073,Feed Intake,NA,FALSE,NA,NA,individual,day,kg,18.56,NA
BO1000,Diet 2,Wheat Bran;Noug Seed Cake;Ficus thonningii Leaves||Drying,Wheat Bran;Noug Seed Cake;Ficus thonningii Leaves||Drying,0.248,0,Feed Intake,NA,FALSE,NA,NA,individual,day,kg,18.56,NA
BO1000,Diet 3,Entire Diet,Entire Diet,0.74678,11.073,Feed Intake,NA,TRUE,NA,NA,individual,day,kg,18.54,NA
BO1000,Diet 3,Natural Pasture Dried,Natural Pasture||Chopping||Drying,0.44593,11.073,Feed Intake,NA,FALSE,NA,NA,individual,day,kg,18.54,NA
BO1000,Diet 3,Wheat Bran;Noug Seed Cake;Ficus thonningii Leaves||Drying,Wheat Bran;Noug Seed Cake;Ficus thonningii Leaves||Drying,0.3003,0,Feed Intake,NA,FALSE,NA,NA,individual,day,kg,18.54,NA
BO1000,Diet 4,Entire Diet,Entire Diet,0.77427,11.073,Feed Intake,NA,TRUE,NA,NA,individual,day,kg,19.08,NA
BO1000,Diet 4,Natural Pasture Dried,Natural Pasture||Chopping||Drying,0.42161000000000004,11.073,Feed Intake,NA,FALSE,NA,NA,individual,day,kg,19.08,NA
BO1000,Diet 4,Wheat Bran;Noug Seed Cake;Ficus thonningii Leaves||Drying,Wheat Bran;Noug Seed Cake;Ficus thonningii Leaves||Drying,0.3527,0,Feed Intake,NA,FALSE,NA,NA,individual,day,kg,19.08,NA
BO1000,Diet 5,Entire Diet,Entire Diet,0.82982,11.073,Feed Intake,NA,TRUE,NA,NA,individual,day,kg,18.16,NA
BO1000,Diet 5,Ficus thonningii Leaves Dried,Ficus thonningii Leaves||Drying,0.4005,0,Feed Intake,NA,FALSE,NA,NA,individual,day,kg,18.16,NA
BO1000,Diet 5,Natural Pasture Dried,Natural Pasture||Chopping||Drying,0.42482,11.073,Feed Intake,NA,FALSE,NA,NA,individual,day,kg,18.16,NA
BO1001,Diet 1,Entire Diet,Entire Diet,0.696,NA,Feed Intake,NA,TRUE,NA,5,individual,day,kg,19.18,kg
BO1001,Diet 1,Rice Straw Ensiled Urea Treated,Rice Straw||Chopping||Urea Treatment||Ensilation,0.696,NA,Feed Intake,NA,FALSE,NA,5,individual,day,kg,19.18,kg
BO1001,Diet 2,Entire Diet,Entire Diet,0.7913300000000001,NA,Feed Intake,NA,TRUE,NA,5,individual,day,kg,18.56,kg
BO1001,Diet 2,Rice Straw Ensiled Urea Treated,Rice Straw||Chopping||Urea Treatment||Ensilation,0.69133,NA,Feed Intake,NA,FALSE,NA,5,individual,day,kg,18.56,kg
BO1001,Diet 2,Sesbania sesban Dried,Sesbania sesban||Drying,0.1,NA,Feed Intake,NA,FALSE,NA,5,individual,day,kg,18.56,kg
BO1001,Diet 3,Entire Diet,Entire Diet,0.84056,NA,Feed Intake,NA,TRUE,NA,5,individual,day,kg,18.54,kg
BO1001,Diet 3,Rice Straw Ensiled Urea Treated,Rice Straw||Chopping||Urea Treatment||Ensilation,0.6405599999999999,NA,Feed Intake,NA,FALSE,NA,5,individual,day,kg,18.54,kg
BO1001,Diet 3,Sesbania sesban Dried,Sesbania sesban||Drying,0.2,NA,Feed Intake,NA,FALSE,NA,5,individual,day,kg,18.54,kg
BO1001,Diet 4,Entire Diet,Entire Diet,0.93141,NA,Feed Intake,NA,TRUE,NA,5,individual,day,kg,19.08,kg
BO1001,Diet 4,Rice Straw Ensiled Urea Treated,Rice Straw||Chopping||Urea Treatment||Ensilation,0.6314099999999999,NA,Feed Intake,NA,FALSE,NA,5,individual,day,kg,19.08,kg
BO1001,Diet 4,Sesbania sesban Dried,Sesbania sesban||Drying,0.3,NA,Feed Intake,NA,FALSE,NA,5,individual,day,kg,19.08,kg
BO1001,Diet 5,Entire Diet,Entire Diet,1.01572,NA,Feed Intake,NA,TRUE,NA,5,individual,day,kg,18.16,kg
BO1001,Diet 5,Rice Straw Ensiled Urea Treated,Rice Straw||Chopping||Urea Treatment||Ensilation,0.61572,NA,Feed Intake,NA,FALSE,NA,5,individual,day,kg,18.16,kg
BO1001,Diet 5,Sesbania sesban Dried,Sesbania sesban||Drying,0.4,NA,Feed Intake,NA,FALSE,NA,5,individual,day,kg,18.16,kg
BO1002,Control,Entire Diet,Entire Diet,1.181,7.4,Feed Intake,NA,TRUE,NA,NA,individual,day,kg,41,kg
BO1002,MA20,Entire Diet,Entire Diet,1.167,7.4,Feed Intake,NA,TRUE,NA,NA,individual,day,kg,41,kg
BO1002,MA40,Entire Diet,Entire Diet,1.172,7.4,Feed Intake,NA,TRUE,NA,NA,individual,day,kg,41,kg
BO1003,C25,Entire Diet,Entire Diet,0.44872,0.2,Feed Intake,NA,TRUE,NA,5,NA,NA,kg,11.36,kg
BO1003,C25,Water,Water,0.23,0.03,Feed Intake,NA,FALSE,NA,5,individual,day,l,11.36,kg
BO1003,C50,Entire Diet,Entire Diet,0.48822,0.2,Feed Intake,NA,TRUE,NA,5,NA,NA,kg,12.36,kg
BO1003,C50,Water,Water,0.11,0.03,Feed Intake,NA,FALSE,NA,5,individual,day,l,12.36,kg
BO1003,C75,Entire Diet,Entire Diet,0.452312,0.2,Feed Intake,NA,TRUE,NA,5,NA,NA,kg,11.48,kg
BO1003,C75,Water,Water,0.09,0.03,Feed Intake,NA,FALSE,NA,5,individual,day,l,11.48,kg
BO1004,Treatment 1,Entire Diet,Entire Diet,0.5073,44.3,Feed Intake,NA,TRUE,NA,3,NA,NA,kg,26.7,kg
BO1004,Treatment 1,Sesbania sesban Leaves Dried Ground,Sesbania sesban Leaves||Grinding||Drying,0.5076,43.2,Feed Intake,NA,FALSE,NA,3,individual,day,kg,26.7,kg
BO1004,Treatment 2,Entire Diet,Entire Diet,0.7209000000000001,44.3,Feed Intake,NA,TRUE,NA,3,NA,NA,kg,26.7,kg
BO1004,Treatment 2,Natural Pasture Dried,Natural Pasture||Chopping||Drying,0.3902,43.2,Feed Intake,NA,FALSE,NA,3,individual,day,kg,26.7,kg
BO1004,Treatment 2,Noug Seed Cake,Noug Seed Cake,0.7069,43.2,Feed Intake,NA,FALSE,NA,3,individual,day,kg,26.7,kg
BO1004,Treatment 2,Sesbania sesban Leaves Dried Ground,Sesbania sesban Leaves||Grinding||Drying,0.316,43.2,Feed Intake,NA,FALSE,NA,3,individual,day,kg,26.7,kg
BO1004,Treatment 3,Entire Diet,Entire Diet,0.6141,44.3,Feed Intake,NA,TRUE,NA,3,NA,NA,kg,26.7,kg
BO1004,Treatment 3,Natural Pasture Dried,Natural Pasture||Chopping||Drying,0.2409,43.2,Feed Intake,NA,FALSE,NA,3,individual,day,kg,26.7,kg
BO1004,Treatment 3,Noug Seed Cake,Noug Seed Cake,0.624,43.2,Feed Intake,NA,FALSE,NA,3,individual,day,kg,26.7,kg
BO1004,Treatment 3,Sesbania sesban Leaves Dried Ground,Sesbania sesban Leaves||Grinding||Drying,0.3831,43.2,Feed Intake,NA,FALSE,NA,3,individual,day,kg,26.7,kg
BO1005,OSCM,Entire Diet,Entire Diet,0.865,43,Feed Intake,NA,TRUE,NA,8,individual,day,kg,23.1,kg
BO1005,TMRL,Entire Diet,Entire Diet,0.885,43,Feed Intake,NA,TRUE,NA,8,individual,day,kg,22.9,kg
BO1006,Ration 1,Entire Diet,Entire Diet,1.1562000000000001,32.84,Feed Intake,NA,TRUE,NA,9,individual,day,kg,20.56,kg
BO1006,Ration 2,Entire Diet,Entire Diet,1.3308,32.84,Feed Intake,NA,TRUE,NA,9,individual,day,kg,20.52,kg
BO1006,Ration 3,Entire Diet,Entire Diet,1.1006500000000001,32.84,Feed Intake,NA,TRUE,NA,9,individual,day,kg,20.32,kg
BO1007,HAK10,Entire Diet,Entire Diet,0.264,NA,Feed Intake,NA,TRUE,NA,3,individual,day,kg,23.15,kg
BO1007,HAK15,Entire Diet,Entire Diet,0.337,NA,Feed Intake,NA,TRUE,NA,3,individual,day,kg,22.52,kg
BO1007,HAK20,Entire Diet,Entire Diet,0.37,NA,Feed Intake,NA,TRUE,NA,3,individual,day,kg,23.97,kg
BO1007,HAK30,Entire Diet,Entire Diet,0.288,NA,Feed Intake,NA,TRUE,NA,3,individual,day,kg,22.85,kg
BO1008,Control,Entire Diet,Entire Diet,0.68,NA,Feed Intake,NA,TRUE,NA,NA,individual,day,kg,43.28,kg
BO1008,Control,Trifolium alexandrinum Dried,Trifolium alexandrinum||Chopping||Drying,0.9,NA,Feed Intake,NA,FALSE,NA,NA,individual,day,kg,43.28,kg
BO1008,G1,Entire Diet,Entire Diet,0.7,NA,Feed Intake,NA,TRUE,NA,NA,individual,day,kg,43.71,kg
BO1008,G1,Pennisetum glaucum;Atriplex nummularia,Pennisetum glaucum;Atriplex nummularia,0.85,NA,Feed Intake,NA,FALSE,NA,NA,individual,day,kg,43.71,kg
BO1008,G2,Atriplex nummularia;Pennisetum glaucum;Propionibacteria freudenreichii,Atriplex nummularia;Pennisetum glaucum;Propionibacteria freudenreichii,0.87,NA,Feed Intake,NA,FALSE,NA,NA,individual,day,kg,43.14,kg
BO1008,G2,Entire Diet,Entire Diet,0.7,NA,Feed Intake,NA,TRUE,NA,NA,individual,day,kg,43.14,kg
BO1009,Diet 1,Entire Diet,Entire Diet,0.408,0.07,Feed Intake,NA,TRUE,NA,3,individual,day,kg,5.85,kg
BO1009,Diet 2,Entire Diet,Entire Diet,0.423,0.07,Feed Intake,NA,TRUE,NA,3,individual,day,kg,6.955,kg
BO1009,Diet 3,Entire Diet,Entire Diet,0.409,0.07,Feed Intake,NA,TRUE,NA,3,individual,day,kg,6.9,kg
BO1009,Diet 4,Entire Diet,Entire Diet,0.446,0.07,Feed Intake,NA,TRUE,NA,3,individual,day,kg,7.15,kg
BO1010,A. dilbata,Entire Diet,Entire Diet,0.2904,5.21,Feed Intake,NA,TRUE,NA,10,individual,day,kg,19.2,kg
BO1010,A. mearnsii,Entire Diet,Entire Diet,0.2886,5.01,Feed Intake,NA,TRUE,NA,10,individual,day,kg,19.2,kg
BO1010,Protein supplement,Entire Diet,Entire Diet,0.31889999999999996,4.92,Feed Intake,NA,TRUE,NA,10,individual,day,kg,19.2,kg
BO1010,Rangeland hay Control,Entire Diet,Entire Diet,0.2744,5.22,Feed Intake,NA,TRUE,NA,10,individual,day,kg,19.2,kg
BO1011,Control,Entire Diet,Entire Diet,0.675,NA,Feed Intake,NA,TRUE,NA,NA,individual,day,kg,32.41,kg
BO1011,Diet 1,Entire Diet,Entire Diet,0.675,NA,Feed Intake,NA,TRUE,NA,NA,individual,day,kg,32.73,kg
BO1011,Diet 2,Entire Diet,Entire Diet,0.675,NA,Feed Intake,NA,TRUE,NA,NA,individual,day,kg,32.91,kg
BO1011,Diet 3,Entire Diet,Entire Diet,0.65,NA,Feed Intake,NA,TRUE,NA,NA,individual,day,kg,32.95,kg
BO1012,DLL0,Entire Diet,Entire Diet,0.889,14.5,Feed Intake,NA,TRUE,NA,6,individual,day,kg,19.8,kg
BO1012,DLL0,Unspecified Grass Dried,Unspecified Grass||Chopping||Drying,0.541,11.9,Feed Intake,NA,FALSE,NA,6,individual,day,kg,19.8,kg
BO1012,DLL10,Entire Diet,Entire Diet,0.906,14.5,Feed Intake,NA,TRUE,NA,6,individual,day,kg,20.5,kg
BO1012,DLL10,Leucaena Leaves Dried,Leucaena leucocephala Leaves||Chopping||Drying,0.0338,0.04,Feed Intake,NA,FALSE,NA,6,individual,day,kg,20.5,kg
BO1012,DLL10,Unspecified Grass Dried,Unspecified Grass||Chopping||Drying,0.529,11.9,Feed Intake,NA,FALSE,NA,6,individual,day,kg,20.5,kg
BO1012,DLL15,Entire Diet,Entire Diet,0.888,14.5,Feed Intake,NA,TRUE,NA,6,individual,day,kg,19.8,kg
BO1012,DLL15,Leucaena Leaves Dried,Leucaena leucocephala Leaves||Chopping||Drying,0.0508,0.04,Feed Intake,NA,FALSE,NA,6,individual,day,kg,19.8,kg
BO1012,DLL15,Unspecified Grass Dried,Unspecified Grass||Chopping||Drying,0.523,11.9,Feed Intake,NA,FALSE,NA,6,individual,day,kg,19.8,kg
BO1012,DLL20,Entire Diet,Entire Diet,0.869,14.5,Feed Intake,NA,TRUE,NA,6,individual,day,kg,20.2,kg
BO1012,DLL20,Leucaena Leaves Dried,Leucaena leucocephala Leaves||Chopping||Drying,0.0677,0.04,Feed Intake,NA,FALSE,NA,6,individual,day,kg,20.2,kg
BO1012,DLL20,Unspecified Grass Dried,Unspecified Grass||Chopping||Drying,0.497,11.9,Feed Intake,NA,FALSE,NA,6,individual,day,kg,20.2,kg
BO1012,DLL5,Entire Diet,Entire Diet,0.876,14.5,Feed Intake,NA,TRUE,NA,6,individual,day,kg,20,kg
BO1012,DLL5,Leucaena Leaves Dried,Leucaena leucocephala Leaves||Chopping||Drying,0.0169,0.04,Feed Intake,NA,FALSE,NA,6,individual,day,kg,20,kg
BO1012,DLL5,Unspecified Grass Dried,Unspecified Grass||Chopping||Drying,0.502,11.9,Feed Intake,NA,FALSE,NA,6,individual,day,kg,20,kg
BO1013,Diet 1,Entire Diet,Entire Diet,0.44244,42.55,Feed Intake,NA,TRUE,NA,5,individual,day,kg,19.62,kg
BO1013,Diet 1,Teff Straw,Teff Straw,0.32244,15.78,Feed Intake,NA,FALSE,NA,5,individual,day,kg,19.62,kg
BO1013,Diet 2,Entire Diet,Entire Diet,0.78607,42.55,Feed Intake,NA,TRUE,NA,5,individual,day,kg,19.84,kg
BO1013,Diet 2,Teff Straw,Teff Straw,0.36607,15.78,Feed Intake,NA,FALSE,NA,5,individual,day,kg,19.84,kg
BO1013,Diet 3,Entire Diet,Entire Diet,0.79738,42.55,Feed Intake,NA,TRUE,NA,5,individual,day,kg,19.98,kg
BO1013,Diet 3,Teff Straw,Teff Straw,0.37738,15.78,Feed Intake,NA,FALSE,NA,5,individual,day,kg,19.98,kg
BO1013,Diet 4,Entire Diet,Entire Diet,0.90764,42.55,Feed Intake,NA,TRUE,NA,5,individual,day,kg,19.46,kg
BO1013,Diet 4,Teff Straw,Teff Straw,0.48763999999999996,15.78,Feed Intake,NA,FALSE,NA,5,individual,day,kg,19.46,kg
BO1014,Diet 1,Trifolium alexandrinum Straw Dried,Berseem Straw||Chopping||Drying,0.4,NA,Feed Intake,NA,FALSE,NA,5,individual,day,kg,12.08,kg
BO1014,Diet 1,Concentrate,Concentrate,0.8,NA,Feed Intake,NA,FALSE,NA,5,individual,day,kg,12.08,kg
BO1014,Diet 1,Entire Diet,Entire Diet,1.2,NA,Feed Intake,NA,TRUE,NA,5,individual,day,kg,12.08,kg
BO1014,Diet 2,Atriplex nummularia Leaves and Twigs,Atriplex nummularia Leaves and Twigs,0.15,NA,Feed Intake,NA,FALSE,NA,5,individual,day,kg,12.12,kg
BO1014,Diet 2,Concentrate,Concentrate,0.6,NA,Feed Intake,NA,FALSE,NA,5,individual,day,kg,12.12,kg
BO1014,Diet 2,Entire Diet,Entire Diet,0.75,NA,Feed Intake,NA,TRUE,NA,5,individual,day,kg,12.12,kg
BO1014,Diet 3,Atriplex halimus Leaves and Twigs,Atriplex halimus Leaves and Twigs,0.2,NA,Feed Intake,NA,FALSE,NA,5,individual,day,kg,12.32,kg
BO1014,Diet 3,Concentrate,Concentrate,0.7,NA,Feed Intake,NA,FALSE,NA,5,individual,day,kg,12.32,kg
BO1014,Diet 3,Entire Diet,Entire Diet,0.9,NA,Feed Intake,NA,TRUE,NA,5,individual,day,kg,12.32,kg
BO1014,Diet 4,Berseem Straw||Chopping||Drying;Atriplex nummularia Leaves and Twigs,Berseem Straw||Chopping||Drying;Atriplex nummularia Leaves and Twigs,0.25,NA,Feed Intake,NA,FALSE,NA,5,individual,day,kg,12.32,kg
BO1014,Diet 4,Concentrate,Concentrate,0.75,NA,Feed Intake,NA,FALSE,NA,5,individual,day,kg,12.32,kg
BO1014,Diet 4,Entire Diet,Entire Diet,1,NA,Feed Intake,NA,TRUE,NA,5,individual,day,kg,12.32,kg
BO1014,Diet 5,Berseem Straw||Chopping||Drying;Atriplex halimus Leaves and Twigs,Berseem Straw||Chopping||Drying;Atriplex halimus Leaves and Twigs,0.3,NA,Feed Intake,NA,FALSE,NA,5,individual,day,kg,12.02,kg
BO1014,Diet 5,Concentrate,Concentrate,0.75,NA,Feed Intake,NA,FALSE,NA,5,individual,day,kg,12.02,kg
BO1014,Diet 5,Entire Diet,Entire Diet,1.05,NA,Feed Intake,NA,TRUE,NA,5,individual,day,kg,12.02,kg
BO1014,Diet 6,Berseem Straw||Chopping||Drying;Atriplex nummularia Leaves and Twigs,Berseem Straw||Chopping||Drying;Atriplex nummularia Leaves and Twigs,0.3,NA,Feed Intake,NA,FALSE,NA,5,individual,day,kg,12.32,kg
BO1014,Diet 6,Concentrate,Concentrate,0.8,NA,Feed Intake,NA,FALSE,NA,5,individual,day,kg,12.32,kg
BO1014,Diet 6,Entire Diet,Entire Diet,1.1,NA,Feed Intake,NA,TRUE,NA,5,individual,day,kg,12.32,kg
BO1014,Diet 7,Berseem Straw||Chopping||Drying;Atriplex halimus Leaves and Twigs,Berseem Straw||Chopping||Drying;Atriplex halimus Leaves and Twigs,0.35,NA,Feed Intake,NA,FALSE,NA,5,individual,day,kg,12.28,kg
BO1014,Diet 7,Concentrate,Concentrate,0.6,NA,Feed Intake,NA,FALSE,NA,5,individual,day,kg,12.28,kg
BO1014,Diet 7,Entire Diet,Entire Diet,1.15,NA,Feed Intake,NA,TRUE,NA,5,individual,day,kg,12.28,kg
BO1015,42% CFM +52% CS +6% SS (G3),Maize Ensiled,Corn||Ensilation,0.852,NA,Feed Intake,NA,FALSE,NA,NA,individual,day,kg,45.88,kg
BO1015,42% CFM +52% CS +6% SS (G3),Entire Diet,Entire Diet,0.693,NA,Feed Intake,NA,TRUE,NA,NA,individual,day,kg,45.88,kg
