"","B.Code","D.Item","DC.Variable","DC.Value","is_entire_diet","is_group"
"106","AG0087","Indirect boiling DF 1.5%","CP",174.4,TRUE,FALSE
"107","AG0087","Indirect boiling DF 1.5%","NDF",NA,TRUE,FALSE
"108","AG0087","Indirect boiling DF 1.5%","Ash",NA,TRUE,FALSE
"109","AG0087","Indirect boiling DF 1.5%","EE",NA,TRUE,FALSE
"110","AG0087","Indirect boiling DF 1.5%","GE",NA,TRUE,FALSE
"111","AG0087","Indirect boiling DF 3.5%","CP",171.8,TRUE,FALSE
"112","AG0087","Indirect boiling DF 3.5%","NDF",NA,TRUE,FALSE
"113","AG0087","Indirect boiling DF 3.5%","Ash",NA,TRUE,FALSE
"114","AG0087","Indirect boiling DF 3.5%","EE",NA,TRUE,FALSE
"115","AG0087","Indirect boiling DF 3.5%","GE",NA,TRUE,FALSE
"116","AG0087","Indirect boiling DF 5%","CP",168.8,TRUE,FALSE
"117","AG0087","Indirect boiling DF 5%","NDF",NA,TRUE,FALSE
"118","AG0087","Indirect boiling DF 5%","Ash",NA,TRUE,FALSE
"119","AG0087","Indirect boiling DF 5%","EE",NA,TRUE,FALSE
"120","AG0087","Indirect boiling DF 5%","GE",NA,TRUE,FALSE
"121","AG0087","Roasted DF 1.5%","CP",175.6,TRUE,FALSE
"122","AG0087","Roasted DF 1.5%","NDF",NA,TRUE,FALSE
"123","AG0087","Roasted DF 1.5%","Ash",NA,TRUE,FALSE
"124","AG0087","Roasted DF 1.5%","EE",NA,TRUE,FALSE
"125","AG0087","Roasted DF 1.5%","GE",NA,TRUE,FALSE
"126","AG0087","Roasted DF 3.5%","CP",172.8,TRUE,FALSE
"127","AG0087","Roasted DF 3.5%","NDF",NA,TRUE,FALSE
"128","AG0087","Roasted DF 3.5%","Ash",NA,TRUE,FALSE
"129","AG0087","Roasted DF 3.5%","EE",NA,TRUE,FALSE
"130","AG0087","Roasted DF 3.5%","GE",NA,TRUE,FALSE
"131","AG0087","Roasted DF 5%","CP",169.17,TRUE,FALSE
"132","AG0087","Roasted DF 5%","NDF",NA,TRUE,FALSE
"133","AG0087","Roasted DF 5%","Ash",NA,TRUE,FALSE
"134","AG0087","Roasted DF 5%","EE",NA,TRUE,FALSE
"135","AG0087","Roasted DF 5%","GE",NA,TRUE,FALSE
"136","AG0087","Sun dried DF 1.5%","CP",174.4,TRUE,FALSE
"137","AG0087","Sun dried DF 1.5%","NDF",NA,TRUE,FALSE
