"","B.Code","A","B","Practice","Subpractice","Diet_A","Diet_B"
"1","0","cfm (10)","cfm (20)","Diet shift","High-starch → High-fat","High-starch","High-fat"
"2","0","cfm (10)","cfm (5)","No change","","High-starch","High-starch"
"3","0","cfm (10)","cfm without msk","No change","","High-starch","High-starch"
"4","0","cfm (20)","cfm (5)","Diet shift","High-fat → High-starch","High-fat","High-starch"
"5","0","cfm (20)","cfm without msk","Diet shift","High-fat → High-starch","High-fat","High-starch"
"6","0","cfm (5)","cfm without msk","No change","","High-starch","High-starch"
"7","AG0018","bsm","llm","Diet shift","High-starch → Good forage","High-starch","Good forage"
"8","AG0018","bsm","mfm","Diet shift","High-starch → Good forage","High-starch","Good forage"
"9","AG0018","bsm","np","Diet shift","High-starch → Poor forage","High-starch","Poor forage"
"10","AG0018","bsm","uts","Diet shift","High-starch → Poor forage","High-starch","Poor forage"
"11","AG0018","llm","mfm","No change","","Good forage","Good forage"
"12","AG0018","llm","np","Diet shift","Good forage → Poor forage","Good forage","Poor forage"
"13","AG0018","llm","uts","Diet shift","Good forage → Poor forage","Good forage","Poor forage"
"14","AG0018","mfm","np","Diet shift","Good forage → Poor forage","Good forage","Poor forage"
"15","AG0018","mfm","uts","Diet shift","Good forage → Poor forage","Good forage","Poor forage"
"16","AG0018","np","uts","No change","","Poor forage","Poor forage"
"17","AG0042","60% f sopm","60% uf sopm","No change","","High-starch","High-starch"
"18","AG0042","60% f sopm","con","Diet shift","High-starch → Good forage","High-starch","Good forage"
"19","AG0042","60% uf sopm","con","Diet shift","High-starch → Good forage","High-starch","Good forage"
"20","AG0050","cpl","control","Diet shift","Good forage → Protein","Good forage","Protein"
"21","AG0050","cpl","csh","Diet shift","Good forage → Protein","Good forage","Protein"
"22","AG0050","cpl","cst","Diet shift","Good forage → High-starch","Good forage","High-starch"
"23","AG0050","cpl","ctb","Diet shift","Good forage → Protein","Good forage","Protein"
"24","AG0050","csh","control","No change","","Protein","Protein"
"25","AG0050","csh","cst","Diet shift","Protein → High-starch","Protein","High-starch"
"26","AG0050","csh","ctb","No change","","Protein","Protein"
"27","AG0050","cst","control","Diet shift","High-starch → Protein","High-starch","Protein"
"28","AG0050","cst","ctb","Diet shift","High-starch → Protein","High-starch","Protein"
"29","AG0050","ctb","control","No change","","Protein","Protein"
"30","AG0051","ng","ngd","No change","","Good forage","Good forage"
"31","AG0051","ng","pg","Diet shift","Good forage → Poor forage","Good forage","Poor forage"
"32","AG0051","ng","pgd","No change","","Good forage","Good forage"
"33","AG0051","ngd","pg","Diet shift","Good forage → Poor forage","Good forage","Poor forage"
"34","AG0051","ngd","pgd","No change","","Good forage","Good forage"
"35","AG0051","pg","pgd","Diet shift","Poor forage → Good forage","Poor forage","Good forage"
"36","AG0087","control","direct boiling df 1.5%","No change","","High-starch","High-starch"
"37","AG0087","control","direct boiling df 3.5%","No change","","High-starch","High-starch"
"38","AG0087","control","direct boiling df 5%","No change","","High-starch","High-starch"
"39","AG0087","control","indirect boiling df 1.5%","No change","","High-starch","High-starch"
"40","AG0087","control","indirect boiling df 3.5%","No change","","High-starch","High-starch"
"41","AG0087","control","indirect boiling df 5%","No change","","High-starch","High-starch"
"42","AG0087","control","roasted df 1.5%","No change","","High-starch","High-starch"
"43","AG0087","control","roasted df 3.5%","No change","","High-starch","High-starch"
"44","AG0087","control","roasted df 5%","No change","","High-starch","High-starch"
"45","AG0087","control","sun dried df 1.5%","No change","","High-starch","High-starch"
"46","AG0087","control","sun dried df 3.5%","No change","","High-starch","High-starch"
"47","AG0087","control","sun dried df 5%","No change","","High-starch","High-starch"
"48","AG0087","direct boiling df 1.5%","direct boiling df 3.5%","No change","","High-starch","High-starch"
"49","AG0087","direct boiling df 1.5%","direct boiling df 5%","No change","","High-starch","High-starch"
"50","AG0087","direct boiling df 1.5%","indirect boiling df 1.5%","No change","","High-starch","High-starch"
"51","AG0087","direct boiling df 1.5%","indirect boiling df 3.5%","No change","","High-starch","High-starch"
"52","AG0087","direct boiling df 1.5%","indirect boiling df 5%","No change","","High-starch","High-starch"
"53","AG0087","direct boiling df 1.5%","roasted df 1.5%","No change","","High-starch","High-starch"
"54","AG0087","direct boiling df 1.5%","roasted df 3.5%","No change","","High-starch","High-starch"
"55","AG0087","direct boiling df 1.5%","roasted df 5%","No change","","High-starch","High-starch"
"56","AG0087","direct boiling df 1.5%","sun dried df 1.5%","No change","","High-starch","High-starch"
"57","AG0087","direct boiling df 1.5%","sun dried df 3.5%","No change","","High-starch","High-starch"
"58","AG0087","direct boiling df 1.5%","sun dried df 5%","No change","","High-starch","High-starch"
"59","AG0087","direct boiling df 3.5%","direct boiling df 5%","No change","","High-starch","High-starch"
"60","AG0087","direct boiling df 3.5%","indirect boiling df 1.5%","No change","","High-starch","High-starch"
"61","AG0087","direct boiling df 3.5%","indirect boiling df 3.5%","No change","","High-starch","High-starch"
"62","AG0087","direct boiling df 3.5%","indirect boiling df 5%","No change","","High-starch","High-starch"
"63","AG0087","direct boiling df 3.5%","roasted df 1.5%","No change","","High-starch","High-starch"
"64","AG0087","direct boiling df 3.5%","roasted df 3.5%","No change","","High-starch","High-starch"
"65","AG0087","direct boiling df 3.5%","roasted df 5%","No change","","High-starch","High-starch"
"66","AG0087","direct boiling df 3.5%","sun dried df 1.5%","No change","","High-starch","High-starch"
"67","AG0087","direct boiling df 3.5%","sun dried df 3.5%","No change","","High-starch","High-starch"
"68","AG0087","direct boiling df 3.5%","sun dried df 5%","No change","","High-starch","High-starch"
"69","AG0087","direct boiling df 5%","indirect boiling df 1.5%","No change","","High-starch","High-starch"
"70","AG0087","direct boiling df 5%","indirect boiling df 3.5%","No change","","High-starch","High-starch"
"71","AG0087","direct boiling df 5%","indirect boiling df 5%","No change","","High-starch","High-starch"
"72","AG0087","direct boiling df 5%","roasted df 1.5%","No change","","High-starch","High-starch"
"73","AG0087","direct boiling df 5%","roasted df 3.5%","No change","","High-starch","High-starch"
"74","AG0087","direct boiling df 5%","roasted df 5%","No change","","High-starch","High-starch"
"75","AG0087","direct boiling df 5%","sun dried df 1.5%","No change","","High-starch","High-starch"
"76","AG0087","direct boiling df 5%","sun dried df 3.5%","No change","","High-starch","High-starch"
"77","AG0087","direct boiling df 5%","sun dried df 5%","No change","","High-starch","High-starch"
"78","AG0087","indirect boiling df 1.5%","indirect boiling df 3.5%","No change","","High-starch","High-starch"
"79","AG0087","indirect boiling df 1.5%","indirect boiling df 5%","No change","","High-starch","High-starch"
"80","AG0087","indirect boiling df 1.5%","roasted df 1.5%","No change","","High-starch","High-starch"
"81","AG0087","indirect boiling df 1.5%","roasted df 3.5%","No change","","High-starch","High-starch"
"82","AG0087","indirect boiling df 1.5%","roasted df 5%","No change","","High-starch","High-starch"
"83","AG0087","indirect boiling df 1.5%","sun dried df 1.5%","No change","","High-starch","High-starch"
"84","AG0087","indirect boiling df 1.5%","sun dried df 3.5%","No change","","High-starch","High-starch"
"85","AG0087","indirect boiling df 1.5%","sun dried df 5%","No change","","High-starch","High-starch"
"86","AG0087","indirect boiling df 3.5%","indirect boiling df 5%","No change","","High-starch","High-starch"
"87","AG0087","indirect boiling df 3.5%","roasted df 1.5%","No change","","High-starch","High-starch"
"88","AG0087","indirect boiling df 3.5%","roasted df 3.5%","No change","","High-starch","High-starch"
"89","AG0087","indirect boiling df 3.5%","roasted df 5%","No change","","High-starch","High-starch"
"90","AG0087","indirect boiling df 3.5%","sun dried df 1.5%","No change","","High-starch","High-starch"
"91","AG0087","indirect boiling df 3.5%","sun dried df 3.5%","No change","","High-starch","High-starch"
"92","AG0087","indirect boiling df 3.5%","sun dried df 5%","No change","","High-starch","High-starch"
"93","AG0087","indirect boiling df 5%","roasted df 1.5%","No change","","High-starch","High-starch"
"94","AG0087","indirect boiling df 5%","roasted df 3.5%","No change","","High-starch","High-starch"
"95","AG0087","indirect boiling df 5%","roasted df 5%","No change","","High-starch","High-starch"
"96","AG0087","indirect boiling df 5%","sun dried df 1.5%","No change","","High-starch","High-starch"
"97","AG0087","indirect boiling df 5%","sun dried df 3.5%","No change","","High-starch","High-starch"
"98","AG0087","indirect boiling df 5%","sun dried df 5%","No change","","High-starch","High-starch"
"99","AG0087","roasted df 1.5%","roasted df 3.5%","No change","","High-starch","High-starch"
"100","AG0087","roasted df 1.5%","roasted df 5%","No change","","High-starch","High-starch"
"101","AG0087","roasted df 1.5%","sun dried df 1.5%","No change","","High-starch","High-starch"
"102","AG0087","roasted df 1.5%","sun dried df 3.5%","No change","","High-starch","High-starch"
"103","AG0087","roasted df 1.5%","sun dried df 5%","No change","","High-starch","High-starch"
"104","AG0087","roasted df 3.5%","roasted df 5%","No change","","High-starch","High-starch"
"105","AG0087","roasted df 3.5%","sun dried df 1.5%","No change","","High-starch","High-starch"
"106","AG0087","roasted df 3.5%","sun dried df 3.5%","No change","","High-starch","High-starch"
"107","AG0087","roasted df 3.5%","sun dried df 5%","No change","","High-starch","High-starch"
"108","AG0087","roasted df 5%","sun dried df 1.5%","No change","","High-starch","High-starch"
"109","AG0087","roasted df 5%","sun dried df 3.5%","No change","","High-starch","High-starch"
"110","AG0087","roasted df 5%","sun dried df 5%","No change","","High-starch","High-starch"
"111","AG0087","sun dried df 1.5%","sun dried df 3.5%","No change","","High-starch","High-starch"
"112","AG0087","sun dried df 1.5%","sun dried df 5%","No change","","High-starch","High-starch"
"113","AG0087","sun dried df 3.5%","sun dried df 5%","No change","","High-starch","High-starch"
"114","AN0007","t1","t2","No change","","Good forage","Good forage"
"115","AN0007","t1","t3","No change","","Good forage","Good forage"
"116","AN0007","t1","t4","No change","","Good forage","Good forage"
"117","AN0007","t1","t5","No change","","Good forage","Good forage"
"118","AN0007","t2","t3","No change","","Good forage","Good forage"
"119","AN0007","t2","t4","No change","","Good forage","Good forage"
"120","AN0007","t2","t5","No change","","Good forage","Good forage"
"121","AN0007","t3","t4","No change","","Good forage","Good forage"
"122","AN0007","t3","t5","No change","","Good forage","Good forage"
"123","AN0007","t4","t5","No change","","Good forage","Good forage"
"124","AN0020","control t1","t2","Diet shift","Protein → High-starch","Protein","High-starch"
"125","AN0020","control t1","t3","Diet shift","Protein → High-starch","Protein","High-starch"
"126","AN0020","t2","t3","No change","","High-starch","High-starch"
"127","AN0021","u0","u10","No change","","Poor forage","Poor forage"
"128","AN0021","u0","u15","No change","","Poor forage","Poor forage"
"129","AN0021","u0","u20","No change","","Poor forage","Poor forage"
"130","AN0021","u10","u15","No change","","Poor forage","Poor forage"
"131","AN0021","u10","u20","No change","","Poor forage","Poor forage"
"132","AN0021","u15","u20","No change","","Poor forage","Poor forage"
"133","AN0027","control pds","r1","Diet shift","High-starch → Good forage","High-starch","Good forage"
"134","AN0027","control pds","r2","Diet shift","High-starch → Good forage","High-starch","Good forage"
"135","AN0027","r1","r2","No change","","Good forage","Good forage"
"136","AN0029","t2 1.5%","t3 2.5%","No change","","Protein","Protein"
"137","AN0057","150 ppl","300 ppl","No change","","Unclassified","Unclassified"
"138","AN0057","150 ppl","450 ppl","No change","","Unclassified","Unclassified"
"139","AN0057","300 ppl","450 ppl","No change","","Unclassified","Unclassified"
"140","AN0058","pjp 0","pjp 10","No change","","High-fat","High-fat"
"141","AN0058","pjp 0","pjp 20","No change","","High-fat","High-fat"
"142","AN0058","pjp 0","pjp 30","Diet shift","High-fat → High-starch","High-fat","High-starch"
"143","AN0058","pjp 10","pjp 20","No change","","High-fat","High-fat"
"144","AN0058","pjp 10","pjp 30","Diet shift","High-fat → High-starch","High-fat","High-starch"
"145","AN0058","pjp 20","pjp 30","Diet shift","High-fat → High-starch","High-fat","High-starch"
"146","B01063","control diet","peg0","No change","","Unclassified","Unclassified"
"147","B01063","control diet","peg100","No change","","Unclassified","Unclassified"
"148","B01063","control diet","peg25","No change","","Unclassified","Unclassified"
"149","B01063","control diet","peg50","No change","","Unclassified","Unclassified"
"150","B01063","control diet","peg75","No change","","Unclassified","Unclassified"
"151","B01063","peg0","peg100","No change","","Unclassified","Unclassified"
"152","B01063","peg0","peg25","No change","","Unclassified","Unclassified"
"153","B01063","peg0","peg50","No change","","Unclassified","Unclassified"
"154","B01063","peg0","peg75","No change","","Unclassified","Unclassified"
"155","B01063","peg100","peg25","No change","","Unclassified","Unclassified"
"156","B01063","peg100","peg50","No change","","Unclassified","Unclassified"
"157","B01063","peg100","peg75","No change","","Unclassified","Unclassified"
"158","B01063","peg25","peg50","No change","","Unclassified","Unclassified"
"159","B01063","peg25","peg75","No change","","Unclassified","Unclassified"
"160","B01063","peg50","peg75","No change","","Unclassified","Unclassified"
"161","BO1000","diet 1","diet 2","No change","","Unclassified","Unclassified"
"162","BO1000","diet 1","diet 3","No change","","Unclassified","Unclassified"
"163","BO1000","diet 1","diet 4","No change","","Unclassified","Unclassified"
"164","BO1000","diet 1","diet 5","No change","","Unclassified","Unclassified"
"165","BO1000","diet 2","diet 3","No change","","Unclassified","Unclassified"
"166","BO1000","diet 2","diet 4","No change","","Unclassified","Unclassified"
"167","BO1000","diet 2","diet 5","No change","","Unclassified","Unclassified"
"168","BO1000","diet 3","diet 4","No change","","Unclassified","Unclassified"
"169","BO1000","diet 3","diet 5","No change","","Unclassified","Unclassified"
"170","BO1000","diet 4","diet 5","No change","","Unclassified","Unclassified"
"171","BO1001","diet 2","diet 3","No change","","Unclassified","Unclassified"
"172","BO1001","diet 2","diet 4","No change","","Unclassified","Unclassified"
"173","BO1001","diet 2","diet 5","No change","","Unclassified","Unclassified"
"174","BO1001","diet 3","diet 4","No change","","Unclassified","Unclassified"
"175","BO1001","diet 3","diet 5","No change","","Unclassified","Unclassified"
"176","BO1001","diet 4","diet 5","No change","","Unclassified","Unclassified"
"177","BO1002","control","ma20","No change","","Good forage","Good forage"
"178","BO1002","control","ma40","No change","","Good forage","Good forage"
"179","BO1002","ma20","ma40","No change","","Good forage","Good forage"
"180","BO1003","c25","c50","No change","","Poor forage","Poor forage"
"181","BO1003","c25","c75","No change","","Poor forage","Poor forage"
"182","BO1003","c50","c75","No change","","Poor forage","Poor forage"
"183","BO1004","treatment 1","treatment 2","Diet shift","Unclassified → Good forage","Unclassified","Good forage"
"184","BO1004","treatment 1","treatment 3","Diet shift","Unclassified → Good forage","Unclassified","Good forage"
"185","BO1004","treatment 2","treatment 3","No change","","Good forage","Good forage"
"186","BO1005","oscm","tmrl","No change","","Good forage","Good forage"
"187","BO1006","ration 1","ration 2","No change","","Good forage","Good forage"
"188","BO1006","ration 1","ration 3","No change","","Good forage","Good forage"
"189","BO1006","ration 2","ration 3","No change","","Good forage","Good forage"
"190","BO1007","hak10","hak15","No change","","Poor forage","Poor forage"
"191","BO1007","hak10","hak20","No change","","Poor forage","Poor forage"
"192","BO1007","hak10","hak30","No change","","Poor forage","Poor forage"
"193","BO1007","hak15","hak20","No change","","Poor forage","Poor forage"
"194","BO1007","hak15","hak30","No change","","Poor forage","Poor forage"
"195","BO1007","hak20","hak30","No change","","Poor forage","Poor forage"
"196","BO1008","control","g1","No change","","Unclassified","Unclassified"
"197","BO1008","control","g2","No change","","Unclassified","Unclassified"
"198","BO1008","g1","g2","No change","","Unclassified","Unclassified"
"199","BO1009","diet 1","diet 2","Diet shift","Poor forage → Good forage","Poor forage","Good forage"
"200","BO1009","diet 1","diet 3","Diet shift","Poor forage → High-starch","Poor forage","High-starch"
"201","BO1009","diet 1","diet 4","Diet shift","Poor forage → Good forage","Poor forage","Good forage"
"202","BO1009","diet 2","diet 3","Diet shift","Good forage → High-starch","Good forage","High-starch"
"203","BO1009","diet 2","diet 4","No change","","Good forage","Good forage"
"204","BO1009","diet 3","diet 4","Diet shift","High-starch → Good forage","High-starch","Good forage"
"205","BO1010","a. mearnsii","protein supplement","No change","","Unclassified","Unclassified"
"206","BO1010","a. mearnsii","rangeland hay control","No change","","Unclassified","Unclassified"
"207","BO1010","protein supplement","rangeland hay control","No change","","Unclassified","Unclassified"
"208","BO1011","control","diet 1","Diet shift","Unclassified → Poor forage","Unclassified","Poor forage"
"209","BO1011","control","diet 2","Diet shift","Unclassified → Poor forage","Unclassified","Poor forage"
"210","BO1011","control","diet 3","Diet shift","Unclassified → Poor forage","Unclassified","Poor forage"
"211","BO1011","diet 1","diet 2","No change","","Poor forage","Poor forage"
"212","BO1011","diet 1","diet 3","No change","","Poor forage","Poor forage"
"213","BO1011","diet 2","diet 3","No change","","Poor forage","Poor forage"
"214","BO1012","dll0","dll10","No change","","Unclassified","Unclassified"
"215","BO1012","dll0","dll15","No change","","Unclassified","Unclassified"
"216","BO1012","dll0","dll20","No change","","Unclassified","Unclassified"
"217","BO1012","dll0","dll5","No change","","Unclassified","Unclassified"
"218","BO1012","dll10","dll15","No change","","Unclassified","Unclassified"
"219","BO1012","dll10","dll20","No change","","Unclassified","Unclassified"
"220","BO1012","dll10","dll5","No change","","Unclassified","Unclassified"
"221","BO1012","dll15","dll20","No change","","Unclassified","Unclassified"
"222","BO1012","dll15","dll5","No change","","Unclassified","Unclassified"
"223","BO1012","dll20","dll5","No change","","Unclassified","Unclassified"
"224","BO1013","diet 2","diet 3","No change","","Unclassified","Unclassified"
"225","BO1013","diet 2","diet 4","No change","","Unclassified","Unclassified"
"226","BO1013","diet 3","diet 4","No change","","Unclassified","Unclassified"
"227","BO1014","diet 1","diet 2","No change","","Unclassified","Unclassified"
"228","BO1014","diet 1","diet 3","No change","","Unclassified","Unclassified"
"229","BO1014","diet 1","diet 4","No change","","Unclassified","Unclassified"
"230","BO1014","diet 1","diet 5","No change","","Unclassified","Unclassified"
"231","BO1014","diet 1","diet 6","No change","","Unclassified","Unclassified"
"232","BO1014","diet 1","diet 7","No change","","Unclassified","Unclassified"
"233","BO1014","diet 2","diet 3","No change","","Unclassified","Unclassified"
"234","BO1014","diet 2","diet 4","No change","","Unclassified","Unclassified"
"235","BO1014","diet 2","diet 5","No change","","Unclassified","Unclassified"
"236","BO1014","diet 2","diet 6","No change","","Unclassified","Unclassified"
"237","BO1014","diet 2","diet 7","No change","","Unclassified","Unclassified"
"238","BO1014","diet 3","diet 4","No change","","Unclassified","Unclassified"
"239","BO1014","diet 3","diet 5","No change","","Unclassified","Unclassified"
"240","BO1014","diet 3","diet 6","No change","","Unclassified","Unclassified"
"241","BO1014","diet 3","diet 7","No change","","Unclassified","Unclassified"
"242","BO1014","diet 4","diet 5","No change","","Unclassified","Unclassified"
"243","BO1014","diet 4","diet 6","No change","","Unclassified","Unclassified"
"244","BO1014","diet 4","diet 7","No change","","Unclassified","Unclassified"
"245","BO1014","diet 5","diet 6","No change","","Unclassified","Unclassified"
"246","BO1014","diet 5","diet 7","No change","","Unclassified","Unclassified"
"247","BO1014","diet 6","diet 7","No change","","Unclassified","Unclassified"
"248","BO1015","42% cfm +52% cs +6% ss (g3)","42% cfm +52% cs +6% tss (g5)","No change","","Unclassified","Unclassified"
"249","BO1015","42% cfm +52% cs +6% ss (g3)","46% cfm +51% cs +3% ss (g2)","No change","","Unclassified","Unclassified"
"250","BO1015","42% cfm +52% cs +6% ss (g3)","46% cfm +51% cs +3% tss (g4)","No change","","Unclassified","Unclassified"
"251","BO1015","42% cfm +52% cs +6% ss (g3)","50% cfm +50% cs (g1)","No change","","Unclassified","Unclassified"
"252","BO1015","42% cfm +52% cs +6% tss (g5)","46% cfm +51% cs +3% ss (g2)","No change","","Unclassified","Unclassified"
"253","BO1015","42% cfm +52% cs +6% tss (g5)","46% cfm +51% cs +3% tss (g4)","No change","","Unclassified","Unclassified"
"254","BO1015","42% cfm +52% cs +6% tss (g5)","50% cfm +50% cs (g1)","No change","","Unclassified","Unclassified"
"255","BO1015","46% cfm +51% cs +3% ss (g2)","46% cfm +51% cs +3% tss (g4)","No change","","Unclassified","Unclassified"
"256","BO1015","46% cfm +51% cs +3% ss (g2)","50% cfm +50% cs (g1)","No change","","Unclassified","Unclassified"
"257","BO1015","46% cfm +51% cs +3% tss (g4)","50% cfm +50% cs (g1)","No change","","Unclassified","Unclassified"
"258","BO1016","inhay","inhay +cal","Diet shift","Unclassified → Poor forage","Unclassified","Poor forage"
"259","BO1016","inhay","inhay +cal +peg","Diet shift","Unclassified → Poor forage","Unclassified","Poor forage"
"260","BO1016","inhay +cal","inhay +cal +peg","No change","","Poor forage","Poor forage"
"261","BO1017","brt1","brt2","No change","","Poor forage","Poor forage"
"262","BO1017","brt1","brt3","Diet shift","Poor forage → High-fat","Poor forage","High-fat"
"263","BO1017","brt1","brt4","No change","","Poor forage","Poor forage"
"264","BO1017","brt1","bt1","No change","","Poor forage","Poor forage"
"265","BO1017","brt1","bt2","No change","","Poor forage","Poor forage"
"266","BO1017","brt1","bt3","No change","","Poor forage","Poor forage"
"267","BO1017","brt1","bt4","No change","","Poor forage","Poor forage"
"268","BO1017","brt1","rt1","No change","","Poor forage","Poor forage"
"269","BO1017","brt1","rt2","No change","","Poor forage","Poor forage"
"270","BO1017","brt1","rt3","No change","","Poor forage","Poor forage"
"271","BO1017","brt1","rt4","Diet shift","Poor forage → High-fat","Poor forage","High-fat"
"272","BO1017","brt2","brt3","Diet shift","Poor forage → High-fat","Poor forage","High-fat"
"273","BO1017","brt2","brt4","No change","","Poor forage","Poor forage"
"274","BO1017","brt2","bt1","No change","","Poor forage","Poor forage"
"275","BO1017","brt2","bt2","No change","","Poor forage","Poor forage"
"276","BO1017","brt2","bt3","No change","","Poor forage","Poor forage"
"277","BO1017","brt2","bt4","No change","","Poor forage","Poor forage"
"278","BO1017","brt2","rt1","No change","","Poor forage","Poor forage"
"279","BO1017","brt2","rt2","No change","","Poor forage","Poor forage"
"280","BO1017","brt2","rt3","No change","","Poor forage","Poor forage"
"281","BO1017","brt2","rt4","Diet shift","Poor forage → High-fat","Poor forage","High-fat"
"282","BO1017","brt3","brt4","Diet shift","High-fat → Poor forage","High-fat","Poor forage"
"283","BO1017","brt3","bt1","Diet shift","High-fat → Poor forage","High-fat","Poor forage"
"284","BO1017","brt3","bt2","Diet shift","High-fat → Poor forage","High-fat","Poor forage"
"285","BO1017","brt3","bt3","Diet shift","High-fat → Poor forage","High-fat","Poor forage"
"286","BO1017","brt3","bt4","Diet shift","High-fat → Poor forage","High-fat","Poor forage"
"287","BO1017","brt3","rt1","Diet shift","High-fat → Poor forage","High-fat","Poor forage"
"288","BO1017","brt3","rt2","Diet shift","High-fat → Poor forage","High-fat","Poor forage"
"289","BO1017","brt3","rt3","Diet shift","High-fat → Poor forage","High-fat","Poor forage"
"290","BO1017","brt3","rt4","No change","","High-fat","High-fat"
"291","BO1017","brt4","bt1","No change","","Poor forage","Poor forage"
"292","BO1017","brt4","bt2","No change","","Poor forage","Poor forage"
"293","BO1017","brt4","bt3","No change","","Poor forage","Poor forage"
"294","BO1017","brt4","bt4","No change","","Poor forage","Poor forage"
"295","BO1017","brt4","rt1","No change","","Poor forage","Poor forage"
"296","BO1017","brt4","rt2","No change","","Poor forage","Poor forage"
"297","BO1017","brt4","rt3","No change","","Poor forage","Poor forage"
"298","BO1017","brt4","rt4","Diet shift","Poor forage → High-fat","Poor forage","High-fat"
"299","BO1017","bt1","bt2","No change","","Poor forage","Poor forage"
"300","BO1017","bt1","bt3","No change","","Poor forage","Poor forage"
"301","BO1017","bt1","bt4","No change","","Poor forage","Poor forage"
"302","BO1017","bt1","rt1","No change","","Poor forage","Poor forage"
"303","BO1017","bt1","rt2","No change","","Poor forage","Poor forage"
"304","BO1017","bt1","rt3","No change","","Poor forage","Poor forage"
"305","BO1017","bt1","rt4","Diet shift","Poor forage → High-fat","Poor forage","High-fat"
"306","BO1017","bt2","bt3","No change","","Poor forage","Poor forage"
"307","BO1017","bt2","bt4","No change","","Poor forage","Poor forage"
"308","BO1017","bt2","rt1","No change","","Poor forage","Poor forage"
"309","BO1017","bt2","rt2","No change","","Poor forage","Poor forage"
"310","BO1017","bt2","rt3","No change","","Poor forage","Poor forage"
"311","BO1017","bt2","rt4","Diet shift","Poor forage → High-fat","Poor forage","High-fat"
"312","BO1017","bt3","bt4","No change","","Poor forage","Poor forage"
"313","BO1017","bt3","rt1","No change","","Poor forage","Poor forage"
"314","BO1017","bt3","rt2","No change","","Poor forage","Poor forage"
"315","BO1017","bt3","rt3","No change","","Poor forage","Poor forage"
"316","BO1017","bt3","rt4","Diet shift","Poor forage → High-fat","Poor forage","High-fat"
"317","BO1017","bt4","rt1","No change","","Poor forage","Poor forage"
"318","BO1017","bt4","rt2","No change","","Poor forage","Poor forage"
"319","BO1017","bt4","rt3","No change","","Poor forage","Poor forage"
"320","BO1017","bt4","rt4","Diet shift","Poor forage → High-fat","Poor forage","High-fat"
"321","BO1017","rt1","rt2","No change","","Poor forage","Poor forage"
"322","BO1017","rt1","rt3","No change","","Poor forage","Poor forage"
"323","BO1017","rt1","rt4","Diet shift","Poor forage → High-fat","Poor forage","High-fat"
"324","BO1017","rt2","rt3","No change","","Poor forage","Poor forage"
"325","BO1017","rt2","rt4","Diet shift","Poor forage → High-fat","Poor forage","High-fat"
"326","BO1017","rt3","rt4","Diet shift","Poor forage → High-fat","Poor forage","High-fat"
"327","BO1018","asy +ve","asy -ve","No change","","Unclassified","Unclassified"
"328","BO1018","asy +ve","bhy -ve","No change","","Unclassified","Unclassified"
"329","BO1018","asy +ve","bhy+ve","No change","","Unclassified","Unclassified"
"330","BO1018","asy +ve","fay +ve","No change","","Unclassified","Unclassified"
"331","BO1018","asy +ve","fay -ve","No change","","Unclassified","Unclassified"
"332","BO1018","asy -ve","bhy -ve","No change","","Unclassified","Unclassified"
"333","BO1018","asy -ve","bhy+ve","No change","","Unclassified","Unclassified"
"334","BO1018","asy -ve","fay +ve","No change","","Unclassified","Unclassified"
"335","BO1018","asy -ve","fay -ve","No change","","Unclassified","Unclassified"
"336","BO1018","bhy -ve","bhy+ve","No change","","Unclassified","Unclassified"
"337","BO1018","bhy -ve","fay +ve","No change","","Unclassified","Unclassified"
"338","BO1018","bhy -ve","fay -ve","No change","","Unclassified","Unclassified"
"339","BO1018","bhy+ve","fay +ve","No change","","Unclassified","Unclassified"
"340","BO1018","bhy+ve","fay -ve","No change","","Unclassified","Unclassified"
"341","BO1018","fay +ve","fay -ve","No change","","Unclassified","Unclassified"
"342","BO1019","glm0","glm12","No change","","High-fat","High-fat"
"343","BO1019","glm0","glm24","No change","","High-fat","High-fat"
"344","BO1019","glm0","glm36","No change","","High-fat","High-fat"
"345","BO1019","glm12","glm24","No change","","High-fat","High-fat"
"346","BO1019","glm12","glm36","No change","","High-fat","High-fat"
"347","BO1019","glm24","glm36","No change","","High-fat","High-fat"
"348","BO1020","control group","moringa leaves group","No change","","Unclassified","Unclassified"
"349","BO1021","0% nigella sativa","100% nigella sativa","No change","","High-starch","High-starch"
"350","BO1021","0% nigella sativa","50% nigella sativa","No change","","High-starch","High-starch"
"351","BO1021","100% nigella sativa","50% nigella sativa","No change","","High-starch","High-starch"
"352","BO1023","cgs diet","hsb diet","No change","","Good forage","Good forage"
"353","BO1023","cgs diet","lsb diet","No change","","Good forage","Good forage"
"354","BO1023","hsb diet","lsb diet","No change","","Good forage","Good forage"
"355","BO1024","diet 0%","diet 15%","Diet shift","Poor forage → Good forage","Poor forage","Good forage"
"356","BO1024","diet 0%","diet 30%","Diet shift","Poor forage → Good forage","Poor forage","Good forage"
"357","BO1024","diet 0%","diet 45%","Diet shift","Poor forage → Good forage","Poor forage","Good forage"
"358","BO1024","diet 15%","diet 30%","No change","","Good forage","Good forage"
"359","BO1024","diet 15%","diet 45%","No change","","Good forage","Good forage"
"360","BO1024","diet 30%","diet 45%","No change","","Good forage","Good forage"
"361","BO1025","100% (dvlm + dmlm)","100% concentrate mix","Diet shift","Good forage → High-fat","Good forage","High-fat"
