"","B.Code","A.Level.Name","ED.Intake.Item","ED.Intake.Item.Raw","ED.Mean.T","ED.Error","Out.Subind","P.Product","is_entire_diet","is_group","T.Animals","Out.Unit.Animals","Out.Unit.Time","Out.Unit.Amount","Out.WG.Start","Out.WG.Unit","ED_item_clean"
"37","AN0057","0 PPL","0 PPL","Entire Diet",0.411,19.1,"Feed Intake","Goat",TRUE,FALSE,1,"individual","day","kg",15.4,"kg","0 ppl"
"38","AN0057","150 PPL","Cynadon dactylon Dried","Cynodon dactylon Hay",0.373,19.1,"Feed Intake","Goat",FALSE,FALSE,1,"individual","day","kg",NA,NA,"cynadon dactylon dried"
"39","AN0057","150 PPL","150 PPL","Entire Diet",0.513,19.2,"Feed Intake","Goat",TRUE,FALSE,1,"individual","day","kg",NA,NA,"150 ppl"
"40","AN0057","150 PPL","Pigeon Pea Leaves Dried","Pigeon Pea Leaves",0.14,NA,"Feed Intake","Goat",FALSE,FALSE,1,"individual","day","kg",NA,NA,"pigeon pea leaves dried"
"41","AN0057","300 PPL","Cynadon dactylon Dried","Cynodon dactylon Hay",0.37,19.1,"Feed Intake","Goat",FALSE,FALSE,1,"individual","day","kg",15.5,"kg","cynadon dactylon dried"
"42","AN0057","300 PPL","300 PPL","Entire Diet",0.639,19.2,"Feed Intake","Goat",TRUE,FALSE,1,"individual","day","kg",15.5,"kg","300 ppl"
"43","AN0057","300 PPL","Pigeon Pea Leaves Dried","Pigeon Pea Leaves",0.269,NA,"Feed Intake","Goat",FALSE,FALSE,1,"individual","day","kg",15.5,"kg","pigeon pea leaves dried"
"44","AN0057","450 PPL","Cynadon dactylon Dried","Cynodon dactylon Hay",0.368,19.1,"Feed Intake","Goat",FALSE,FALSE,1,"individual","day","kg",15.7,"kg","cynadon dactylon dried"
"45","AN0057","450 PPL","450 PPL","Entire Diet",0.763,19.2,"Feed Intake","Goat",TRUE,FALSE,1,"individual","day","kg",15.7,"kg","450 ppl"
"46","AN0057","450 PPL","Pigeon Pea Leaves Dried","Pigeon Pea Leaves",0.395,NA,"Feed Intake","Goat",FALSE,FALSE,1,"individual","day","kg",15.7,"kg","pigeon pea leaves dried"
"47","B01063","Control Diet","Entire Diet","Entire Diet",0.00478928571428572,0.595357142857143,"Feed Intake",NA,TRUE,NA,12,"individual","day","kg",0.1709,NA,"entire diet"
"48","B01063","PEG0","Entire Diet","Entire Diet",0.00466071428571429,0.595357142857143,"Feed Intake",NA,TRUE,NA,12,"individual","day","kg",NA,NA,"entire diet"
"49","B01063","PEG100","Entire Diet","Entire Diet",0.00458464285714286,0.595357142857143,"Feed Intake",NA,TRUE,NA,12,"individual","day","kg",NA,NA,"entire diet"
"50","B01063","PEG25","Entire Diet","Entire Diet",0.004925,0.595357142857143,"Feed Intake",NA,TRUE,NA,12,"individual","day","kg",NA,NA,"entire diet"
"51","B01063","PEG50","Entire Diet","Entire Diet",0.00491071428571429,0.595357142857143,"Feed Intake",NA,TRUE,NA,12,"individual","day","kg",NA,NA,"entire diet"
"52","B01063","PEG75","Entire Diet","Entire Diet",0.00475357142857143,0.595357142857143,"Feed Intake",NA,TRUE,NA,12,"individual","day","kg",NA,NA,"entire diet"
"53","BO1000","Diet 1","Entire Diet","Entire Diet",0.66827,11.073,"Feed Intake",NA,TRUE,NA,NA,"individual","day","kg",19.18,NA,"entire diet"
"54","BO1000","Diet 1","Natural Pasture Dried","Natural Pasture||Chopping||Drying",0.47262,11.073,"Feed Intake",NA,FALSE,NA,NA,"individual","day","kg",19.18,NA,"natural pasture dried"
"55","BO1000","Diet 1","Wheat Bran;Noug Seed Cake","Wheat Bran;Noug Seed Cake",0.1957,0,"Feed Intake",NA,FALSE,NA,NA,"individual","day","kg",19.18,NA,"wheat bran;noug seed cake"
"56","BO1000","Diet 2","Entire Diet","Entire Diet",0.70048,11.073,"Feed Intake",NA,TRUE,NA,NA,"individual","day","kg",18.56,NA,"entire diet"
"57","BO1000","Diet 2","Natural Pasture Dried","Natural Pasture||Chopping||Drying",0.45279,11.073,"Feed Intake",NA,FALSE,NA,NA,"individual","day","kg",18.56,NA,"natural pasture dried"
"58","BO1000","Diet 2","Wheat Bran;Noug Seed Cake;Ficus thonningii Leaves||Drying","Wheat Bran;Noug Seed Cake;Ficus thonningii Leaves||Drying",0.248,0,"Feed Intake",NA,FALSE,NA,NA,"individual","day","kg",18.56,NA,"wheat bran;noug seed cake;ficus thonningii leaves||drying"
"59","BO1000","Diet 3","Entire Diet","Entire Diet",0.74678,11.073,"Feed Intake",NA,TRUE,NA,NA,"individual","day","kg",18.54,NA,"entire diet"
"60","BO1000","Diet 3","Natural Pasture Dried","Natural Pasture||Chopping||Drying",0.44593,11.073,"Feed Intake",NA,FALSE,NA,NA,"individual","day","kg",18.54,NA,"natural pasture dried"
"61","BO1000","Diet 3","Wheat Bran;Noug Seed Cake;Ficus thonningii Leaves||Drying","Wheat Bran;Noug Seed Cake;Ficus thonningii Leaves||Drying",0.3003,0,"Feed Intake",NA,FALSE,NA,NA,"individual","day","kg",18.54,NA,"wheat bran;noug seed cake;ficus thonningii leaves||drying"
"62","BO1000","Diet 4","Entire Diet","Entire Diet",0.77427,11.073,"Feed Intake",NA,TRUE,NA,NA,"individual","day","kg",19.08,NA,"entire diet"
"63","BO1000","Diet 4","Natural Pasture Dried","Natural Pasture||Chopping||Drying",0.42161,11.073,"Feed Intake",NA,FALSE,NA,NA,"individual","day","kg",19.08,NA,"natural pasture dried"
"64","BO1000","Diet 4","Wheat Bran;Noug Seed Cake;Ficus thonningii Leaves||Drying","Wheat Bran;Noug Seed Cake;Ficus thonningii Leaves||Drying",0.3527,0,"Feed Intake",NA,FALSE,NA,NA,"individual","day","kg",19.08,NA,"wheat bran;noug seed cake;ficus thonningii leaves||drying"
"65","BO1000","Diet 5","Entire Diet","Entire Diet",0.82982,11.073,"Feed Intake",NA,TRUE,NA,NA,"individual","day","kg",18.16,NA,"entire diet"
"66","BO1000","Diet 5","Ficus thonningii Leaves Dried","Ficus thonningii Leaves||Drying",0.4005,0,"Feed Intake",NA,FALSE,NA,NA,"individual","day","kg",18.16,NA,"ficus thonningii leaves dried"
"67","BO1000","Diet 5","Natural Pasture Dried","Natural Pasture||Chopping||Drying",0.42482,11.073,"Feed Intake",NA,FALSE,NA,NA,"individual","day","kg",18.16,NA,"natural pasture dried"
"68","BO1001","Diet 1","Entire Diet","Entire Diet",0.696,NA,"Feed Intake",NA,TRUE,NA,5,"individual","day","kg",19.18,"kg","entire diet"
"69","BO1001","Diet 1","Rice Straw Ensiled Urea Treated","Rice Straw||Chopping||Urea Treatment||Ensilation",0.696,NA,"Feed Intake",NA,FALSE,NA,5,"individual","day","kg",19.18,"kg","rice straw ensiled urea treated"
"70","BO1001","Diet 2","Entire Diet","Entire Diet",0.79133,NA,"Feed Intake",NA,TRUE,NA,5,"individual","day","kg",18.56,"kg","entire diet"
"71","BO1001","Diet 2","Rice Straw Ensiled Urea Treated","Rice Straw||Chopping||Urea Treatment||Ensilation",0.69133,NA,"Feed Intake",NA,FALSE,NA,5,"individual","day","kg",18.56,"kg","rice straw ensiled urea treated"
"72","BO1001","Diet 2","Sesbania sesban Dried","Sesbania sesban||Drying",0.1,NA,"Feed Intake",NA,FALSE,NA,5,"individual","day","kg",18.56,"kg","sesbania sesban dried"
"73","BO1001","Diet 3","Entire Diet","Entire Diet",0.84056,NA,"Feed Intake",NA,TRUE,NA,5,"individual","day","kg",18.54,"kg","entire diet"
"74","BO1001","Diet 3","Rice Straw Ensiled Urea Treated","Rice Straw||Chopping||Urea Treatment||Ensilation",0.64056,NA,"Feed Intake",NA,FALSE,NA,5,"individual","day","kg",18.54,"kg","rice straw ensiled urea treated"
"75","BO1001","Diet 3","Sesbania sesban Dried","Sesbania sesban||Drying",0.2,NA,"Feed Intake",NA,FALSE,NA,5,"individual","day","kg",18.54,"kg","sesbania sesban dried"
"76","BO1001","Diet 4","Entire Diet","Entire Diet",0.93141,NA,"Feed Intake",NA,TRUE,NA,5,"individual","day","kg",19.08,"kg","entire diet"
"77","BO1001","Diet 4","Rice Straw Ensiled Urea Treated","Rice Straw||Chopping||Urea Treatment||Ensilation",0.63141,NA,"Feed Intake",NA,FALSE,NA,5,"individual","day","kg",19.08,"kg","rice straw ensiled urea treated"
"78","BO1001","Diet 4","Sesbania sesban Dried","Sesbania sesban||Drying",0.3,NA,"Feed Intake",NA,FALSE,NA,5,"individual","day","kg",19.08,"kg","sesbania sesban dried"
"79","BO1001","Diet 5","Entire Diet","Entire Diet",1.01572,NA,"Feed Intake",NA,TRUE,NA,5,"individual","day","kg",18.16,"kg","entire diet"
"80","BO1001","Diet 5","Rice Straw Ensiled Urea Treated","Rice Straw||Chopping||Urea Treatment||Ensilation",0.61572,NA,"Feed Intake",NA,FALSE,NA,5,"individual","day","kg",18.16,"kg","rice straw ensiled urea treated"
"81","BO1001","Diet 5","Sesbania sesban Dried","Sesbania sesban||Drying",0.4,NA,"Feed Intake",NA,FALSE,NA,5,"individual","day","kg",18.16,"kg","sesbania sesban dried"
"82","BO1002","Control","Entire Diet","Entire Diet",1.181,7.4,"Feed Intake",NA,TRUE,NA,NA,"individual","day","kg",41,"kg","entire diet"
"83","BO1002","MA20","Entire Diet","Entire Diet",1.167,7.4,"Feed Intake",NA,TRUE,NA,NA,"individual","day","kg",41,"kg","entire diet"
"84","BO1002","MA40","Entire Diet","Entire Diet",1.172,7.4,"Feed Intake",NA,TRUE,NA,NA,"individual","day","kg",41,"kg","entire diet"
"85","BO1003","C25","Entire Diet","Entire Diet",0.44872,0.2,"Feed Intake",NA,TRUE,NA,5,NA,NA,"kg",11.36,"kg","entire diet"
"86","BO1003","C25","Water","Water",0.23,0.03,"Feed Intake",NA,FALSE,NA,5,"individual","day","l",11.36,"kg","water"
"87","BO1003","C50","Entire Diet","Entire Diet",0.48822,0.2,"Feed Intake",NA,TRUE,NA,5,NA,NA,"kg",12.36,"kg","entire diet"
"88","BO1003","C50","Water","Water",0.11,0.03,"Feed Intake",NA,FALSE,NA,5,"individual","day","l",12.36,"kg","water"
"89","BO1003","C75","Entire Diet","Entire Diet",0.452312,0.2,"Feed Intake",NA,TRUE,NA,5,NA,NA,"kg",11.48,"kg","entire diet"
"90","BO1003","C75","Water","Water",0.09,0.03,"Feed Intake",NA,FALSE,NA,5,"individual","day","l",11.48,"kg","water"
"91","BO1004","Treatment 1","Entire Diet","Entire Diet",0.5073,44.3,"Feed Intake",NA,TRUE,NA,3,NA,NA,"kg",26.7,"kg","entire diet"
"92","BO1004","Treatment 1","Sesbania sesban Leaves Dried Ground","Sesbania sesban Leaves||Grinding||Drying",0.5076,43.2,"Feed Intake",NA,FALSE,NA,3,"individual","day","kg",26.7,"kg","sesbania sesban leaves dried ground"
"93","BO1004","Treatment 2","Entire Diet","Entire Diet",0.7209,44.3,"Feed Intake",NA,TRUE,NA,3,NA,NA,"kg",26.7,"kg","entire diet"
"94","BO1004","Treatment 2","Natural Pasture Dried","Natural Pasture||Chopping||Drying",0.3902,43.2,"Feed Intake",NA,FALSE,NA,3,"individual","day","kg",26.7,"kg","natural pasture dried"
