"","B.Code","A.Level.Name","D.Item","D.Type","D.Amount","D.Unit.Amount","D.Unit.Time","D.Unit.Animals","DC.Is.Dry","D.Ad.lib","D.Item.Group","D.Item.AOM","AOM.Scientific.Name","Source","Units","T.Animals","D.Unit.Standard","Out.WG.Start","Out.WG.Unit","intake_source","ignore_for_balance","T.Name","T.Control"
"26","AG0042","60% UF SOPM","Bone Ground","Other Feed",4,"g","day","individual","Yes",NA,"UF SOP Supplement","AOM_000539",NA,"livestock","g;day;individual",1,"g day individual",9.25,"kg","diet_intake",FALSE,"60% UF SOPM","no"
"27","AG0042","60% UF SOPM","Rice Offal","Byproduct Fodders",40,"g","day","individual","Yes",NA,"UF SOP Supplement","AOM_000577","Oryza sativa","livestock","g;day;individual",1,"g day individual",9.25,"kg","diet_intake",FALSE,"60% UF SOPM","no"
"28","AG0042","60% UF SOPM","Soybean Ground","Crop Product",39.48,"g","day","individual","Yes",NA,"UF SOP Supplement","AOM_000613","Glycine max","livestock","g;day;individual",1,"g day individual",9.25,"kg","diet_intake",FALSE,"60% UF SOPM","no"
"29","AG0042","Con","Salt","Non-ERA Feed",2,"g","day","individual","Yes",NA,"Con Supplement","AOM_000772",NA,"livestock","g;day;individual",1,"g day individual",9.83,"kg","diet_intake",TRUE,"Con","yes"
"30","AG0042","Con","Bone Ground","Other Feed",4,"g","day","individual","Yes",NA,"Con Supplement","AOM_000539",NA,"livestock","g;day;individual",1,"g day individual",9.83,"kg","diet_intake",FALSE,"Con","yes"
"31","AG0042","Con","Maize Offal","Crop Byproduct",114.52,"g","day","individual","Yes",NA,"Con Supplement","AOM_000571","Zea mays","livestock","g;day;individual",1,"g day individual",9.83,"kg","diet_intake",FALSE,"Con","yes"
"32","AG0042","Con","Rice Offal","Byproduct Fodders",40,"g","day","individual","Yes",NA,"Con Supplement","AOM_000577","Oryza sativa","livestock","g;day;individual",1,"g day individual",9.83,"kg","diet_intake",FALSE,"Con","yes"
"33","AG0042","Con","Soybean Ground","Crop Product",39.48,"g","day","individual","Yes",NA,"Con Supplement","AOM_000613","Glycine max","livestock","g;day;individual",1,"g day individual",9.83,"kg","diet_intake",FALSE,"Con","yes"
"34","AG0051","NG","Pennisetum purpureum","Herbaceous Fodders",8.3,"kg",NA,"individual","Yes",NA,NA,"AOM_000689","Pennisetum purpureum","livestock","% Diet;NA;individual",10,"% Diet NA individual",NA,NA,"diet_intake",FALSE,"NG","yes"
"35","AG0051","NGD","Pennisetum purpureum","Herbaceous Fodders",5.74,"kg",NA,"individual","Yes",NA,NA,"AOM_000689","Pennisetum purpureum","livestock","% Diet;NA;individual",10,"% Diet NA individual",NA,NA,"diet_intake",FALSE,"NGD","no"
"36","AG0051","NGD","Desmodium distortum","Herbaceous Fodders",2.46,"kg",NA,"individual","Yes",NA,NA,"AOM_001211","Desmodium distortum","livestock","% Diet;NA;individual",10,"% Diet NA individual",NA,NA,"diet_intake",FALSE,"NGD","no"
"37","AG0051","PG","Brachiaria brizantha","Herbaceous Fodders",9.1,"kg",NA,"individual","Yes",NA,NA,"AOM_001385","Brachiaria brizantha","livestock","% Diet;NA;individual",10,"% Diet NA individual",NA,NA,"diet_intake",FALSE,"PG","yes"
"38","AG0051","PGD","Brachiaria brizantha","Herbaceous Fodders",6.44,"kg",NA,"individual","Yes",NA,NA,"AOM_001385","Brachiaria brizantha","livestock","% Diet;NA;individual",10,"% Diet NA individual",NA,NA,"diet_intake",FALSE,"PGD","no"
"39","AG0051","PGD","Desmodium distortum","Herbaceous Fodders",2.76,"kg",NA,"individual","Yes",NA,NA,"AOM_001211","Desmodium distortum","livestock","% Diet;NA;individual",10,"% Diet NA individual",NA,NA,"diet_intake",FALSE,"PGD","no"
"40","AG0087","Control","Wheat Bran","Crop Byproduct;from_pct_using_pred_archimede2014",0.0115925847858669,"kg","day","individual","Yes",NA,"Base","AOM_000585","Triticum aestivum","livestock","% Diet;NA;individual",10,"% Diet NA individual",1.23464,"kg","original",FALSE,"Control","yes"
"41","AG0087","Control","Sorghum Grain","Crop Product;from_pct_using_pred_archimede2014",0.0347777543576006,"kg","day","individual","Yes",NA,NA,"AOM_000657","Sorghum bicolor","livestock","% Diet;NA;individual",10,"% Diet NA individual",1.23464,"kg","original",FALSE,"Control","yes"
"42","AG0087","Control","Salt","Non-ERA Feed;from_pct_using_pred_archimede2014",0.000193209746431114,"kg","day","individual","Yes",NA,"Base","AOM_000772",NA,"livestock","% Diet;NA;individual",10,"% Diet NA individual",1.23464,"kg","original",TRUE,"Control","yes"
"43","AG0087","Control","Antitoxins","Non-ERA Feed;from_pct_using_pred_archimede2014",0.000128806497620743,"kg","day","individual","Yes",NA,"Base","AOM_000782",NA,"livestock","% Diet;NA;individual",10,"% Diet NA individual",1.23464,"kg","original",FALSE,"Control","yes"
"44","AG0087","Control","Mixture","Non-ERA Feed;from_pct_using_pred_archimede2014",6.44032488103714e-05,"kg","day","individual","Yes",NA,"Base","AOM_000795",NA,"livestock","% Diet;NA;individual",10,"% Diet NA individual",1.23464,"kg","original",FALSE,"Control","yes"
"45","AG0087","Control","Dicalcium Phosphate","Non-ERA Feed;from_pct_using_pred_archimede2014",0.000161008122025928,"kg","day","individual","Yes",NA,"Base","AOM_000757",NA,"livestock","% Diet;NA;individual",10,"% Diet NA individual",1.23464,"kg","original",FALSE,"Control","yes"
"46","AG0087","Control","Methionine","Non-ERA Feed;from_pct_using_pred_archimede2014",2.57612995241486e-05,"kg","day","individual","Yes",NA,"Base","AOM_001377",NA,"livestock","% Diet;NA;individual",10,"% Diet NA individual",1.23464,"kg","original",FALSE,"Control","yes"
"47","AG0087","Control","Lime","Non-ERA Feed;from_pct_using_pred_archimede2014",0.00644032488103714,"kg","day","individual","Yes",NA,"Base","AOM_000760",NA,"livestock","% Diet;NA;individual",10,"% Diet NA individual",1.23464,"kg","original",FALSE,"Control","yes"
"48","AG0087","Control","Lysine - HCl","Non-ERA Feed;from_pct_using_pred_archimede2014",6.44032488103714e-05,"kg","day","individual","Yes",NA,"Base","AOM_000740",NA,"livestock","% Diet;NA;individual",10,"% Diet NA individual",1.23464,"kg","original",FALSE,"Control","yes"
"49","AG0087","Control","Groundnut Cake","Crop Byproduct;from_pct_using_pred_archimede2014",0.0077348301821256,"kg","day","individual","Yes",NA,NA,"AOM_001254","Arachis hypogaea","livestock","% Diet;NA;individual",10,"% Diet NA individual",1.23464,"kg","original",FALSE,"Control","yes"
"50","AG0087","Control","Imported Concentrate","Other Feed;from_pct_using_pred_archimede2014",0.00322016244051857,"kg","day","individual","Yes",NA,NA,"AOM_000805",NA,"livestock","% Diet;NA;individual",10,"% Diet NA individual",1.23464,"kg","original",FALSE,"Control","yes"
